"","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16"
"Ethnicity","%","%","%","%","%","%"
"All","89","89","91","92","94","94"
"Asian","92","92","94","94","95","96"
"Bangladeshi","92","91","93","94","94","96"
"Indian","95","95","96","97","97","97"
"Pakistani","90","90","91","93","94","94"
"Asian other","94","93","94","95","95","96"
"Black","91","91","93","94","94","94"
"Black African","92","92","95","95","95","95"
"Black Caribbean","89","89","92","92","93","93"
"Black other","89","91","93","93","94","94"
"Chinese","96","97","97","98","97","97"
"Mixed","88","88","90","91","93","93"
"Mixed White/Asian","90","90","93","93","94","94"
"Mixed White/Black African","87","88","91","92","93","94"
"Mixed White/Black Caribbean","86","86","87","89","91","91"
"Mixed other","89","89","91","92","94","93"
"White","89","89","90","92","94","94"
"White British","89","89","90","92","94","94"
"White Irish","89","89","91","91","93","94"
"White Irish Traveller","59","50","60","55","67","68"
"White Gypsy/Roma","67","60","62","68","68","65"
"White other","90","89","91","91","92","92"
"Other","91","90","92","93","93","93"
"Unknown","86","87","90","91","92","90"
