"Title","How long people claim Jobseeker’s Allowance for, by ethnicity"
"Location","England, Wales and Scotland"
"Time period","April 2017"
"Data source","Official Labour Market Statistics (NOMIS)"
"Data source link","https://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Standard Ethnicity","Duration","%"
"All","13 weeks or less","35.8"
"All","over 13 and up to 26 weeks","17.6"
"All","over 26 and up to 52 weeks","15.6"
"All","over 52 and up to 78 weeks","8.3"
"All","over 78 and up to 104 weeks","4.9"
"All","over 104 weeks","17.8"
"Asian","13 weeks or less","35.3"
"Asian","over 13 and up to 26 weeks","18.5"
"Asian","over 26 and up to 52 weeks","18.6"
"Asian","over 52 and up to 78 weeks","9.0"
"Asian","over 78 and up to 104 weeks","4.6"
"Asian","over 104 weeks","14.0"
"Black","13 weeks or less","32.2"
"Black","over 13 and up to 26 weeks","17.9"
"Black","over 26 and up to 52 weeks","17.0"
"Black","over 52 and up to 78 weeks","10.0"
"Black","over 78 and up to 104 weeks","5.5"
"Black","over 104 weeks","17.4"
"Mixed","13 weeks or less","36.9"
"Mixed","over 13 and up to 26 weeks","19.0"
"Mixed","over 26 and up to 52 weeks","17.1"
"Mixed","over 52 and up to 78 weeks","8.7"
"Mixed","over 78 and up to 104 weeks","4.5"
"Mixed","over 104 weeks","13.7"
"White British","13 weeks or less","35.5"
"White British","over 13 and up to 26 weeks","17.3"
"White British","over 26 and up to 52 weeks","15.1"
"White British","over 52 and up to 78 weeks","8.1"
"White British","over 78 and up to 104 weeks","5.0"
"White British","over 104 weeks","19.0"
"White other","13 weeks or less","49.9"
"White other","over 13 and up to 26 weeks","18.7"
"White other","over 26 and up to 52 weeks","13.2"
"White other","over 52 and up to 78 weeks","6.0"
"White other","over 78 and up to 104 weeks","3.0"
"White other","over 104 weeks","9.3"
"Other","13 weeks or less","35.8"
"Other","over 13 and up to 26 weeks","20.0"
"Other","over 26 and up to 52 weeks","19.9"
"Other","over 52 and up to 78 weeks","9.6"
"Other","over 78 and up to 104 weeks","4.6"
"Other","over 104 weeks","10.1"
