"Title"," EBacc achievement by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Local authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"England","25","20","30","32","25","39","23","17","30","53","45","61","27","22","32","24","19","29"
"Barking and Dagenham","22","17","28","30","24","37","25","17","33","!","!","!","15","12","18","19","16","22"
"Barnet","44","39","48","63","65","61","30","23","36","70","52","84","45","41","48","42","35","48"
"Barnsley","18","14","22","!","!","!","20","!","!","N/A","N/A","N/A","29","18","39","18","14","21"
"Bath and North East Somerset","33","31","36","25","!","!","13","!","!","!","!","!","28","29","28","34","31","37"
"Bedford","18","13","23","15","9","21","11","9","13","!","!","!","16","12","20","19","13","24"
"Bexley","29","24","36","48","39","59","42","28","56","58","64","50","29","27","31","24","20","28"
"Birmingham","25","19","30","25","20","31","21","12","30","56","33","75","25","24","26","24","19","30"
"Blackburn with Darwen","25","19","30","35","27","45","!","!","!","!","!","N/A","23","17","29","16","12","19"
"Blackpool","9","7","12","21","!","!","!","!","!","!","!","!","!","!","!","9","7","11"
"Bolton","20","15","26","38","28","51","13","12","14","43","!","!","16","7","26","16","13","20"
"Bournemouth","28","24","32","53","50","57","29","!","!","!","!","!","37","30","46","27","22","31"
"Bracknell Forest","22","18","27","!","!","!","27","23","31","!","!","!","27","30","23","22","17","28"
"Bradford","17","12","23","16","10","23","12","!","!","!","N/A","!","16","14","17","18","13","23"
"Brent","32","25","38","40","32","48","19","11","26","44","!","!","25","16","36","28","20","36"
"Brighton and Hove","25","21","29","24","18","36","12","!","!","!","!","!","28","23","35","25","21","29"
"Bristol, City of","18","13","23","21","13","30","11","8","13","27","!","!","19","15","23","18","13","23"
"Bromley","36","28","44","59","57","61","34","20","44","64","57","73","39","35","42","36","27","44"
"Buckinghamshire","37","33","40","37","33","42","29","20","37","67","!","!","35","32","37","37","33","40"
"Bury","27","22","32","30","26","35","25","!","!","!","!","!","28","20","36","26","22","31"
"Calderdale","25","20","29","21","16","25","35","25","50","!","!","!","17","7","26","26","22","30"
"Cambridgeshire","27","21","33","34","27","43","20","13","29","50","35","69","33","25","41","26","21","32"
"Camden","28","21","34","26","18","34","20","18","22","60","!","!","25","7","39","34","26","39"
"Central Bedfordshire","20","14","25","39","25","55","32","!","!","40","!","!","26","23","30","19","14","24"
"Cheshire East","27","19","34","21","23","19","!","!","!","53","!","!","27","13","42","27","19","34"
"Cheshire West and Chester","30","25","36","30","22","37","!","!","!","63","!","!","32","24","41","30","25","35"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","19","14","24","19","!","!","!","!","!","!","!","!","22","13","30","19","14","24"
"County Durham","25","20","30","42","47","38","50","!","!","50","!","!","36","25","42","25","19","30"
"Coventry","21","15","27","31","22","42","21","18","23","56","!","!","16","10","22","18","13","23"
"Croydon","24","16","31","34","31","37","19","11","27","62","38","77","24","16","29","26","16","34"
"Cumbria","22","17","29","32","21","41","23","!","!","56","!","!","38","23","48","22","16","28"
"Darlington","24","19","29","19","!","!","!","!","N/A","!","N/A","!","!","!","!","24","20","28"
"Derby","20","15","25","27","21","32","6","!","!","38","!","!","17","13","20","19","14","24"
"Derbyshire","19","14","24","21","!","!","!","!","!","21","!","!","16","13","20","19","14","24"
"Devon","23","19","28","42","29","58","29","!","!","54","!","!","26","26","27","23","19","28"
"Doncaster","16","11","21","17","11","21","23","24","22","40","!","!","20","!","!","16","11","20"
"Dorset","24","19","29","24","!","!","!","!","!","46","!","!","23","24","20","24","19","29"
"Dudley","17","14","21","21","14","28","20","14","27","!","!","!","16","16","17","17","14","21"
"Ealing","35","28","43","34","27","42","25","15","34","!","N/A","!","39","29","47","42","36","50"
"East Riding of Yorkshire","22","15","28","42","!","!","!","!","!","!","!","!","15","11","22","21","15","27"
"East Sussex","22","18","26","37","31","44","23","!","!","56","!","!","22","14","31","21","18","25"
"Enfield","31","27","36","53","48","60","24","19","30","65","56","73","30","24","39","30","27","33"
"Essex","23","18","29","58","50","68","39","36","42","51","44","58","30","27","34","22","17","27"
"Gateshead","25","21","30","46","30","67","21","!","!","!","!","!","40","36","44","25","20","29"
"Gloucestershire","27","23","31","54","52","57","11","!","!","65","!","!","28","24","31","26","22","30"
"Greenwich","27","22","31","41","36","47","27","22","32","54","46","64","32","27","37","22","18","27"
"Hackney","33","27","37","38","32","42","27","18","33","58","!","!","34","25","41","37","33","40"
"Halton","33","29","36","!","!","N/A","!","!","!","N/A","N/A","N/A","56","69","42","32","28","36"
"Hammersmith and Fulham","41","33","48","40","27","55","22","15","30","50","!","!","39","27","53","51","48","53"
"Hampshire","26","21","31","36","31","42","17","10","26","54","54","56","30","23","38","26","21","31"
"Haringey","28","23","33","37","32","41","17","12","23","25","!","!","32","27","38","32","27","37"
"Harrow","33","25","40","39","29","50","24","17","31","73","!","!","28","22","32","30","24","35"
"Hartlepool","14","9","20","21","!","!","!","!","!","!","!","N/A","!","!","!","14","8","20"
"Havering","28","24","32","38","25","49","28","21","35","55","!","!","32","27","37","27","24","30"
"Herefordshire, County of","23","17","31","!","!","!","!","!","!","!","!","!","28","!","!","23","17","31"
"Hertfordshire","33","27","38","43","41","46","32","23","39","65","70","61","32","28","37","32","26","38"
"Hillingdon","26","21","32","37","29","46","22","14","31","42","!","!","26","22","30","21","17","25"
"Hounslow","37","33","42","44","38","51","30","25","36","!","!","!","43","44","43","37","35","39"
"Isle of Wight","13","8","19","!","!","!","N/A","N/A","N/A","!","!","!","19","!","!","13","8","19"
