"Title","EBacc achievement by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","Non-FSM boys","","Non-FSM Girls","","FSM Boys","","FSM Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All","21","238,526","33","229,635","8","37,080","13","35,448"
"Asian","27","21,835","41","20,365","15","4,724","25","4,294"
"Bangladeshi","25","2,972","39","2,886","20","1,267","28","1,194"
"Indian","36","6,782","50","6,222","18","539","31","503"
"Pakistani","18","8,163","31","7,735","11","2,396","20","2,140"
"Asian other","32","3,918","49","3,522","20","522","32","457"
"Black","18","10,594","32","10,786","11","3,317","21","3,227"
"Black African","21","6,594","36","6,669","13","2,075","26","2,011"
"Black Caribbean","11","2,710","25","2,817","5","838","14","851"
"Black other","15","1,290","30","1,300","10","404","17","365"
"Chinese","45","966","61","930","27","67","57","63"
"Mixed","25","9,414","36","9,214","9","2,121","15","2,119"
"Mixed White/Asian","33","2,180","45","2,177","9","362","16","370"
"Mixed White/Black African","23","1,079","35","1,079","11","275","17","254"
"Mixed White/Black Caribbean","16","2,798","25","2,742","5","816","11","804"
"Mixed other","27","3,357","39","3,216","14","668","18","691"
"White","21","190,070","31","183,098","5","25,284","9","24,311"
"White British","20","177,753","31","171,125","5","23,654","8","22,784"
"White Irish","32","768","44","793","9","115","12","98"
"White Irish Traveller","!","26","!","23","!","41","!","32"
"White Gypsy/Roma","!","377","!","400","!","157","!","173"
"White other","25","11,146","35","10,757","15","1,317","21","1,224"
"Other","29","3,182","39","2,913","19","1,060","27","964"
"Unknown","19","2,465","28","2,329","7","507","12","470"
