"Title","Average time spent living in current home by ethnicity and socio-economic group"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","NS-SEC group","","Mean_Y_M"
"White British","Higher managerial, administrative and professional occupations","","13 years 6 months"
"White British","Intermediate occupations","","16 years 0 months"
"White British","Routine and manual occupations","","16 years 2 months"
"All other ethnic groups","Higher managerial, administrative and professional occupations","","7 years 9 months"
"All other ethnic groups","Intermediate occupations","","9 years 4 months"
"All other ethnic groups","Routine and manual occupations","","9 years 0 months"
