"nssec","Ethnicity",""
"Higher managerial, administrative and professional occupations","White British","13 years 6 months"
"Higher managerial, administrative and professional occupations","Other than White British","7 years 5 months"
"Intermediate occupations","White British","15 years 11 months"
"Intermediate occupations","Other than White British","9 years 6 months"
"Routine and manual occupations","White British","16 years 0 months"
"Routine and manual occupations","Other than White British","8 years 5 months"
