"Ethnicity","Weekly income","Time"
"White British","Up to £99","9 years 5 months"
"White British","£100 to £199","17 years 5 months"
"White British","£200 to £299","18 years 11 months"
"White British","£300 to £399","17 years 1 month"
"White British","£400 to £499","16 years"
"White British","£500 to £599","15 years 5 months"
"White British","£600 to £699","15 years 4 months"
"White British","£700 to £799","14 years 3 months"
"White British","£800 to £899","13 years 8 months"
"White British","£900 to £999","13 years 1 month"
"White British","£1000 and above","12 years 4 months"
"Other than White British","Up to £99","6 years 5 months"
"Other than White British","£100 to £199","10 years"
"Other than White British","£200 to £299","9 years 11 months "
"Other than White British","£300 to £399","8 years 11 months"
"Other than White British","£400 to £499","8 years 6 months"
"Other than White British","£500 to £599","7 years 6 months"
"Other than White British","£600 to £699","8 years "
"Other than White British","£700 to £799","7 years 8 months"
"Other than White British","£800 to £899","7 years 9 months"
"Other than White British","£900 to £999","8 years 8 months"
"Other than White British","£1000 and above","7 years 10 months"
