"Title","Households living in non-decent homes by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Value","Denominator","Numerator"
"English / Welsh / Scottish / Northern Irish / British","19","18969280","3626909"
"Irish","9","194531","16800"
"Gypsy or Irish Traveller","?","?","?"
"Any Other White background","18","1006085","179178"
"White and Black Caribbean","12","94085","11528"
"White and Black African","20","73586","14791"
"White and Asian","?","?","?"
"Any other Mixed / multiple ethnic background","?","?","?"
"Indian","19","478112","90375"
"Pakistani","29","285003","84015"
"Bangladeshi","17","103335","17398"
"Chinese","21","140707","28850"
"Any other Asian background","24","240993","57289"
"African","20","415843","83719"
"Caribbean","19","266674","49748"
"Any other Black background","?","?","?"
"Arab","34","46151","15522"
"Any other ethnic group","15","199370","30481"
"White","","",""
"Asian","","",""
"Black","","",""
"Mixed","","",""
"Other","","",""
