"Title","Family units receiving income-related benefits"
"Location",""
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"

"Benefit","Ethnicity","%"
"Council Tax Reduction  ","All","14"
"Council Tax Reduction  ","Asian","12"
"Council Tax Reduction  ","Bangladeshi","23"
"Council Tax Reduction  ","Chinese","6"
"Council Tax Reduction  ","Indian","9"
"Council Tax Reduction  ","Pakistani","15"
"Council Tax Reduction  ","Asian other","12"
"Council Tax Reduction  ","Black","21"
"Council Tax Reduction  ","Mixed","17"
"Council Tax Reduction  ","White British","14"
"Council Tax Reduction  ","White other","10"
"Council Tax Reduction  ","Other","20"
"Housing Benefit  ","All","13"
"Housing Benefit  ","Asian","10"
"Housing Benefit  ","Bangladeshi","23"
"Housing Benefit  ","Chinese","5"
"Housing Benefit  ","Indian","6"
"Housing Benefit  ","Pakistani","11"
"Housing Benefit  ","Asian other","14"
"Housing Benefit  ","Black","23"
"Housing Benefit  ","Mixed","17"
"Housing Benefit  ","White British","12"
"Housing Benefit  ","White other","12"
"Housing Benefit  ","Other","22"
"Income Support  ","All","3"
"Income Support  ","Asian","3"
"Income Support  ","Bangladeshi","5"
"Income Support  ","Chinese","1"
"Income Support  ","Indian","2"
"Income Support  ","Pakistani","4"
"Income Support  ","Asian other","2"
"Income Support  ","Black","6"
"Income Support  ","Mixed","4"
"Income Support  ","White British","3"
"Income Support  ","White other","1"
"Income Support  ","Other","4"
"Pension Credit  ","All","4"
"Pension Credit  ","Asian","3"
"Pension Credit  ","Bangladeshi","2"
"Pension Credit  ","Chinese","2"
"Pension Credit  ","Indian","4"
"Pension Credit  ","Pakistani","3"
"Pension Credit  ","Asian other","3"
"Pension Credit  ","Black","3"
"Pension Credit  ","Mixed","2"
"Pension Credit  ","White British","5"
"Pension Credit  ","White other","2"
"Pension Credit  ","Other","2"
