"Title","Family units receiving income-related benefits"
"Location",""
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"

"","Council Tax Reduction  ","Housing Benefit  ","Income Support  ","Pension Credit  "
"Ethnicity","%","%","%","%"
"All","14","13","3","4"
"Asian","12","10","3","3"
"Bangladeshi","23","23","5","2"
"Chinese","6","5","1","2"
"Indian","9","6","2","4"
"Pakistani","15","11","4","3"
"Asian other","12","14","2","3"
"Black","21","23","6","3"
"Mixed","17","17","4","2"
"White British","14","12","3","5"
"White other","10","12","1","2"
"Other","20","22","4","2"
