"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Ethnicity","measure","value","time","time_type","Ethnicity_type","Geography","Geography_type"
"All","All in receipt of state support by ethnic group of head","56","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","All in receipt of state support by ethnic group of head","57","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","All in receipt of state support by ethnic group of head","44","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian/ Asian British","All in receipt of state support by ethnic group of head","47","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","All in receipt of state support by ethnic group of head","45","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","All in receipt of state support by ethnic group of head","53","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","All in receipt of state support by ethnic group of head","56","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","All in receipt of state support by ethnic group of head","32","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","All in receipt of state support by ethnic group of head","45","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","All in receipt of state support by ethnic group of head","55","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","All in receipt of state support by ethnic group of head","44","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","All in receipt of benefit by ethnic group of head","55","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","All in receipt of benefit by ethnic group of head","56","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","All in receipt of benefit by ethnic group of head","44","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian/ Asian British","All in receipt of benefit by ethnic group of head","46","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","All in receipt of benefit by ethnic group of head","44","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","All in receipt of benefit by ethnic group of head","52","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","All in receipt of benefit by ethnic group of head","56","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","All in receipt of benefit by ethnic group of head","32","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","All in receipt of benefit by ethnic group of head","44","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","All in receipt of benefit by ethnic group of head","55","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","All in receipt of benefit by ethnic group of head","43","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","All in receipt of Tax Credits by ethnic group of head","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","All in receipt of Tax Credits by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","All in receipt of Tax Credits by ethnic group of head","16","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian/ Asian British","All in receipt of Tax Credits by ethnic group of head","16","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","All in receipt of Tax Credits by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","All in receipt of Tax Credits by ethnic group of head","24","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
