"","White","Other than White"
"Rank code","%","%"
"All Officers","97.6","2.4"
"OF-6 and above","99.5","!"
"OF-5","97.7","2.3"
"OF-4","98.0","2.0"
"OF-3","97.4","2.6"
"OF-2","97.6","2.4"
"OF-1(D)","97.2","2.8"
"All Other Ranks","91.3","8.7"
"OR-9","98.7","1.3"
"OR-8","95.7","4.3"
"OR-7","94.7","5.3"
"OR-6","92.1","7.9"
"OR-4","89.8","10.2"
"OR-3","85.1","14.9"
"OR-1/OR-2","92.0","8.0"
