"Title","Armed forces workforce"
"Location","UK"
"Time period","2012 to 2018"
"Data source","Ministry of Defence"
"Data source link","https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Ethnicity","Service","Rank","NATO_code","Rank","Year","Value","Number","Note","Number_Note"
"All","All Services","Officers","OF-5","NA","Oct-16","NA","1060","NA","NA"
"All","All Services","Officers","OF-5","NA","Oct-17","NA","1060","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Apr-12","NA","466","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Apr-13","NA","437","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Apr-14","NA","438","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Apr-15","NA","447","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Apr-16","NA","432","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Apr-17","NA","431","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Apr-18","NA","440","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Oct-12","NA","463","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Oct-13","NA","444","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Oct-14","NA","449","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Oct-15","NA","439","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Oct-16","NA","441","NA","NA"
"All","All Services","Officers","OF-6 and above","NA","Oct-17","NA","447","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-12","NA","149100","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-13","NA","141650","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-14","NA","131770","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-15","NA","126490","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-16","NA","124180","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-17","NA","122380","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-18","NA","119350","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-12","NA","145930","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-13","NA","137920","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-14","NA","128950","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-15","NA","125020","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-16","NA","123130","NA","NA"
"All","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-17","NA","120230","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Apr-12","NA","63080","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Apr-13","NA","60010","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Apr-14","NA","55340","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Apr-15","NA","52780","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Apr-16","NA","50960","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Apr-17","NA","48990","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Apr-18","NA","46380","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Oct-12","NA","62260","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Oct-13","NA","58590","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Oct-14","NA","54470","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Oct-15","NA","52460","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Oct-16","NA","50460","NA","NA"
"All","All Services","Other Ranks","OR-1/OR-2","NA","Oct-17","NA","47710","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Apr-12","NA","16870","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Apr-13","NA","16000","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Apr-14","NA","14880","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Apr-15","NA","14760","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Apr-16","NA","14630","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Apr-17","NA","14180","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Apr-18","NA","13950","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Oct-12","NA","16610","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Oct-13","NA","15580","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Oct-14","NA","14490","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Oct-15","NA","14330","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Oct-16","NA","14080","NA","NA"
"All","All Services","Other Ranks","OR-3","NA","Oct-17","NA","13940","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Apr-12","NA","28890","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Apr-13","NA","27540","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Apr-14","NA","26170","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Apr-15","NA","24980","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Apr-16","NA","24580","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Apr-17","NA","24730","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Apr-18","NA","24530","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Oct-12","NA","28090","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Oct-13","NA","27240","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Oct-14","NA","25720","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Oct-15","NA","24730","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Oct-16","NA","24640","NA","NA"
"All","All Services","Other Ranks","OR-4","NA","Oct-17","NA","24420","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Apr-12","NA","19710","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Apr-13","NA","18650","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Apr-14","NA","17100","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Apr-15","NA","16300","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Apr-16","NA","16320","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Apr-17","NA","16530","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Apr-18","NA","16530","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Oct-12","NA","18790","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Oct-13","NA","17440","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Oct-14","NA","16200","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Oct-15","NA","15680","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Oct-16","NA","16080","NA","NA"
"All","All Services","Other Ranks","OR-6","NA","Oct-17","NA","16090","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Apr-12","NA","12230","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Apr-13","NA","11720","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Apr-14","NA","10910","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Apr-15","NA","10460","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Apr-16","NA","10490","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Apr-17","NA","10640","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Apr-18","NA","10700","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Oct-12","NA","12040","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Oct-13","NA","11390","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Oct-14","NA","10660","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Oct-15","NA","10540","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Oct-16","NA","10510","NA","NA"
"All","All Services","Other Ranks","OR-7","NA","Oct-17","NA","10680","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Apr-12","NA","5090","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Apr-13","NA","4720","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Apr-14","NA","4400","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Apr-15","NA","4110","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Apr-16","NA","4050","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Apr-17","NA","4120","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Apr-18","NA","4060","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Oct-12","NA","5020","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Oct-13","NA","4670","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Oct-14","NA","4330","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Oct-15","NA","4200","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Oct-16","NA","4190","NA","NA"
"All","All Services","Other Ranks","OR-8","NA","Oct-17","NA","4170","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Apr-12","NA","3230","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Apr-13","NA","3010","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Apr-14","NA","2970","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Apr-15","NA","3100","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Apr-16","NA","3150","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Apr-17","NA","3180","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Apr-18","NA","3200","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Oct-12","NA","3130","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Oct-13","NA","3020","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Oct-14","NA","3090","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Oct-15","NA","3090","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Oct-16","NA","3180","NA","NA"
"All","All Services","Other Ranks","OR-9","NA","Oct-17","NA","3220","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Apr-12","NA","3920","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Apr-13","NA","3750","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Apr-14","NA","3720","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Apr-15","NA","3680","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Apr-16","NA","3640","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Apr-17","NA","3680","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Oct-12","NA","3950","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Oct-13","NA","3820","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Oct-14","NA","3770","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Oct-15","NA","3710","NA","NA"
"All","All Services","Officers","OF-4 ","NA","Oct-16","NA","3740","NA","NA"
"All","Army","All Ranks","All","All","Apr-12","NA","104250","NA","NA"
"All","Army","All Ranks","All","All","Apr-13","NA","99730","NA","NA"
"All","Army","All Ranks","All","All","Apr-14","NA","91070","NA","NA"
"All","Army","All Ranks","All","All","Apr-15","NA","87060","NA","NA"
"All","Army","All Ranks","All","All","Apr-16","NA","85040","NA","NA"
"All","Army","All Ranks","All","All","Apr-17","NA","83560","NA","NA"
"All","Army","All Ranks","All","All","Apr-18","NA","81120","NA","NA"
"All","Army","All Ranks","All","All","Oct-12","NA","102760","NA","NA"
"All","Army","All Ranks","All","All","Oct-13","NA","97030","NA","NA"
"All","Army","All Ranks","All","All","Oct-14","NA","89200","NA","NA"
"All","Army","All Ranks","All","All","Oct-15","NA","86080","NA","NA"
"All","Army","All Ranks","All","All","Oct-16","NA","84490","NA","NA"
"All","Army","All Ranks","All","All","Oct-17","NA","82210","NA","NA"
"All","Army","Officers","All Officers","All Officers","Apr-12","NA","14480","NA","NA"
"All","Army","Officers","All Officers","All Officers","Apr-13","NA","13890","NA","NA"
"All","Army","Officers","All Officers","All Officers","Apr-14","NA","13200","NA","NA"
"All","Army","Officers","All Officers","All Officers","Apr-15","NA","12830","NA","NA"
"All","Army","Officers","All Officers","All Officers","Apr-16","NA","12590","NA","NA"
"All","Army","Officers","All Officers","All Officers","Apr-17","NA","12680","NA","NA"
"All","Army","Officers","All Officers","All Officers","Apr-18","NA","12790","NA","NA"
"All","Army","Officers","All Officers","All Officers","Oct-12","NA","14340","NA","NA"
"All","Army","Officers","All Officers","All Officers","Oct-13","NA","13680","NA","NA"
"All","Army","Officers","All Officers","All Officers","Oct-14","NA","13120","NA","NA"
"All","Army","Officers","All Officers","All Officers","Oct-15","NA","12840","NA","NA"
"All","Army","Officers","All Officers","All Officers","Oct-16","NA","12820","NA","NA"
"All","Army","Officers","All Officers","All Officers","Oct-17","NA","12970","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Apr-12","NA","2410","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Apr-13","NA","2340","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Apr-14","NA","2160","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Apr-15","NA","2250","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Apr-16","NA","2160","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Apr-17","NA","2210","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Apr-18","NA","2220","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Oct-12","NA","2520","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Oct-13","NA","2370","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Oct-14","NA","2200","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Oct-15","NA","2230","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Oct-16","NA","2240","NA","NA"
"All","Army","Officers","OF-1(D)","Officer Designate","Oct-17","NA","2280","NA","NA"
"All","Army","Officers","OF-2","Captain","Apr-12","NA","5030","NA","NA"
"All","Army","Officers","OF-2","Captain","Apr-13","NA","4770","NA","NA"
"All","Army","Officers","OF-2","Captain","Apr-14","NA","4490","NA","NA"
"All","Army","Officers","OF-2","Captain","Apr-15","NA","4110","NA","NA"
"All","Army","Officers","OF-2","Captain","Apr-16","NA","4030","NA","NA"
"All","Army","Officers","OF-2","Captain","Apr-17","NA","3980","NA","NA"
"All","Army","Officers","OF-2","Captain","Apr-18","NA","4060","NA","NA"
"All","Army","Officers","OF-2","Captain","Oct-12","NA","4710","NA","NA"
"All","Army","Officers","OF-2","Captain","Oct-13","NA","4450","NA","NA"
"All","Army","Officers","OF-2","Captain","Oct-14","NA","4220","NA","NA"
"All","Army","Officers","OF-2","Captain","Oct-15","NA","4010","NA","NA"
"All","Army","Officers","OF-2","Captain","Oct-16","NA","3940","NA","NA"
"All","Army","Officers","OF-2","Captain","Oct-17","NA","4000","NA","NA"
"All","Army","Officers","OF-3","Major","Apr-12","NA","4520","NA","NA"
"All","Army","Officers","OF-3","Major","Apr-13","NA","4340","NA","NA"
"All","Army","Officers","OF-3","Major","Apr-14","NA","4150","NA","NA"
"All","Army","Officers","OF-3","Major","Apr-15","NA","4100","NA","NA"
"All","Army","Officers","OF-3","Major","Apr-16","NA","4050","NA","NA"
"All","Army","Officers","OF-3","Major","Apr-17","NA","4100","NA","NA"
"All","Army","Officers","OF-3","Major","Apr-18","NA","4100","NA","NA"
"All","Army","Officers","OF-3","Major","Oct-12","NA","4600","NA","NA"
"All","Army","Officers","OF-3","Major","Oct-13","NA","4380","NA","NA"
"All","Army","Officers","OF-3","Major","Oct-14","NA","4300","NA","NA"
