"Title","Armed forces workforce"
"Location","UK"
"Time period","2012 to 2018"
"Data source","Ministry of Defence"
"Data source link","https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Ethnicity","Service","Rank","NATO_code","Rank","Year","Value","Number","Note","Number_Note"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-1(D)","NA","Oct-15","3","120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-1(D)","NA","Oct-16","3","130","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-1(D)","NA","Oct-17","2.9","140","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Apr-12","2.5","290","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Apr-13","2.4","270","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Apr-14","2.4","250","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Apr-15","2.4","230","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Apr-16","2.3","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Apr-17","2.4","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Apr-18","2.4","220","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Oct-12","2.5","280","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Oct-13","2.4","250","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Oct-14","2.3","230","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Oct-15","2.3","220","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Oct-16","2.2","200","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-2","NA","Oct-17","2.3","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Apr-12","2.5","220","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Apr-13","2.6","220","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Apr-14","2.6","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Apr-15","2.4","190","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Apr-16","2.5","200","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Apr-17","2.4","200","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Apr-18","2.6","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Oct-12","2.7","230","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Oct-13","2.6","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Oct-14","2.6","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Oct-15","2.5","200","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Oct-16","2.5","200","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-3","NA","Oct-17","2.6","210","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Apr-12","2.3","90","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Apr-13","2","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Apr-14","2.2","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Apr-15","2.1","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Apr-16","2.1","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Apr-17","2.1","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Apr-18","2","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Oct-12","2.1","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Oct-13","2.3","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Oct-14","2.2","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Oct-15","2.1","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Oct-16","2","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-4","NA","Oct-17","1.9","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Apr-12","1.7","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Apr-13","1.7","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Apr-14","1.6","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Apr-15","1.7","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Apr-16","1.4","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Apr-17","1.8","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Apr-18","2.3","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Oct-12","1.5","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Oct-13","1.6","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Oct-14","1.7","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Oct-15","1.5","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Oct-16","1.6","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-5","NA","Oct-17","2.2","20","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Apr-12","1.5","10","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Apr-13","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Apr-14","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Apr-15","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Apr-16","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Apr-17","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Apr-18","!","!","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Oct-12","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Oct-13","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Oct-14","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Oct-15","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Oct-16","!","!","!",""
"Ethnic Minority (other than White Ethnic Minority)","All Services","Officers","OF-6 and above","NA","Oct-17","!","!","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-12","7.9","11580","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-13","8.1","11360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-14","8.1","10560","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-15","8","10050","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-16","8","9860","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-17","8.3","10040","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Apr-18","8.7","10310","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-12","8","11610","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-13","8.2","11160","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-14","8.1","10320","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-15","8","9930","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-16","8","9830","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","All Other Ranks","All Other Ranks","Oct-17","8.6","10270","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Apr-12","9.4","5890","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Apr-13","9.2","5470","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Apr-14","8.6","4750","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Apr-15","7.9","4180","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Apr-16","7.5","3800","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Apr-17","7.6","3690","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Apr-18","8","3670","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Oct-12","9.5","5860","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Oct-13","9.1","5280","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Oct-14","8.4","4530","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Oct-15","7.8","4070","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Oct-16","7.4","3700","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-1/OR-2","NA","Oct-17","8","3810","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Apr-12","14.9","2510","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Apr-13","15.3","2440","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Apr-14","15.2","2260","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Apr-15","14.6","2150","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Apr-16","14.2","2070","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Apr-17","14.4","2030","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Apr-18","14.9","2080","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Oct-12","15.2","2520","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Oct-13","15.4","2390","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Oct-14","14.9","2150","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Oct-15","14.3","2040","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Oct-16","14.4","2030","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-3","NA","Oct-17","14.8","2070","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Apr-12","7.5","2110","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Apr-13","8.3","2250","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Apr-14","8.9","2290","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Apr-15","9.4","2330","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Apr-16","9.8","2390","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Apr-17","10","2440","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Apr-18","10.2","2480","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Oct-12","7.7","2120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Oct-13","8.5","2300","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Oct-14","9.2","2340","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Oct-15","9.7","2360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Oct-16","9.8","2400","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-4","NA","Oct-17","10.2","2470","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Apr-12","3.5","670","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Apr-13","4.4","810","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Apr-14","5.1","860","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Apr-15","5.7","920","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Apr-16","6.5","1050","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Apr-17","7.4","1200","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Apr-18","7.9","1290","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Oct-12","3.8","710","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Oct-13","4.6","780","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Oct-14","5.4","850","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Oct-15","5.9","910","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Oct-16","6.7","1060","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-6","NA","Oct-17","7.4","1170","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Apr-12","2.1","250","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Apr-13","2.3","260","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Apr-14","2.8","300","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Apr-15","3.5","360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Apr-16","4.1","430","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Apr-17","4.9","520","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Apr-18","5.3","560","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Oct-12","2.2","260","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Oct-13","2.6","290","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Oct-14","3.3","340","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Oct-15","4","410","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Oct-16","4.6","480","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-7","NA","Oct-17","5.2","550","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Apr-12","1.9","100","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Apr-13","1.7","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Apr-14","1.5","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Apr-15","1.8","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Apr-16","2.3","90","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Apr-17","2.8","120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Apr-18","4.3","170","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Oct-12","1.7","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Oct-13","1.7","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Oct-14","1.6","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Oct-15","2.2","90","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Oct-16","2.7","110","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-8","NA","Oct-17","3.9","160","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Apr-12","1.8","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Apr-13","1.7","50","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Apr-14","1.5","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Apr-15","1.5","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Apr-16","1.4","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Apr-17","1.3","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Apr-18","1.3","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Oct-12","1.8","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Oct-13","1.4","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Oct-14","1.4","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Oct-15","1.4","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Oct-16","1.4","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","All Services","Other Ranks","OR-9","NA","Oct-17","1.4","40","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Apr-12","9.9","10300","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Apr-13","10.2","10140","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Apr-14","10.3","9360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Apr-15","10.2","8840","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Apr-16","10.2","8660","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Apr-17","10.6","8820","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Apr-18","11.1","8980","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Oct-12","10.1","10360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Oct-13","10.3","9970","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Oct-14","10.2","9120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Oct-15","10.2","8730","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Oct-16","10.2","8630","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","All Ranks","All","All","Oct-17","11","9050","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Apr-12","2.8","400","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Apr-13","2.7","370","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Apr-14","2.7","360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Apr-15","2.7","350","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Apr-16","2.8","350","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Apr-17","2.9","360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Apr-18","2.9","370","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Oct-12","2.7","390","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Oct-13","2.7","370","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Oct-14","2.7","350","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Oct-15","2.7","350","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Oct-16","2.8","360","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","All Officers","All Officers","Oct-17","2.9","380","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Apr-12","2.4","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Apr-13","2.5","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Apr-14","2.9","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Apr-15","3","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Apr-16","3","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Apr-17","3.1","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Apr-18","3.1","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Oct-12","2.4","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Oct-13","2.8","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Oct-14","2.9","60","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Oct-15","3.1","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Oct-16","3.1","70","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-1(D)","Officer Designate","Oct-17","3.4","80","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Apr-12","3.3","160","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Apr-13","2.9","140","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Apr-14","2.9","130","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Apr-15","2.9","120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Apr-16","2.8","110","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Apr-17","2.8","110","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Apr-18","2.7","110","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Oct-12","3.1","140","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Oct-13","2.9","130","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Oct-14","2.8","120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Oct-15","2.7","110","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Oct-16","2.7","100","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-2","Captain","Oct-17","2.7","110","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-3","Major","Apr-12","2.8","120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-3","Major","Apr-13","2.9","120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-3","Major","Apr-14","2.9","120","NA","NA"
"Ethnic Minority (other than White Ethnic Minority)","Army","Officers","OF-3","Major","Apr-15","2.9","120","NA","NA"
