"","Apr-12","Oct-12","Apr-13","Oct-13","Apr-14","Oct-14","Apr-15","Oct-15","Apr-16","Oct-16","Apr-17","Oct-17","Apr-18"
"Service","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All Services","7.9","8.0","8.1","8.2","8.1","8.1","8.0","8.0","8.0","8.0","8.3","8.6","8.7"
"Army","11.1","11.3","11.4","11.6","11.6","11.5","11.5","11.5","11.5","11.6","11.9","12.5","12.7"
"Royal Air Force","1.9","2.0","2.0","2.0","2.0","2.0","2.1","2.1","2.2","2.2","2.3","2.3","2.4"
"Royal Navy/Royal Marines","4.0","3.9","3.9","3.9","3.9","4.0","4.0","4.0","3.9","3.9","3.9","4.1","4.3"
