"","Officers","","Other Ranks",""
"Service","White","Other ethnic groups","White","Other ethnic groups"
"All Services","97.6","2.4","91.4","8.6"
"Army","97.1","2.9","87.5","12.5"
"Royal Air Force","98.0","2.0","97.7","2.3"
"Royal Navy/Royal Marines","98.1","1.9","95.9","4.1"
