"Title","Happiness yesterday by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Ethnicity","Average score"
"All","7.53"
"Arab","7.13"
"Bangladeshi","7.51"
"Chinese","7.33"
"Indian","7.80"
"Pakistani","7.51"
"Asian other","7.73"
"Black","7.34"
"Mixed","7.21"
"White","7.53"
"White Gypsy/Traveller","?"
"Other","7.56"
