"Title","‘Very high’ levels of happiness, by ethnicity over time"
"Location","UK"
"Time period","2012 to 2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Year","Ethnicity",""
"2012","All","31.49"
"2012","Arab","23.73"
"2012","Bangladeshi","33.42"
"2012","Chinese","27.26"
"2012","Indian","35.73"
"2012","Pakistani","30.68"
"2012","Asian other","31.49"
"2012","Black","29.35"
"2012","Mixed","24.73"
"2012","White","31.59"
"2012","White Gypsy/Traveller","?"
"2012","Other","28.55"
"2013","All","32.28"
"2013","Arab","23.28"
"2013","Bangladeshi","35.04"
"2013","Chinese","29.44"
"2013","Indian","32.68"
"2013","Pakistani","32.07"
"2013","Asian other","34.64"
"2013","Black","32.37"
"2013","Mixed","31.93"
"2013","White","32.32"
"2013","White Gypsy/Traveller","?"
"2013","Other","30.40"
"2014","All","33.72"
"2014","Arab","26.29"
"2014","Bangladeshi","37.86"
"2014","Chinese","34.10"
"2014","Indian","34.90"
"2014","Pakistani","34.38"
"2014","Asian other","31.42"
"2014","Black","33.02"
"2014","Mixed","28.65"
"2014","White","33.80"
"2014","White Gypsy/Traveller","?"
"2014","Other","32.37"
"2015","All","34.24"
"2015","Arab","31.89"
"2015","Bangladeshi","34.23"
"2015","Chinese","33.53"
"2015","Indian","35.80"
"2015","Pakistani","36.06"
"2015","Asian other","33.99"
"2015","Black","32.54"
"2015","Mixed","28.80"
"2015","White","34.32"
"2015","White Gypsy/Traveller","?"
"2015","Other","32.80"
"2016","All","34.58"
"2016","Arab","33.42"
"2016","Bangladeshi","37.25"
"2016","Chinese","30.67"
"2016","Indian","38.55"
"2016","Pakistani","35.69"
"2016","Asian other","34.28"
"2016","Black","34.39"
"2016","Mixed","30.77"
"2016","White","34.53"
"2016","White Gypsy/Traveller","?"
"2016","Other","33.94"
"2017","All","35.12"
"2017","Arab","27.08"
"2017","Bangladeshi","37.51"
"2017","Chinese","27.90"
"2017","Indian","38.47"
"2017","Pakistani","36.90"
"2017","Asian other","37.30"
"2017","Black","33.76"
"2017","Mixed","26.79"
"2017","White","35.17"
"2017","White Gypsy/Traveller","?"
"2017","Other","36.97"
