"Title","Happiness by ethnicity and gender"
"Location",""
"Time period","2013 to 2015 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinghappiness"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","Female","Male"
"Ethnicity","",""
"All","7.46","7.42"
"Bangladeshi","7.60","7.37"
"Chinese","7.78","7.41"
"Indian","7.52","7.70"
"Pakistani","7.42","7.42"
"Asian other","7.58","7.44"
"Black","7.28","7.25"
"Mixed other","7.09","7.18"
"White","7.47","7.43"
"Other","7.42","7.39"
"Arab","6.98","7.04"
"Gypsy / Traveller / Irish Traveller","?","?"
