"Title","Number of arrests by ethnicity and area"
"Location","England and Wales"
"Time period","2015/2016"
"Data source","Arrests open data https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Value2","Notes"
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area","327","N/A","N/A","0.2022","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area","224","N/A","N/A","0.1385","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area","94","N/A","N/A","0.0581","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","London, City of","Police Force Area","1775","N/A","N/A","1","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area","931","N/A","N/A","0.5758","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area","410","3208","127.81","0.0388",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","London, City of","Police Force Area","41","N/A","N/A","0.0254","Arrest rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population."
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","North Wales","Police Force Area","137","1497","91.52","0.0092",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area","852","10174","83.74","0.0791",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area","1173","14246","82.34","0.0612",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area","412","5062","81.39","0.032",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area","46","579","79.45","0.0067",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area","311","4106","75.74","0.0202",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Norfolk","Police Force Area","336","4609","72.9","0.0332",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Dyfed-Powys","Police Force Area","60","856","70.09","0.0109",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area","221","3156","70.03","0.0154",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area","226","3264","69.24","0.0163",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Hampshire","Police Force Area","1108","17445","63.51","0.0499",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area","1450","22879","63.38","0.0683",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Wiltshire","Police Force Area","372","6089","61.09","0.0547",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area","1629","27287","59.7","0.0689",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area","293","5150","56.89","0.0566",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area","1737","30923","56.17","0.0707",""
