"Title","A* to C in English and Maths GCSE by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," Girls-Denominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Derbyshire","Local Authority","E10000007","All pupils","All pupils","59"," 161 ","NA","NA","","56"," 80 ","","62"," 81 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Leicester","Local Authority","E06000016","All pupils","All pupils","51"," 210 ","NA","NA","","49"," 105 ","","53"," 105 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Leicestershire","Local Authority","E10000018","All pupils","All pupils","68"," 246 ","NA","NA","","65"," 133 ","","73"," 113 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","69"," 134 ","NA","NA","","x"," 73 ","Suppressed","x"," 61 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","54"," 327 ","NA","NA","","52"," 158 ","","57"," 169 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Nottingham","Local Authority","E06000018","All pupils","All pupils","53"," 231 ","NA","NA","","51"," 118 ","","55"," 113 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","69"," 255 ","NA","NA","","63"," 134 ","","75"," 121 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Rutland","Local Authority","E06000017","All pupils","All pupils","67"," 9 ","NA","NA","","x"," 4 ","Suppressed","x"," 5 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Birmingham","Local Authority","E08000025","All pupils","All pupils","58"," 834 ","NA","NA","","57"," 432 ","","59"," 402 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Coventry","Local Authority","E08000026","All pupils","All pupils","53"," 181 ","NA","NA","","46"," 96 ","","61"," 85 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Dudley","Local Authority","E08000027","All pupils","All pupils","53"," 183 ","NA","NA","","50"," 97 ","","56"," 86 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","80"," 25 ","NA","NA","","x"," 16 ","Suppressed","x"," 9 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Sandwell","Local Authority","E08000028","All pupils","All pupils","48"," 223 ","NA","NA","","43"," 127 ","","54"," 96 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Shropshire","Local Authority","E06000051","All pupils","All pupils","66"," 53 ","NA","NA","","x"," 31 ","Suppressed","x"," 22 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Solihull","Local Authority","E08000029","All pupils","All pupils","57"," 181 ","NA","NA","","56"," 95 ","","58"," 86 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Staffordshire","Local Authority","E10000028","All pupils","All pupils","57"," 189 ","NA","NA","","60"," 90 ","","55"," 99 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","48"," 69 ","NA","NA","","44"," 36 ","","52"," 33 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","56"," 70 ","NA","NA","","50"," 36 ","","62"," 34 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Walsall","Local Authority","E08000030","All pupils","All pupils","54"," 155 ","NA","NA","","46"," 84 ","","62"," 71 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Warwickshire","Local Authority","E10000031","All pupils","All pupils","72"," 187 ","NA","NA","","68"," 95 ","","75"," 92 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","48"," 223 ","NA","NA","","40"," 105 ","","56"," 118 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Worcestershire","Local Authority","E10000034","All pupils","All pupils","65"," 169 ","NA","NA","","60"," 93 ","","70"," 76 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Bedford","Local Authority","E06000055","All pupils","All pupils","53"," 143 ","NA","NA","","49"," 69 ","","57"," 74 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","72"," 194 ","NA","NA","","64"," 103 ","","80"," 91 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","58"," 103 ","NA","NA","","49"," 53 ","","68"," 50 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Essex","Local Authority","E10000012","All pupils","All pupils","66"," 541 ","NA","NA","","63"," 268 ","","70"," 273 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","65"," 702 ","NA","NA","","60"," 366 ","","71"," 336 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Luton","Local Authority","E06000032","All pupils","All pupils","47"," 192 ","NA","NA","","42"," 90 ","","51"," 102 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Norfolk","Local Authority","E10000020","All pupils","All pupils","57"," 178 ","NA","NA","","58"," 91 ","","55"," 87 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Peterborough","Local Authority","E06000031","All pupils","All pupils","63"," 105 ","NA","NA","","55"," 55 ","","72"," 50 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","66"," 91 ","NA","NA","","59"," 46 ","","73"," 45 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Suffolk","Local Authority","E10000029","All pupils","All pupils","56"," 305 ","NA","NA","","50"," 133 ","","60"," 172 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Thurrock","Local Authority","E06000034","All pupils","All pupils","77"," 61 ","NA","NA","","75"," 32 ","","79"," 29 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Camden","Local Authority","E09000007","All pupils","All pupils","56"," 142 ","NA","NA","","42"," 60 ","","67"," 82 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","City of London","Local Authority","E09000001","All pupils","All pupils","."," . ","NA","NA","Not applicable","."," . ","Not applicable","."," . ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Hackney","Local Authority","E09000012","All pupils","All pupils","69"," 193 ","NA","NA","","65"," 80 ","","72"," 113 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","69"," 133 ","NA","NA","","62"," 71 ","","77"," 62 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Haringey","Local Authority","E09000014","All pupils","All pupils","68"," 253 ","NA","NA","","62"," 125 ","","74"," 128 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Islington","Local Authority","E09000019","All pupils","All pupils","64"," 158 ","NA","NA","","62"," 93 ","","66"," 65 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","74"," 113 ","NA","NA","","74"," 62 ","","75"," 51 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Lambeth","Local Authority","E09000022","All pupils","All pupils","59"," 228 ","NA","NA","","59"," 129 ","","60"," 99 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Lewisham","Local Authority","E09000023","All pupils","All pupils","64"," 286 ","NA","NA","","58"," 150 ","","71"," 136 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Newham","Local Authority","E09000025","All pupils","All pupils","51"," 199 ","NA","NA","","48"," 103 ","","55"," 96 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Southwark","Local Authority","E09000028","All pupils","All pupils","66"," 255 ","NA","NA","","61"," 137 ","","70"," 118 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","55"," 129 ","NA","NA","","52"," 64 ","","59"," 65 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Wandsworth","Local Authority","E09000032","All pupils","All pupils","72"," 188 ","NA","NA","","67"," 100 ","","78"," 88 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Westminster","Local Authority","E09000033","All pupils","All pupils","75"," 130 ","NA","NA","","66"," 62 ","","84"," 68 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","55"," 141 ","NA","NA","","54"," 67 ","","57"," 74 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Barnet","Local Authority","E09000003","All pupils","All pupils","73"," 363 ","NA","NA","","74"," 170 ","","73"," 193 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Bexley","Local Authority","E09000004","All pupils","All pupils","63"," 161 ","NA","NA","","64"," 90 ","","61"," 71 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Brent","Local Authority","E09000005","All pupils","All pupils","55"," 158 ","NA","NA","","50"," 86 ","","61"," 72 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Bromley","Local Authority","E09000006","All pupils","All pupils","74"," 229 ","NA","NA","","72"," 105 ","","76"," 124 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Croydon","Local Authority","E09000008","All pupils","All pupils","59"," 424 ","NA","NA","","52"," 178 ","","63"," 246 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Ealing","Local Authority","E09000009","All pupils","All pupils","72"," 195 ","NA","NA","","68"," 91 ","","75"," 104 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Enfield","Local Authority","E09000010","All pupils","All pupils","65"," 324 ","NA","NA","","59"," 184 ","","74"," 140 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Greenwich","Local Authority","E09000011","All pupils","All pupils","62"," 208 ","NA","NA","","58"," 98 ","","65"," 110 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Harrow","Local Authority","E09000015","All pupils","All pupils","64"," 163 ","NA","NA","","54"," 72 ","","73"," 91 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Havering","Local Authority","E09000016","All pupils","All pupils","61"," 127 ","NA","NA","","60"," 67 ","","62"," 60 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Hillingdon","Local Authority","E09000017","All pupils","All pupils","68"," 299 ","NA","NA","","62"," 154 ","","73"," 145 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Hounslow","Local Authority","E09000018","All pupils","All pupils","74"," 224 ","NA","NA","","73"," 101 ","","74"," 123 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","83"," 115 ","NA","NA","","81"," 41 ","","84"," 74 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Merton","Local Authority","E09000024","All pupils","All pupils","74"," 155 ","NA","NA","","67"," 73 ","","81"," 82 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Redbridge","Local Authority","E09000026","All pupils","All pupils","61"," 230 ","NA","NA","","51"," 113 ","","70"," 117 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","70"," 135 ","NA","NA","","72"," 67 ","","69"," 68 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Sutton","Local Authority","E09000029","All pupils","All pupils","76"," 201 ","NA","NA","","77"," 104 ","","75"," 97 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","62"," 227 ","NA","NA","","62"," 109 ","","61"," 118 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","69"," 49 ","NA","NA","","70"," 27 ","","68"," 22 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","69"," 181 ","NA","NA","","60"," 101 ","","79"," 80 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","68"," 312 ","NA","NA","","69"," 152 ","","68"," 160 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","East Sussex","Local Authority","E10000011","All pupils","All pupils","63"," 166 ","NA","NA","","58"," 84 ","","67"," 82 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Hampshire","Local Authority","E10000014","All pupils","All pupils","66"," 350 ","NA","NA","","60"," 189 ","","73"," 161 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","56"," 27 ","NA","NA","","50"," 18 ","","67"," 9 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Kent","Local Authority","E10000016","All pupils","All pupils","73"," 536 ","NA","NA","","69"," 271 ","","76"," 265 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Medway","Local Authority","E06000035","All pupils","All pupils","62"," 125 ","NA","NA","","51"," 51 ","","70"," 74 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","59"," 187 ","NA","NA","","60"," 95 ","","59"," 92 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","59"," 288 ","NA","NA","","56"," 148 ","","61"," 140 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Portsmouth","Local Authority","E06000044","All pupils","All pupils","63"," 54 ","NA","NA","","60"," 25 ","","66"," 29 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Reading","Local Authority","E06000038","All pupils","All pupils","56"," 98 ","NA","NA","","62"," 47 ","","51"," 51 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Slough","Local Authority","E06000039","All pupils","All pupils","74"," 112 ","NA","NA","","72"," 60 ","","77"," 52 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Southampton","Local Authority","E06000045","All pupils","All pupils","56"," 95 ","NA","NA","","39"," 44 ","","71"," 51 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Surrey","Local Authority","E10000030","All pupils","All pupils","74"," 473 ","NA","NA","","69"," 241 ","","78"," 232 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","West Berkshire","Local Authority","E06000037","All pupils","All pupils","63"," 75 ","NA","NA","","61"," 33 ","","64"," 42 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","West Sussex","Local Authority","E10000032","All pupils","All pupils","61"," 258 ","NA","NA","","57"," 131 ","","65"," 127 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","79"," 99 ","NA","NA","","79"," 48 ","","78"," 51 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Wokingham","Local Authority","E06000041","All pupils","All pupils","64"," 89 ","NA","NA","","58"," 52 ","","73"," 37 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","65"," 74 ","NA","NA","","61"," 38 ","","69"," 36 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Bournemouth","Local Authority","E06000028","All pupils","All pupils","71"," 73 ","NA","NA","","63"," 40 ","","82"," 33 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","64"," 209 ","NA","NA","","59"," 108 ","","69"," 101 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Cornwall","Local Authority","E06000052","All pupils","All pupils","71"," 99 ","NA","NA","","76"," 45 ","","67"," 54 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Devon","Local Authority","E10000008","All pupils","All pupils","63"," 95 ","NA","NA","","61"," 51 ","","66"," 44 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Dorset","Local Authority","E10000009","All pupils","All pupils","68"," 80 ","NA","NA","","68"," 50 ","","67"," 30 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","62"," 195 ","NA","NA","","57"," 93 ","","67"," 102 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","."," -   ","NA","NA","Not applicable","."," -   ","Not applicable","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","North Somerset","Local Authority","E06000024","All pupils","All pupils","68"," 66 ","NA","NA","","59"," 34 ","","78"," 32 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Plymouth","Local Authority","E06000026","All pupils","All pupils","70"," 43 ","NA","NA","","67"," 18 ","","72"," 25 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Poole","Local Authority","E06000029","All pupils","All pupils","79"," 47 ","NA","NA","","79"," 24 ","","78"," 23 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Somerset","Local Authority","E10000027","All pupils","All pupils","67"," 100 ","NA","NA","","61"," 46 ","","72"," 54 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","54"," 109 ","NA","NA","","44"," 62 ","","68"," 47 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Swindon","Local Authority","E06000030","All pupils","All pupils","67"," 60 ","NA","NA","","69"," 29 ","","65"," 31 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Torbay","Local Authority","E06000027","All pupils","All pupils","75"," 40 ","NA","NA","","83"," 18 ","","68"," 22 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","Wiltshire","Local Authority","E06000054","All pupils","All pupils","73"," 115 ","NA","NA","","72"," 61 ","","74"," 54 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","County Durham","Local Authority","E06000047","All pupils","All pupils","70"," 33 ","NA","NA","","x"," 17 ","Suppressed","x"," 16 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Darlington","Local Authority","E06000005","All pupils","All pupils","52"," 21 ","NA","NA","","x"," 8 ","Suppressed","x"," 13 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Gateshead","Local Authority","E08000037","All pupils","All pupils","86"," 35 ","NA","NA","","75"," 20 ","","100"," 15 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Hartlepool","Local Authority","E06000001","All pupils","All pupils","71"," 14 ","NA","NA","","x"," 7 ","Suppressed","x"," 7 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","72"," 172 ","NA","NA","","74"," 77 ","","70"," 95 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","67"," 249 ","NA","NA","","63"," 135 ","","72"," 114 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","North Tyneside","Local Authority","E08000022","All pupils","All pupils","58"," 38 ","NA","NA","","42"," 12 ","","65"," 26 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Northumberland","Local Authority","E06000057","All pupils","All pupils","79"," 42 ","NA","NA","","80"," 25 ","","77"," 17 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","57"," 21 ","NA","NA","","46"," 11 ","","70"," 10 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","South Tyneside","Local Authority","E08000023","All pupils","All pupils","67"," 57 ","NA","NA","","46"," 26 ","","84"," 31 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","63"," 106 ","NA","NA","","57"," 54 ","","69"," 52 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Sunderland","Local Authority","E08000024","All pupils","All pupils","72"," 90 ","NA","NA","","74"," 34 ","","71"," 56 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","71"," 735 ","NA","NA","","66"," 388 ","","76"," 347 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Blackpool","Local Authority","E06000009","All pupils","All pupils","63"," 19 ","NA","NA","","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Bolton","Local Authority","E08000001","All pupils","All pupils","69"," 611 ","NA","NA","","62"," 334 ","","77"," 277 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Bury","Local Authority","E08000002","All pupils","All pupils","63"," 244 ","NA","NA","","58"," 120 ","","69"," 124 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Cheshire East","Local Authority","E06000049","All pupils","All pupils","66"," 62 ","NA","NA","","73"," 26 ","","61"," 36 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","76"," 37 ","NA","NA","","67"," 18 ","","84"," 19 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Cumbria","Local Authority","E10000006","All pupils","All pupils","65"," 31 ","NA","NA","","64"," 14 ","","65"," 17 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Halton","Local Authority","E06000006","All pupils","All pupils","x"," x ","NA","NA","Suppressed","x"," x ","Suppressed","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Knowsley","Local Authority","E08000011","All pupils","All pupils","x"," x ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Lancashire","Local Authority","E10000017","All pupils","All pupils","59"," 1,147 ","NA","NA","","53"," 593 ","","64"," 554 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Liverpool","Local Authority","E08000012","All pupils","All pupils","70"," 132 ","NA","NA","","69"," 71 ","","71"," 61 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Manchester","Local Authority","E08000003","All pupils","All pupils","64"," 974 ","NA","NA","","62"," 478 ","","67"," 496 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Oldham","Local Authority","E08000004","All pupils","All pupils","56"," 822 ","NA","NA","","54"," 423 ","","58"," 399 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Rochdale","Local Authority","E08000005","All pupils","All pupils","61"," 551 ","NA","NA","","57"," 279 ","","64"," 272 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Salford","Local Authority","E08000006","All pupils","All pupils","68"," 38 ","NA","NA","","57"," 21 ","","82"," 17 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Sefton","Local Authority","E08000014","All pupils","All pupils","70"," 23 ","NA","NA","","x"," 14 ","Suppressed","x"," 9 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","St. Helens","Local Authority","E08000013","All pupils","All pupils","x"," 14 ","NA","NA","Suppressed","100"," 5 ","","x"," 9 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Stockport","Local Authority","E08000007","All pupils","All pupils","68"," 168 ","NA","NA","","59"," 88 ","","78"," 80 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Tameside","Local Authority","E08000008","All pupils","All pupils","67"," 253 ","NA","NA","","62"," 128 ","","72"," 125 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Trafford","Local Authority","E08000009","All pupils","All pupils","81"," 327 ","NA","NA","","77"," 185 ","","85"," 142 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Warrington","Local Authority","E06000007","All pupils","All pupils","80"," 49 ","NA","NA","","77"," 30 ","","84"," 19 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Wigan","Local Authority","E08000010","All pupils","All pupils","63"," 30 ","NA","NA","","70"," 20 ","","50"," 10 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Wirral","Local Authority","E08000015","All pupils","All pupils","78"," 64 ","NA","NA","","78"," 23 ","","78"," 41 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Barnsley","Local Authority","E08000016","All pupils","All pupils","x"," 6 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","Bradford","Local Authority","E08000032","All pupils","All pupils","51"," 2,482 ","NA","NA","","47"," 1,275 ","","55"," 1,207 ",""
