"Title","A* to C in English and Maths GCSE by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","62"," 4,979 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","62"," 1,139 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","65"," 1,913 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","55"," 1,068 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","55"," 1,464 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","62"," 2,393 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","68"," 1,945 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","61"," 3,198 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","61"," 1,620 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","62"," 1,535 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","64"," 1,994 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","59"," 2,828 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","65"," 1,754 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","48"," 1,331 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","59"," 3,240 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","62"," 2,060 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","68"," 3,740 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","66"," 3,443 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","63"," 5,134 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","60"," 1,373 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","40"," 1,147 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","64"," 12,106 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","57"," 4,611 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","55"," 4,715 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","57"," 2,920 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","59"," 2,315 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","53"," 2,084 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","60"," 3,076 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","60"," 1,767 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","66"," 2,816 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","64"," 2,493 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","75"," 2,758 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","64"," 2,365 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Wigan","Local Authority","E08000010","All pupils","All pupils","63"," 3,407 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Wirral","Local Authority","E08000015","All pupils","All pupils","66"," 3,402 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Barnsley","Local Authority","E08000016","All pupils","All pupils","59"," 2,088 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","All pupils","All pupils","52"," 5,859 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","All pupils","All pupils","65"," 2,524 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","All pupils","All pupils","60"," 3,026 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","67"," 3,346 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","51"," 2,255 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Kirklees","Local Authority","E08000034","All pupils","All pupils","61"," 4,534 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Leeds","Local Authority","E08000035","All pupils","All pupils","60"," 7,483 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","56"," 1,596 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","64"," 1,856 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","68"," 6,188 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Rotherham","Local Authority","E08000018","All pupils","All pupils","62"," 3,335 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Sheffield","Local Authority","E08000019","All pupils","All pupils","59"," 5,242 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Wakefield","Local Authority","E08000036","All pupils","All pupils","64"," 3,645 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","York","Local Authority","E06000014","All pupils","All pupils","69"," 1,585 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Derby","Local Authority","E06000015","All pupils","All pupils","54"," 2,787 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Derbyshire","Local Authority","E10000007","All pupils","All pupils","62"," 7,628 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Leicester","Local Authority","E06000016","All pupils","All pupils","57"," 3,409 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Leicestershire","Local Authority","E10000018","All pupils","All pupils","65"," 7,017 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","62"," 7,807 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","60"," 7,650 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Nottingham","Local Authority","E06000018","All pupils","All pupils","50"," 2,534 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","66"," 7,883 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Rutland","Local Authority","E06000017","All pupils","All pupils","76"," 489 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Birmingham","Local Authority","E08000025","All pupils","All pupils","60"," 12,035 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Coventry","Local Authority","E08000026","All pupils","All pupils","61"," 3,463 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Dudley","Local Authority","E08000027","All pupils","All pupils","56"," 3,591 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","62"," 1,732 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Sandwell","Local Authority","E08000028","All pupils","All pupils","50"," 3,499 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Shropshire","Local Authority","E06000051","All pupils","All pupils","63"," 2,986 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Solihull","Local Authority","E08000029","All pupils","All pupils","65"," 2,987 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Staffordshire","Local Authority","E10000028","All pupils","All pupils","60"," 8,758 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","56"," 2,269 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","59"," 2,014 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Walsall","Local Authority","E08000030","All pupils","All pupils","57"," 3,261 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","All pupils","Warwickshire","Local Authority","E10000031","All pupils","All pupils","67"," 5,585 ","NA","NA",""
