"Title","A* to C in English and Maths GCSE by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","All pupils","63","422,763","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","DFE","England","Country","E92000001","All pupils","All pupils","63","395,316","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All pupils","All pupils","72","1,774","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All pupils","All pupils","21","122","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All pupils","All pupils","10","1,107","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All pupils","All pupils","59","24,444","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","All pupils","63","22,868","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All pupils","All pupils","54","7,160","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All pupils","All pupils","62","2,687","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All pupils","All pupils","72","5,089","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All pupils","All pupils","65","7,932","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","All pupils","67","51,218","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All pupils","All pupils","77","14,046","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All pupils","All pupils","58","20,434","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All pupils","All pupils","67","8,319","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All pupils","All pupils","73","8,419","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","All pupils","59","27,924","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All pupils","All pupils","51","7,216","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","DFE","England","Country","E92000001","All pupils","All pupils","63","17,349","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All pupils","All pupils","55","3,359","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","All pupils","83","2,026","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other","DFE","England","Country","E92000001","All pupils","All pupils","62","8,119","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","DFE","England","Country","E92000001","All pupils","All pupils","53","5,771","NA","NA"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","DFE","England","Country","E92000001","All pupils","All pupils","63","540,689","NA","NA"
