"Title","Renting from a local authority or housing association, by ethnicity and income"
"Location","England"
"Time period","2014/15 to 2015/16"
"Data source","English Housing Survey 2014-15 and 2015-16"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","NS-SEC group","Weekly income","Region","Denominator","Numerator","Value"
"White British","All","Up to £99","All"," 183,039 "," 110,302 ","60"
"White British","All","£100 to £199","All"," 1,623,813 "," 740,427 ","46"
"White British","All","£200 to £299","All"," 2,290,104 "," 728,441 ","32"
"White British","All","£300 to £399","All"," 2,121,559 "," 484,822 ","23"
"White British","All","£400 to £499","All"," 1,793,046 "," 320,623 ","18"
"White British","All","£500 to £599","All"," 1,641,076 "," 234,904 ","14"
"White British","All","£600 to £699","All"," 1,521,753 "," 159,142 ","10"
"White British","All","£700 to £799","All"," 1,234,900 "," 86,599 ","7"
"White British","All","£800 to £899","All"," 1,099,098 "," 64,484 ","6"
"White British","All","£900 to £999","All"," 875,735 "," 35,884 ","4"
"White British","All","£1000 and above","All"," 4,424,028 "," 114,161 ","3"
"All other ethnic groups","All","Up to £99","All"," 64,744 "," 41,296 ","64"
"All other ethnic groups","All","£100 to £199","All"," 319,019 "," 136,667 ","43"
"All other ethnic groups","All","£200 to £299","All"," 382,066 "," 156,866 ","41"
"All other ethnic groups","All","£300 to £399","All"," 490,875 "," 144,997 ","30"
"All other ethnic groups","All","£400 to £499","All"," 399,204 "," 108,329 ","27"
"All other ethnic groups","All","£500 to £599","All"," 343,358 "," 76,241 ","22"
"All other ethnic groups","All","£600 to £699","All"," 312,920 "," 60,762 ","19"
"All other ethnic groups","All","£700 to £799","All"," 266,681 "," 30,937 ","12"
"All other ethnic groups","All","£800 to £899","All"," 209,729 "," 22,388 ","11"
"All other ethnic groups","All","£900 to £999","All"," 188,360 "," 18,509 ","10"
"All other ethnic groups","All","£1000 and above","All"," 831,408 "," 34,930 ","4"
