"","Asian","Black","Mixed","White","Other inc Chinese"
"Year","Self-harm incidents per 1,000 prisoners","Self-harm incidents per 1,000 prisoners","Self-harm incidents per 1,000 prisoners","Self-harm incidents per 1,000 prisoners","Self-harm incidents per 1,000 prisoners"
"2012","183","113","39","325","159"
"2013","196","120","59","326","213"
"2014","160","116","75","363","185"
"2015","243","124","91","450","225"
"2016","277","143","134","551","347"
