"Title","Armed forces personnel by ethnicity and rank"
"Location","Other"
"Time period","2017"
"Data source","UK armed forces biannual diversity statistics https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2017"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Service","Rank","NATO code","Year","Value"
"Other","All Services","Officers","All Officers","Apr-17","2.4"
"Other","All Services","Officers","OF-1(D)","Apr-17","2.9"
"Other","All Services","Officers","OF-2","Apr-17","2.4"
"Other","All Services","Officers","OF-3","Apr-17","2.4"
"Other","All Services","Officers","OF-4","Apr-17","2.1"
"Other","All Services","Officers","OF-5","Apr-17","1.8"
"Other","All Services","Officers","OF-6 and above","Apr-17","NA"
"Other","All Services","Other Ranks","All Other Ranks","Apr-17","8.3"
"Other","All Services","Other Ranks","OR-1/OR-2","Apr-17","7.6"
"Other","All Services","Other Ranks","OR-3","Apr-17","14.4"
"Other","All Services","Other Ranks","OR-4","Apr-17","10"
"Other","All Services","Other Ranks","OR-6","Apr-17","7.4"
"Other","All Services","Other Ranks","OR-7","Apr-17","4.9"
"Other","All Services","Other Ranks","OR-8","Apr-17","2.8"
"Other","All Services","Other Ranks","OR-9","Apr-17","1.3"
"White","All Services","Officers","All Officers","Apr-17","97.6"
"White","All Services","Officers","OF-1(D)","Apr-17","97.1"
"White","All Services","Officers","OF-2","Apr-17","97.6"
"White","All Services","Officers","OF-3","Apr-17","97.6"
"White","All Services","Officers","OF-4","Apr-17","97.9"
"White","All Services","Officers","OF-5","Apr-17","98.2"
"White","All Services","Officers","OF-6 and above","Apr-17","99.1"
"White","All Services","Other Ranks","All Other Ranks","Apr-17","91.7"
"White","All Services","Other Ranks","OR-1/OR-2","Apr-17","92.4"
"White","All Services","Other Ranks","OR-3","Apr-17","85.6"
"White","All Services","Other Ranks","OR-4","Apr-17","90"
"White","All Services","Other Ranks","OR-6","Apr-17","92.6"
"White","All Services","Other Ranks","OR-7","Apr-17","95.1"
"White","All Services","Other Ranks","OR-8","Apr-17","97.2"
"White","All Services","Other Ranks","OR-9","Apr-17","98.7"
