"Title","Officers by ethnicity and service over time"
"Location","Other"
"Time period","2012 to 2017"
"Data source","UK armed forces biannual diversity statistics https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2017"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Service","Rank","NATO_code","Year","Value"
"BAME","All Services","Officers","All","Apr-12","2.4"
"BAME","All Services","Officers","All","Apr-13","2.4"
"BAME","All Services","Officers","All","Apr-14","2.4"
"BAME","All Services","Officers","All","Apr-15","2.3"
"BAME","All Services","Officers","All","Apr-16","2.4"
"BAME","All Services","Officers","All","Apr-17","2.4"
"BAME","Army","Officers","All","Apr-12","2.8"
"BAME","Army","Officers","All","Apr-13","2.7"
"BAME","Army","Officers","All","Apr-14","2.7"
"BAME","Army","Officers","All","Apr-15","2.7"
"BAME","Army","Officers","All","Apr-16","2.8"
"BAME","Army","Officers","All","Apr-17","2.9"
"BAME","Royal Air Force","Officers","All","Apr-12","2.3"
"BAME","Royal Air Force","Officers","All","Apr-13","2.3"
"BAME","Royal Air Force","Officers","All","Apr-14","2.3"
"BAME","Royal Air Force","Officers","All","Apr-15","2.2"
"BAME","Royal Air Force","Officers","All","Apr-16","2.2"
"BAME","Royal Air Force","Officers","All","Apr-17","2.1"
"BAME","Royal Navy/Royal Marines","Officers","All","Apr-12","1.8"
"BAME","Royal Navy/Royal Marines","Officers","All","Apr-13","1.8"
"BAME","Royal Navy/Royal Marines","Officers","All","Apr-14","1.8"
"BAME","Royal Navy/Royal Marines","Officers","All","Apr-15","1.8"
"BAME","Royal Navy/Royal Marines","Officers","All","Apr-16","1.8"
"BAME","Royal Navy/Royal Marines","Officers","All","Apr-17","1.9"
