"Title","Sense of neighbourhood belonging by ethnicity"
"Location","England"
"Time period","2009/10 to 2010/11 and 2012/13 to 2015/16"
"Data source","Community Life Survey (previously Citizenship Survey) https://www.gov.uk/government/collections/community-life-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Ethnicity","Value","Sample size"
"2009/10","White","77","7,872"
"2009/10","non-white","72","790"
"2009/10","All","76","8,664"
"2010/11","White","78","8,651"
"2010/11","non-white","74","955"
"2010/11","All","78","9,608"
"2012/13","White","79","6,202"
"2012/13","non-white","76","676"
"2012/13","All","78","6,886"
"2013/14","White","71","4,513"
"2013/14","non-white","66","560"
"2013/14","All","70","5,078"
"2014/15","White","72","1,782"
"2014/15","non-white","72","231"
"2014/15","All","72","2,014"
"2015/16","White","72","2,653"
"2015/16","non-white","67","354"
"2015/16","All","71","3,012"
