Measure,Time,Time Type,Ethnicity,Ethnicity Type,Geography,Geography type,ONS geography code,Gender,FSM,Admission Basis,Type of School,SEN,Religious character,Value,Denominator
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,45.7,2798
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,49.4,1079
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Asian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,54.5,2180
Average Attainment 8 score per pupil,2016,Academic year,Mixed - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,51.4,3357
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,51.7,21835
Average Attainment 8 score per pupil,2016,Academic year,Asian - Indian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,55.9,6782
Average Attainment 8 score per pupil,2016,Academic year,Asian - Pakistani,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,47.7,8163
Average Attainment 8 score per pupil,2016,Academic year,Asian - Bangladeshi,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,51.1,2972
Average Attainment 8 score per pupil,2016,Academic year,Asian - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,53.1,3918
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,47.1,10594
Average Attainment 8 score per pupil,2016,Academic year,Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,43.7,2710
Average Attainment 8 score per pupil,2016,Academic year,Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.9,6594
Average Attainment 8 score per pupil,2016,Academic year,Black - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,44.7,1290
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,60.3,966
Average Attainment 8 score per pupil,2016,Academic year,Other - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,49.2,3182
Average Attainment 8 score per pupil,2016,Academic year,Unclassified,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,42.7,2465
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Boys,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,49.4,238526
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,53.7,183098
Average Attainment 8 score per pupil,2016,Academic year,White - British,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,53.8,171125
Average Attainment 8 score per pupil,2016,Academic year,White - Irish,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,58.6,793
Average Attainment 8 score per pupil,2016,Academic year,White - Irish Traveller,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,38.3,23
Average Attainment 8 score per pupil,2016,Academic year,White - Gypsy/Roma,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,21.5,400
Average Attainment 8 score per pupil,2016,Academic year,White - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,52.7,10757
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,55.1,9214
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,51.6,2742
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,54.2,1079
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Asian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,58.3,2177
Average Attainment 8 score per pupil,2016,Academic year,Mixed - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,56.2,3216
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,56,20365
Average Attainment 8 score per pupil,2016,Academic year,Asian - Indian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,59.4,6222
Average Attainment 8 score per pupil,2016,Academic year,Asian - Pakistani,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,52,7735
Average Attainment 8 score per pupil,2016,Academic year,Asian - Bangladeshi,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,55.4,2886
Average Attainment 8 score per pupil,2016,Academic year,Asian - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,59,3522
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,53,10786
Average Attainment 8 score per pupil,2016,Academic year,Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,50.2,2817
Average Attainment 8 score per pupil,2016,Academic year,Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,54.4,6669
Average Attainment 8 score per pupil,2016,Academic year,Black - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,51.9,1300
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,65,930
Average Attainment 8 score per pupil,2016,Academic year,Other - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,54.2,2913
Average Attainment 8 score per pupil,2016,Academic year,Unclassified,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.5,2329
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Girls,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,53.9,229635
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,34,25284
Average Attainment 8 score per pupil,2016,Academic year,White - British,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,33.7,23654
Average Attainment 8 score per pupil,2016,Academic year,White - Irish,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,38.2,115
Average Attainment 8 score per pupil,2016,Academic year,White - Irish Traveller,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,24.6,41
Average Attainment 8 score per pupil,2016,Academic year,White - Gypsy/Roma,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,19,157
Average Attainment 8 score per pupil,2016,Academic year,White - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,41.1,1317
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,38.5,2121
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,35.5,816
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,40.6,275
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Asian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,40.5,362
Average Attainment 8 score per pupil,2016,Academic year,Mixed - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,40.2,668
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,44.5,4724
Average Attainment 8 score per pupil,2016,Academic year,Asian - Indian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,46.5,539
Average Attainment 8 score per pupil,2016,Academic year,Asian - Pakistani,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,41.7,2396
Average Attainment 8 score per pupil,2016,Academic year,Asian - Bangladeshi,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.3,1267
Average Attainment 8 score per pupil,2016,Academic year,Asian - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,46.6,522
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,40.9,3317
Average Attainment 8 score per pupil,2016,Academic year,Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,36,838
Average Attainment 8 score per pupil,2016,Academic year,Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,43.3,2075
Average Attainment 8 score per pupil,2016,Academic year,Black - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,39,404
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,56.4,67
Average Attainment 8 score per pupil,2016,Academic year,Other - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,44.2,1060
Average Attainment 8 score per pupil,2016,Academic year,Unclassified,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,34,507
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Boys,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,36.6,37080
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,39.2,24311
Average Attainment 8 score per pupil,2016,Academic year,White - British,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,39,22784
Average Attainment 8 score per pupil,2016,Academic year,White - Irish,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,41.1,98
Average Attainment 8 score per pupil,2016,Academic year,White - Irish Traveller,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,27.1,32
Average Attainment 8 score per pupil,2016,Academic year,White - Gypsy/Roma,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,21.8,173
Average Attainment 8 score per pupil,2016,Academic year,White - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,45,1224
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,43.8,2119
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,41.5,804
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,47.1,254
Average Attainment 8 score per pupil,2016,Academic year,Mixed - White and Asian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,45.8,370
Average Attainment 8 score per pupil,2016,Academic year,Mixed - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,44.2,691
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.7,4294
Average Attainment 8 score per pupil,2016,Academic year,Asian - Indian,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,52.2,503
Average Attainment 8 score per pupil,2016,Academic year,Asian - Pakistani,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,46.3,2140
Average Attainment 8 score per pupil,2016,Academic year,Asian - Bangladeshi,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,50.8,1194
Average Attainment 8 score per pupil,2016,Academic year,Asian - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,50.2,457
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,47.3,3227
Average Attainment 8 score per pupil,2016,Academic year,Black - Caribbean,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,44.2,851
Average Attainment 8 score per pupil,2016,Academic year,Black - African,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.8,2011
Average Attainment 8 score per pupil,2016,Academic year,Black - Any other ,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,46.1,365
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,61.7,63
Average Attainment 8 score per pupil,2016,Academic year,Other - Any other,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.3,964
Average Attainment 8 score per pupil,2016,Academic year,Unclassified,Ethnicities used by the National Pupil Database (19),England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,39.7,470
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Girls,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,41.6,35448
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,68.4,16228
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,70,1106
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,71.2,3637
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,69.4,693
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,73.4,375
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,67.5,7979
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,69.3,570
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,70.5,1951
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,69.1,315
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,72.4,182
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,69.4,8249
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,70.8,536
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,72.1,1686
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,69.7,378
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,74.4,193
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,46.5,29804
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,48.2,1225
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,50,1784
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,49.5,1176
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,57,97
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,44.6,15007
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,46.4,617
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,47.3,952
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,45.8,588
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,55.9,56
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,48.4,14797
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,50,608
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,53.1,832
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,53.3,588
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,58.4,41
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,50.1,368496
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,50.5,20134
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,51.8,45094
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,49,25538
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,60.7,1536
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,48.2,186353
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,48.3,10046
