"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Tparent","Torder","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","Mixed","114","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","54","6573","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","Asian","101","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","54","42200","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","Asian","103","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","58","13004","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","Asian","104","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","50","15898","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","Asian","102","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","53","5858","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","Asian","105","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","56","7440","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black","Black","106","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","50","21380","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","Black","108","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","47","5527","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","Black","107","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","52","13263","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","Black","109","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","48","2590","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","Chinese","121","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","63","1896","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Other","Other","122","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","52","6095","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","Unclassified","123","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","46","4794","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All - England","100","All pupils","England","Country","E92000001","All pupils","All other pupils","52","468161","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","White","115","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","37","49595","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","White","116","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","36","46438","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","White","118","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","40","213","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy or Irish Traveller","White","119","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","26","73","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","White","117","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","21","330","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","White","120","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","43","2541","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","Mixed","110","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","41","4240","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","Mixed","113","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","39","1620","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","Mixed","112","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","44","529","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","Mixed","111","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","43","732","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","Mixed","114","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","42","1359","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","Asian","101","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","47","9018","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","Asian","103","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","49","1042","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","Asian","104","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","44","4536","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","Asian","102","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","50","2461","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","Asian","105","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","48","979","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black","Black","106","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","44","6544","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","Black","108","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","40","1689","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","Black","107","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","46","4086","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","Black","109","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","42","769","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","Chinese","121","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","59","130","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Other","Other","122","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","46","2024","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","Unclassified","123","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","37","977","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All - England","100","All pupils","England","Country","E92000001","All pupils","Pupils eligible for free school meals","39","72528","NA","NA"
