"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Leeds","Local Authority","E08000035","All pupils","All pupils","48","7483","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","48","1596","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","49","1856","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","52","6188","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Rotherham","Local Authority","E08000018","All pupils","All pupils","49","3335","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Sheffield","Local Authority","E08000019","All pupils","All pupils","48","5242","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Wakefield","Local Authority","E08000036","All pupils","All pupils","49","3645","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","York","Local Authority","E06000014","All pupils","All pupils","53","1585","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Derby","Local Authority","E06000015","All pupils","All pupils","46","2787","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Derbyshire","Local Authority","E10000007","All pupils","All pupils","49","7628","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Leicester","Local Authority","E06000016","All pupils","All pupils","46","3409","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Leicestershire","Local Authority","E10000018","All pupils","All pupils","50","7017","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","50","7807","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","48","7650","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Nottingham","Local Authority","E06000018","All pupils","All pupils","45","2534","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","51","7883","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Rutland","Local Authority","E06000017","All pupils","All pupils","55","489","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Birmingham","Local Authority","E08000025","All pupils","All pupils","49","12035","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Coventry","Local Authority","E08000026","All pupils","All pupils","48","3463","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Dudley","Local Authority","E08000027","All pupils","All pupils","48","3591","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","49","1732","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Sandwell","Local Authority","E08000028","All pupils","All pupils","45","3499","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Shropshire","Local Authority","E06000051","All pupils","All pupils","51","2986","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Solihull","Local Authority","E08000029","All pupils","All pupils","51","2987","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Staffordshire","Local Authority","E10000028","All pupils","All pupils","49","8758","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","47","2269","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","50","2014","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Walsall","Local Authority","E08000030","All pupils","All pupils","48","3261","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Warwickshire","Local Authority","E10000031","All pupils","All pupils","52","5585","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","48","2470","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Worcestershire","Local Authority","E10000034","All pupils","All pupils","51","5565","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bedford","Local Authority","E06000055","All pupils","All pupils","49","1862","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","52","5707","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","49","2596","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Essex","Local Authority","E10000012","All pupils","All pupils","50","14607","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","53","12613","NA","NA"
