"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","49","4979","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","48","1139","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","50","1913","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","47","1068","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","46","1464","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","49","2393","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","51","1945","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","48","3198","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","48","1620","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","49","1535","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","50","1994","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","48","2828","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","50","1754","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","44","1331","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","49","3240","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","51","2060","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","52","3740","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","51","3443","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","49","5134","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","49","1373","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","39","1147","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","50","12106","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","47","4611","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","47","4715","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","46","2920","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","48","2315","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","47","2084","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","49","3076","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","49","1767","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","52","2816","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","49","2493","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","57","2758","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","50","2365","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wigan","Local Authority","E08000010","All pupils","All pupils","51","3407","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wirral","Local Authority","E08000015","All pupils","All pupils","52","3402","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Barnsley","Local Authority","E08000016","All pupils","All pupils","47","2088","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","All pupils","All pupils","46","5859","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","All pupils","All pupils","52","2524","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","All pupils","All pupils","47","3026","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","52","3346","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","48","2255","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kirklees","Local Authority","E08000034","All pupils","All pupils","49","4534","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Leeds","Local Authority","E08000035","All pupils","All pupils","48","7483","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","48","1596","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","49","1856","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","52","6188","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Rotherham","Local Authority","E08000018","All pupils","All pupils","49","3335","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sheffield","Local Authority","E08000019","All pupils","All pupils","48","5242","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wakefield","Local Authority","E08000036","All pupils","All pupils","49","3645","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","York","Local Authority","E06000014","All pupils","All pupils","53","1585","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Derby","Local Authority","E06000015","All pupils","All pupils","46","2787","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Derbyshire","Local Authority","E10000007","All pupils","All pupils","49","7628","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Leicester","Local Authority","E06000016","All pupils","All pupils","46","3409","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Leicestershire","Local Authority","E10000018","All pupils","All pupils","50","7017","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","50","7807","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","48","7650","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Nottingham","Local Authority","E06000018","All pupils","All pupils","45","2534","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","51","7883","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Rutland","Local Authority","E06000017","All pupils","All pupils","55","489","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Birmingham","Local Authority","E08000025","All pupils","All pupils","49","12035","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Coventry","Local Authority","E08000026","All pupils","All pupils","48","3463","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Dudley","Local Authority","E08000027","All pupils","All pupils","48","3591","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","49","1732","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sandwell","Local Authority","E08000028","All pupils","All pupils","45","3499","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Shropshire","Local Authority","E06000051","All pupils","All pupils","51","2986","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Solihull","Local Authority","E08000029","All pupils","All pupils","51","2987","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Staffordshire","Local Authority","E10000028","All pupils","All pupils","49","8758","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","47","2269","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","50","2014","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Walsall","Local Authority","E08000030","All pupils","All pupils","48","3261","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Warwickshire","Local Authority","E10000031","All pupils","All pupils","52","5585","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","48","2470","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Worcestershire","Local Authority","E10000034","All pupils","All pupils","51","5565","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bedford","Local Authority","E06000055","All pupils","All pupils","49","1862","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","52","5707","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","49","2596","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Essex","Local Authority","E10000012","All pupils","All pupils","50","14607","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","53","12613","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Luton","Local Authority","E06000032","All pupils","All pupils","48","2442","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Norfolk","Local Authority","E10000020","All pupils","All pupils","49","8014","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Peterborough","Local Authority","E06000031","All pupils","All pupils","47","2292","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","54","2047","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Suffolk","Local Authority","E10000029","All pupils","All pupils","49","7158","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Thurrock","Local Authority","E06000034","All pupils","All pupils","48","1721","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Camden","Local Authority","E09000007","All pupils","All pupils","51","1422","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","City of London","Local Authority","E09000001","All pupils","All pupils","N/A","N/A","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hackney","Local Authority","E09000012","All pupils","All pupils","53","2038","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","54","1350","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Haringey","Local Authority","E09000014","All pupils","All pupils","50","2231","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Islington","Local Authority","E09000019","All pupils","All pupils","51","1397","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","57","740","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lambeth","Local Authority","E09000022","All pupils","All pupils","50","1887","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lewisham","Local Authority","E09000023","All pupils","All pupils","48","2334","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Newham","Local Authority","E09000025","All pupils","All pupils","51","3489","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Southwark","Local Authority","E09000028","All pupils","All pupils","53","2386","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","50","2570","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wandsworth","Local Authority","E09000032","All pupils","All pupils","52","1660","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Westminster","Local Authority","E09000033","All pupils","All pupils","55","1566","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","50","2201","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Barnet","Local Authority","E09000003","All pupils","All pupils","56","3647","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bexley","Local Authority","E09000004","All pupils","All pupils","52","3192","NA","NA"
