"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Tparent","Torder","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","New grouping"
"Average Attainment 8 score per pupil","2016","Academic year","White","White","115","18+1 (Major)","England","Country","E92000001","Boys","All other ","49","190070","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - British","White","116","18+1 (Minor)","England","Country","E92000001","Boys","All other ","49","177753","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","White","118","18+1 (Minor)","England","Country","E92000001","Boys","All other ","54","768","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","White","119","18+1 (Minor)","England","Country","E92000001","Boys","All other ","31","26","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","White","117","18+1 (Minor)","England","Country","E92000001","Boys","All other ","19","377","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","White","120","18+1 (Minor)","England","Country","E92000001","Boys","All other ","48","11146","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","Mixed","110","18+1 (Major)","England","Country","E92000001","Boys","All other ","50","9414","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","Mixed","113","18+1 (Minor)","England","Country","E92000001","Boys","All other ","46","2798","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","Mixed","112","18+1 (Minor)","England","Country","E92000001","Boys","All other ","49","1079","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","Mixed","111","18+1 (Minor)","England","Country","E92000001","Boys","All other ","55","2180","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","Mixed","114","18+1 (Minor)","England","Country","E92000001","Boys","All other ","51","3357","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian","Asian","101","18+1 (Major)","England","Country","E92000001","Boys","All other ","52","21835","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","Asian","103","18+1 (Minor)","England","Country","E92000001","Boys","All other ","56","6782","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","Asian","104","18+1 (Minor)","England","Country","E92000001","Boys","All other ","48","8163","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","Asian","102","18+1 (Minor)","England","Country","E92000001","Boys","All other ","51","2972","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","Asian","105","18+1 (Minor)","England","Country","E92000001","Boys","All other ","53","3918","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black","Black","106","18+1 (Major)","England","Country","E92000001","Boys","All other ","47","10594","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","Black","108","18+1 (Minor)","England","Country","E92000001","Boys","All other ","44","2710","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","Black","107","18+1 (Minor)","England","Country","E92000001","Boys","All other ","49","6594","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","Black","109","18+1 (Minor)","England","Country","E92000001","Boys","All other ","45","1290","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","Chinese","121","18+1 (Major)","England","Country","E92000001","Boys","All other ","60","966","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Other","Other","122","18+1 (Minor)","England","Country","E92000001","Boys","All other ","49","3182","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","Unclassified","123","18+1 (Minor)","England","Country","E92000001","Boys","All other ","43","2465","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All - England","100","All pupils","England","Country","E92000001","Boys","All other ","49","238526","NA","NA","","Boys all other "
"Average Attainment 8 score per pupil","2016","Academic year","White","White","115","18+1 (Major)","England","Country","E92000001","Girls","All other ","54","183098","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - British","White","116","18+1 (Minor)","England","Country","E92000001","Girls","All other ","54","171125","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","White","118","18+1 (Minor)","England","Country","E92000001","Girls","All other ","59","793","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","White","119","18+1 (Minor)","England","Country","E92000001","Girls","All other ","38","23","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","White","117","18+1 (Minor)","England","Country","E92000001","Girls","All other ","22","400","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","White","120","18+1 (Minor)","England","Country","E92000001","Girls","All other ","53","10757","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","Mixed","110","18+1 (Major)","England","Country","E92000001","Girls","All other ","55","9214","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","Mixed","113","18+1 (Minor)","England","Country","E92000001","Girls","All other ","52","2742","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","Mixed","112","18+1 (Minor)","England","Country","E92000001","Girls","All other ","54","1079","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","Mixed","111","18+1 (Minor)","England","Country","E92000001","Girls","All other ","58","2177","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","Mixed","114","18+1 (Minor)","England","Country","E92000001","Girls","All other ","56","3216","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian","Asian","101","18+1 (Major)","England","Country","E92000001","Girls","All other ","56","20365","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","Asian","103","18+1 (Minor)","England","Country","E92000001","Girls","All other ","59","6222","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","Asian","104","18+1 (Minor)","England","Country","E92000001","Girls","All other ","52","7735","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","Asian","102","18+1 (Minor)","England","Country","E92000001","Girls","All other ","55","2886","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","Asian","105","18+1 (Minor)","England","Country","E92000001","Girls","All other ","59","3522","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black","Black","106","18+1 (Major)","England","Country","E92000001","Girls","All other ","53","10786","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","Black","108","18+1 (Minor)","England","Country","E92000001","Girls","All other ","50","2817","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","Black","107","18+1 (Minor)","England","Country","E92000001","Girls","All other ","54","6669","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","Black","109","18+1 (Minor)","England","Country","E92000001","Girls","All other ","52","1300","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","Chinese","121","18+1 (Major)","England","Country","E92000001","Girls","All other ","65","930","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Other","Other","122","18+1 (Minor)","England","Country","E92000001","Girls","All other ","54","2913","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","Unclassified","123","18+1 (Minor)","England","Country","E92000001","Girls","All other ","49","2329","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All - England","100","All pupils","England","Country","E92000001","Girls","All other ","54","229635","NA","NA","","Girls all other "
"Average Attainment 8 score per pupil","2016","Academic year","White","White","115","18+1 (Major)","England","Country","E92000001","Boys","eligible for free school meals","34","25284","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","White","116","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","34","23654","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","White","118","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","38","115","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","White","119","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","25","41","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","White","117","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","19","157","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","White","120","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","41","1317","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","Mixed","110","18+1 (Major)","England","Country","E92000001","Boys","eligible for free school meals","39","2121","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","Mixed","113","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","36","816","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","Mixed","112","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","41","275","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","Mixed","111","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","41","362","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","Mixed","114","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","40","668","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","Asian","101","18+1 (Major)","England","Country","E92000001","Boys","eligible for free school meals","45","4724","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","Asian","103","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","47","539","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","Asian","104","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","42","2396","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","Asian","102","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","48","1267","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","Asian","105","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","47","522","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black","Black","106","18+1 (Major)","England","Country","E92000001","Boys","eligible for free school meals","41","3317","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","Black","108","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","36","838","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","Black","107","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","43","2075","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","Black","109","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","39","404","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","Chinese","121","18+1 (Major)","England","Country","E92000001","Boys","eligible for free school meals","56","67","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Other","Other","122","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","44","1060","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","Unclassified","123","18+1 (Minor)","England","Country","E92000001","Boys","eligible for free school meals","34","507","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","All - England","Unclassified","100","All pupils","England","Country","E92000001","Boys","eligible for free school meals","37","37080","NA","NA","","Boys eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White","White","115","18+1 (Major)","England","Country","E92000001","Girls","eligible for free school meals","39","24311","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","White","116","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","39","22784","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","White","118","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","41","98","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","White","119","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","27","32","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","White","117","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","22","173","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","White","120","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","45","1224","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","Mixed","110","18+1 (Major)","England","Country","E92000001","Girls","eligible for free school meals","44","2119","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","Mixed","113","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","42","804","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","Mixed","112","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","47","254","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","Mixed","111","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","46","370","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","Mixed","114","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","44","691","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","Asian","101","18+1 (Major)","England","Country","E92000001","Girls","eligible for free school meals","49","4294","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","Asian","103","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","52","503","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","Asian","104","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","46","2140","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","Asian","102","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","51","1194","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","Asian","105","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","50","457","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black","Black","106","18+1 (Major)","England","Country","E92000001","Girls","eligible for free school meals","47","3227","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","Black","108","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","44","851","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","Black","107","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","49","2011","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","Black","109","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","46","365","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","Chinese","121","18+1 (Major)","England","Country","E92000001","Girls","eligible for free school meals","62","63","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Other","Other","122","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","48","964","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","Unclassified","123","18+1 (Minor)","England","Country","E92000001","Girls","eligible for free school meals","40","470","NA","NA","","Girls eligible for free school meals"
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All - England","100","All pupils","England","Country","E92000001","Girls","eligible for free school meals","42","35448","NA","NA","","Girls eligible for free school meals"
