"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Value-Female","Denominator-Female","Lower CI - Female","Upper CI - Female","Notes - Female","All-value","All-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Wolverhampton","Local Authority","E08000031","Boys","All pupils","51","257","NA","NA","57","273","NA","NA","","54","530"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Worcestershire","Local Authority","E10000034","Boys","All pupils","44","72","NA","NA","57","70","NA","NA","","50","142"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Bedford","Local Authority","E06000055","Boys","All pupils","49","140","NA","NA","52","133","NA","NA","","51","273"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Cambridgeshire","Local Authority","E10000003","Boys","All pupils","55","103","NA","NA","57","87","NA","NA","","56","190"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Central Bedfordshire","Local Authority","E06000056","Boys","All pupils","48","24","NA","NA","53","22","NA","NA","","50","46"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Essex","Local Authority","E10000012","Boys","All pupils","60","177","NA","NA","65","160","NA","NA","","62","337"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Hertfordshire","Local Authority","E10000015","Boys","All pupils","55","436","NA","NA","60","413","NA","NA","","57","849"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Luton","Local Authority","E06000032","Boys","All pupils","49","492","NA","NA","49","475","NA","NA","","49","967"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Norfolk","Local Authority","E10000020","Boys","All pupils","57","39","NA","NA","61","49","NA","NA","","59","88"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Peterborough","Local Authority","E06000031","Boys","All pupils","46","195","NA","NA","49","172","NA","NA","","48","367"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Southend-on-Sea","Local Authority","E06000033","Boys","All pupils","62","82","NA","NA","63","53","NA","NA","","62","135"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Suffolk","Local Authority","E10000029","Boys","All pupils","54","51","NA","NA","53","51","NA","NA","","53","102"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Thurrock","Local Authority","E06000034","Boys","All pupils","48","30","NA","NA","57","35","NA","NA","","53","65"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Camden","Local Authority","E09000007","Boys","All pupils","47","135","NA","NA","54","137","NA","NA","","50","272"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","City of London","Local Authority","E09000001","Boys","All pupils","N/A","N/A","NA","NA","N/A","N/A","NA","NA","Not applicable","N/A","N/A"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Hackney","Local Authority","E09000012","Boys","All pupils","54","124","NA","NA","55","148","NA","NA","","54","272"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Hammersmith and Fulham","Local Authority","E09000013","Boys","All pupils","52","63","NA","NA","58","53","NA","NA","","55","116"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Haringey","Local Authority","E09000014","Boys","All pupils","50","59","NA","NA","54","68","NA","NA","","52","127"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Islington","Local Authority","E09000019","Boys","All pupils","54","84","NA","NA","55","86","NA","NA","","55","170"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Kensington and Chelsea","Local Authority","E09000020","Boys","All pupils","58","9","NA","NA","59","17","NA","NA","","59","26"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Lambeth","Local Authority","E09000022","Boys","All pupils","52","45","NA","NA","58","34","NA","NA","","55","79"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Lewisham","Local Authority","E09000023","Boys","All pupils","49","68","NA","NA","56","61","NA","NA","","53","129"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Newham","Local Authority","E09000025","Boys","All pupils","52","784","NA","NA","56","817","NA","NA","","54","1601"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Southwark","Local Authority","E09000028","Boys","All pupils","53","54","NA","NA","58","70","NA","NA","","56","124"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Tower Hamlets","Local Authority","E09000030","Boys","All pupils","51","845","NA","NA","54","840","NA","NA","","52","1685"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Wandsworth","Local Authority","E09000032","Boys","All pupils","57","182","NA","NA","53","151","NA","NA","","55","333"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Westminster","Local Authority","E09000033","Boys","All pupils","53","106","NA","NA","56","93","NA","NA","","55","199"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Barking and Dagenham","Local Authority","E09000002","Boys","All pupils","54","209","NA","NA","58","189","NA","NA","","55","398"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Barnet","Local Authority","E09000003","Boys","All pupils","64","294","NA","NA","62","218","NA","NA","","63","512"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Bexley","Local Authority","E09000004","Boys","All pupils","57","108","NA","NA","63","99","NA","NA","","60","207"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Brent","Local Authority","E09000005","Boys","All pupils","53","456","NA","NA","56","444","NA","NA","","54","900"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Bromley","Local Authority","E09000006","Boys","All pupils","66","83","NA","NA","66","84","NA","NA","","66","167"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Croydon","Local Authority","E09000008","Boys","All pupils","54","242","NA","NA","56","211","NA","NA","","55","453"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Ealing","Local Authority","E09000009","Boys","All pupils","50","398","NA","NA","54","349","NA","NA","","52","747"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Enfield","Local Authority","E09000010","Boys","All pupils","58","162","NA","NA","61","151","NA","NA","","59","313"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Greenwich","Local Authority","E09000011","Boys","All pupils","56","107","NA","NA","57","100","NA","NA","","56","207"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Harrow","Local Authority","E09000015","Boys","All pupils","54","476","NA","NA","58","424","NA","NA","","56","900"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Havering","Local Authority","E09000016","Boys","All pupils","53","56","NA","NA","57","61","NA","NA","","55","117"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Hillingdon","Local Authority","E09000017","Boys","All pupils","54","399","NA","NA","58","352","NA","NA","","56","751"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Hounslow","Local Authority","E09000018","Boys","All pupils","55","361","NA","NA","59","335","NA","NA","","57","696"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Kingston upon Thames","Local Authority","E09000021","Boys","All pupils","62","175","NA","NA","64","168","NA","NA","","63","343"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Merton","Local Authority","E09000024","Boys","All pupils","54","118","NA","NA","55","104","NA","NA","","55","222"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Redbridge","Local Authority","E09000026","Boys","All pupils","54","879","NA","NA","59","744","NA","NA","","57","1623"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Richmond upon Thames","Local Authority","E09000027","Boys","All pupils","54","46","NA","NA","58","50","NA","NA","","56","96"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Sutton","Local Authority","E09000029","Boys","All pupils","68","258","NA","NA","69","266","NA","NA","","68","524"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Waltham Forest","Local Authority","E09000031","Boys","All pupils","51","322","NA","NA","56","313","NA","NA","","53","635"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Bracknell Forest","Local Authority","E06000036","Boys","All pupils","57","22","NA","NA","59","19","NA","NA","","58","41"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Brighton and Hove","Local Authority","E06000043","Boys","All pupils","48","51","NA","NA","53","31","NA","NA","","50","82"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Buckinghamshire","Local Authority","E10000002","Boys","All pupils","52","457","NA","NA","58","398","NA","NA","","55","855"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","East Sussex","Local Authority","E10000011","Boys","All pupils","52","35","NA","NA","58","25","NA","NA","","54","60"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Hampshire","Local Authority","E10000014","Boys","All pupils","53","189","NA","NA","57","144","NA","NA","","55","333"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Isle of Wight","Local Authority","E06000046","Boys","All pupils","29","6","NA","NA","57","6","NA","NA","","43","12"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Kent","Local Authority","E10000016","Boys","All pupils","59","282","NA","NA","63","244","NA","NA","","61","526"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Medway","Local Authority","E06000035","Boys","All pupils","59","85","NA","NA","59","72","NA","NA","","59","157"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Milton Keynes","Local Authority","E06000042","Boys","All pupils","51","112","NA","NA","56","92","NA","NA","","53","204"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Oxfordshire","Local Authority","E10000025","Boys","All pupils","47","175","NA","NA","53","142","NA","NA","","49","317"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Portsmouth","Local Authority","E06000044","Boys","All pupils","50","39","NA","NA","57","56","NA","NA","","54","95"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Reading","Local Authority","E06000038","Boys","All pupils","57","95","NA","NA","60","126","NA","NA","","59","221"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Slough","Local Authority","E06000039","Boys","All pupils","56","391","NA","NA","59","407","NA","NA","","58","798"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Southampton","Local Authority","E06000045","Boys","All pupils","54","90","NA","NA","58","86","NA","NA","","56","176"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Surrey","Local Authority","E10000030","Boys","All pupils","55","310","NA","NA","58","292","NA","NA","","56","602"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","West Berkshire","Local Authority","E06000037","Boys","All pupils","55","29","NA","NA","60","21","NA","NA","","57","50"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","West Sussex","Local Authority","E10000032","Boys","All pupils","53","173","NA","NA","57","157","NA","NA","","55","330"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Windsor and Maidenhead","Local Authority","E06000040","Boys","All pupils","47","97","NA","NA","54","94","NA","NA","","51","191"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Wokingham","Local Authority","E06000041","Boys","All pupils","50","107","NA","NA","57","59","NA","NA","","53","166"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Bath and North East Somerset","Local Authority","E06000022","Boys","All pupils","51","12","NA","NA","53","12","NA","NA","","52","24"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Bournemouth","Local Authority","E06000028","Boys","All pupils","63","26","NA","NA","68","14","NA","NA","","65","40"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Bristol, City of","Local Authority","E06000023","Boys","All pupils","47","132","NA","NA","54","121","NA","NA","","50","253"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Cornwall","Local Authority","E06000052","Boys","All pupils","56","10","NA","NA","53","11","NA","NA","","54","21"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Devon","Local Authority","E10000008","Boys","All pupils","52","14","NA","NA","63","12","NA","NA","","57","26"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Dorset","Local Authority","E10000009","Boys","All pupils","45","24","NA","NA","54","22","NA","NA","","49","46"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Gloucestershire","Local Authority","E10000013","Boys","All pupils","60","83","NA","NA","64","63","NA","NA","","61","146"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Isles of Scilly","Local Authority","E06000053","Boys","All pupils","N/A","0","NA","NA","N/A","0","NA","NA","Not applicable","N/A","0"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","North Somerset","Local Authority","E06000024","Boys","All pupils","54","18","NA","NA","55","14","NA","NA","","54","32"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Plymouth","Local Authority","E06000026","Boys","All pupils","57","12","NA","NA","65","13","NA","NA","","61","25"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Poole","Local Authority","E06000029","Boys","All pupils","56","19","NA","NA","64","12","NA","NA","","59","31"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Somerset","Local Authority","E10000027","Boys","All pupils","49","25","NA","NA","60","25","NA","NA","","55","50"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","South Gloucestershire","Local Authority","E06000025","Boys","All pupils","49","42","NA","NA","57","25","NA","NA","","52","67"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Swindon","Local Authority","E06000030","Boys","All pupils","50","102","NA","NA","51","93","NA","NA","","51","195"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Torbay","Local Authority","E06000027","Boys","All pupils","63","5","NA","NA","57","7","NA","NA","","59","12"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","Wiltshire","Local Authority","E06000054","Boys","All pupils","57","37","NA","NA","57","33","NA","NA","","57","70"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","All - England","Country","E92000001","Boys","All pupils","51","26127","NA","NA","55","24414","NA","NA","","53","50541"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","County Durham","Local Authority","E06000047","Boys","All pupils","46","3","NA","NA","39","3","NA","NA","","43","6"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Darlington","Local Authority","E06000005","Boys","All pupils","!","!","NA","NA","N/A","0","NA","NA","Not applicable","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Gateshead","Local Authority","E08000037","Boys","All pupils","53","7","NA","NA","59","7","NA","NA","","56","14"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Hartlepool","Local Authority","E06000001","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","55","5"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Middlesbrough","Local Authority","E06000002","Boys","All pupils","50","9","NA","NA","55","6","NA","NA","","52","15"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Newcastle upon Tyne","Local Authority","E08000021","Boys","All pupils","48","39","NA","NA","52","41","NA","NA","","50","80"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","North Tyneside","Local Authority","E08000022","Boys","All pupils","52","7","NA","NA","55","4","NA","NA","","53","11"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Northumberland","Local Authority","E06000057","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Redcar and Cleveland","Local Authority","E06000003","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","54","3"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","South Tyneside","Local Authority","E08000023","Boys","All pupils","18","3","NA","NA","50","5","NA","NA","","38","8"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Stockton-on-Tees","Local Authority","E06000004","Boys","All pupils","57","8","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Sunderland","Local Authority","E08000024","Boys","All pupils","40","5","NA","NA","56","11","NA","NA","","51","16"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Blackburn with Darwen","Local Authority","E06000008","Boys","All pupils","41","11","NA","NA","59","4","NA","NA","","46","15"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Blackpool","Local Authority","E06000009","Boys","All pupils","52","4","NA","NA","35","5","NA","NA","","43","9"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Bolton","Local Authority","E08000001","Boys","All pupils","42","59","NA","NA","45","65","NA","NA","","43","124"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Bury","Local Authority","E08000002","Boys","All pupils","41","20","NA","NA","57","16","NA","NA","","48","36"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Cheshire East","Local Authority","E06000049","Boys","All pupils","48","8","NA","NA","49","5","NA","NA","","48","13"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Cheshire West and Chester","Local Authority","E06000050","Boys","All pupils","43","7","NA","NA","43","5","NA","NA","","43","12"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Cumbria","Local Authority","E10000006","Boys","All pupils","43","8","NA","NA","56","5","NA","NA","","48","13"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Halton","Local Authority","E06000006","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Knowsley","Local Authority","E08000011","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Lancashire","Local Authority","E10000017","Boys","All pupils","49","21","NA","NA","55","17","NA","NA","","52","38"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Liverpool","Local Authority","E08000012","Boys","All pupils","44","68","NA","NA","50","69","NA","NA","","47","137"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Manchester","Local Authority","E08000003","Boys","All pupils","47","386","NA","NA","52","355","NA","NA","","49","741"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Oldham","Local Authority","E08000004","Boys","All pupils","47","28","NA","NA","39","19","NA","NA","","44","47"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Rochdale","Local Authority","E08000005","Boys","All pupils","49","34","NA","NA","54","29","NA","NA","","52","63"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Salford","Local Authority","E08000006","Boys","All pupils","49","37","NA","NA","54","41","NA","NA","","52","78"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Sefton","Local Authority","E08000014","Boys","All pupils","45","8","NA","NA","47","7","NA","NA","","46","15"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","St Helens","Local Authority","E08000013","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","54","8"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Stockport","Local Authority","E08000007","Boys","All pupils","48","14","NA","NA","56","7","NA","NA","","50","21"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Tameside","Local Authority","E08000008","Boys","All pupils","50","17","NA","NA","45","18","NA","NA","","48","35"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Trafford","Local Authority","E08000009","Boys","All pupils","52","36","NA","NA","56","39","NA","NA","","54","75"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Warrington","Local Authority","E06000007","Boys","All pupils","45","4","NA","NA","41","10","NA","NA","","42","14"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Wigan","Local Authority","E08000010","Boys","All pupils","45","7","NA","NA","59","9","NA","NA","","53","16"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Wirral","Local Authority","E08000015","Boys","All pupils","54","5","NA","NA","62","3","NA","NA","","57","8"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Barnsley","Local Authority","E08000016","Boys","All pupils","39","7","NA","NA","51","8","NA","NA","","45","15"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Bradford","Local Authority","E08000032","Boys","All pupils","37","39","NA","NA","53","42","NA","NA","","45","81"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Calderdale","Local Authority","E08000033","Boys","All pupils","50","12","NA","NA","59","8","NA","NA","","53","20"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Doncaster","Local Authority","E08000017","Boys","All pupils","41","17","NA","NA","43","18","NA","NA","","42","35"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","East Riding of Yorkshire","Local Authority","E06000011","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Kingston upon Hull, City of","Local Authority","E06000010","Boys","All pupils","43","10","NA","NA","48","13","NA","NA","","46","23"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Kirklees","Local Authority","E08000034","Boys","All pupils","41","42","NA","NA","50","43","NA","NA","","46","85"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Leeds","Local Authority","E08000035","Boys","All pupils","43","220","NA","NA","49","220","NA","NA","","46","440"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","North East Lincolnshire","Local Authority","E06000012","Boys","All pupils","!","3","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","North Lincolnshire","Local Authority","E06000013","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","51","11"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","North Yorkshire","Local Authority","E10000023","Boys","All pupils","38","10","NA","NA","61","8","NA","NA","","48","18"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Rotherham","Local Authority","E08000018","Boys","All pupils","50","20","NA","NA","53","18","NA","NA","","51","38"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Sheffield","Local Authority","E08000019","Boys","All pupils","45","139","NA","NA","51","121","NA","NA","","47","260"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Wakefield","Local Authority","E08000036","Boys","All pupils","42","25","NA","NA","53","13","NA","NA","","46","38"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","York","Local Authority","E06000014","Boys","All pupils","44","3","NA","NA","59","6","NA","NA","","54","9"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Derby","Local Authority","E06000015","Boys","All pupils","39","34","NA","NA","47","51","NA","NA","","44","85"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Derbyshire","Local Authority","E10000007","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","54","19"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Leicester","Local Authority","E06000016","Boys","All pupils","43","171","NA","NA","49","174","NA","NA","","46","345"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Leicestershire","Local Authority","E10000018","Boys","All pupils","48","26","NA","NA","53","17","NA","NA","","50","43"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Lincolnshire","Local Authority","E10000019","Boys","All pupils","48","18","NA","NA","54","16","NA","NA","","51","34"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Northamptonshire","Local Authority","E10000021","Boys","All pupils","45","140","NA","NA","51","142","NA","NA","","48","282"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Nottingham","Local Authority","E06000018","Boys","All pupils","42","122","NA","NA","51","126","NA","NA","","47","248"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Nottinghamshire","Local Authority","E10000024","Boys","All pupils","51","35","NA","NA","53","43","NA","NA","","52","78"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Rutland","Local Authority","E06000017","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","52","3"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Birmingham","Local Authority","E08000025","Boys","All pupils","43","738","NA","NA","52","751","NA","NA","","48","1489"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Coventry","Local Authority","E08000026","Boys","All pupils","46","120","NA","NA","50","156","NA","NA","","48","276"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Dudley","Local Authority","E08000027","Boys","All pupils","44","36","NA","NA","49","34","NA","NA","","46","70"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Herefordshire, County of","Local Authority","E06000019","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","47","5"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Sandwell","Local Authority","E08000028","Boys","All pupils","42","128","NA","NA","48","129","NA","NA","","45","257"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Shropshire","Local Authority","E06000051","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","52","7"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Solihull","Local Authority","E08000029","Boys","All pupils","45","34","NA","NA","54","38","NA","NA","","50","72"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Staffordshire","Local Authority","E10000028","Boys","All pupils","47","14","NA","NA","50","23","NA","NA","","49","37"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Stoke-on-Trent","Local Authority","E06000021","Boys","All pupils","46","26","NA","NA","48","22","NA","NA","","47","48"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Telford and Wrekin","Local Authority","E06000020","Boys","All pupils","52","21","NA","NA","50","15","NA","NA","","51","36"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Walsall","Local Authority","E08000030","Boys","All pupils","45","77","NA","NA","53","62","NA","NA","","48","139"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Warwickshire","Local Authority","E10000031","Boys","All pupils","42","21","NA","NA","52","29","NA","NA","","48","50"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Wolverhampton","Local Authority","E08000031","Boys","All pupils","41","111","NA","NA","52","110","NA","NA","","46","221"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Worcestershire","Local Authority","E10000034","Boys","All pupils","43","13","NA","NA","44","7","NA","NA","","44","20"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Bedford","Local Authority","E06000055","Boys","All pupils","45","54","NA","NA","50","55","NA","NA","","47","109"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Cambridgeshire","Local Authority","E10000003","Boys","All pupils","44","32","NA","NA","54","24","NA","NA","","48","56"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Central Bedfordshire","Local Authority","E06000056","Boys","All pupils","45","21","NA","NA","51","23","NA","NA","","48","44"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Essex","Local Authority","E10000012","Boys","All pupils","52","160","NA","NA","55","173","NA","NA","","54","333"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Hertfordshire","Local Authority","E10000015","Boys","All pupils","49","211","NA","NA","56","236","NA","NA","","53","447"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Luton","Local Authority","E06000032","Boys","All pupils","47","144","NA","NA","51","150","NA","NA","","49","294"
