"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Value-Female","Denominator-Female","Lower CI - Female","Upper CI - Female","Notes - Female","All-value","All-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wirral","Local Authority","E08000015","Boys","All pupils","50","1597","NA","NA","54","1805","NA","NA","","52","3402"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Barnsley","Local Authority","E08000016","Boys","All pupils","45","1048","NA","NA","50","1040","NA","NA","","47","2088"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","Boys","All pupils","43","2923","NA","NA","49","2936","NA","NA","","46","5859"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","Boys","All pupils","50","1295","NA","NA","53","1229","NA","NA","","52","2524"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","Boys","All pupils","45","1535","NA","NA","49","1491","NA","NA","","47","3026"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","Boys","All pupils","50","1673","NA","NA","54","1673","NA","NA","","52","3346"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","Boys","All pupils","47","1119","NA","NA","48","1136","NA","NA","","48","2255"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kirklees","Local Authority","E08000034","Boys","All pupils","46","2257","NA","NA","52","2277","NA","NA","","49","4534"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Leeds","Local Authority","E08000035","Boys","All pupils","46","3854","NA","NA","51","3629","NA","NA","","48","7483"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North East Lincolnshire","Local Authority","E06000012","Boys","All pupils","46","799","NA","NA","50","797","NA","NA","","48","1596"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North Lincolnshire","Local Authority","E06000013","Boys","All pupils","48","955","NA","NA","50","901","NA","NA","","49","1856"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North Yorkshire","Local Authority","E10000023","Boys","All pupils","50","3226","NA","NA","54","2962","NA","NA","","52","6188"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Rotherham","Local Authority","E08000018","Boys","All pupils","46","1656","NA","NA","51","1679","NA","NA","","49","3335"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sheffield","Local Authority","E08000019","Boys","All pupils","46","2725","NA","NA","51","2517","NA","NA","","48","5242"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wakefield","Local Authority","E08000036","Boys","All pupils","46","1887","NA","NA","51","1758","NA","NA","","49","3645"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","York","Local Authority","E06000014","Boys","All pupils","51","808","NA","NA","55","777","NA","NA","","53","1585"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Derby","Local Authority","E06000015","Boys","All pupils","44","1410","NA","NA","49","1377","NA","NA","","46","2787"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Derbyshire","Local Authority","E10000007","Boys","All pupils","47","3837","NA","NA","51","3791","NA","NA","","49","7628"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Leicester","Local Authority","E06000016","Boys","All pupils","44","1775","NA","NA","49","1634","NA","NA","","46","3409"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Leicestershire","Local Authority","E10000018","Boys","All pupils","47","3606","NA","NA","52","3411","NA","NA","","50","7017"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lincolnshire","Local Authority","E10000019","Boys","All pupils","48","3987","NA","NA","52","3820","NA","NA","","50","7807"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Northamptonshire","Local Authority","E10000021","Boys","All pupils","46","3946","NA","NA","50","3704","NA","NA","","48","7650"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Nottingham","Local Authority","E06000018","Boys","All pupils","42","1284","NA","NA","48","1250","NA","NA","","45","2534"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Nottinghamshire","Local Authority","E10000024","Boys","All pupils","49","4059","NA","NA","53","3824","NA","NA","","51","7883"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Rutland","Local Authority","E06000017","Boys","All pupils","53","265","NA","NA","58","224","NA","NA","","55","489"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Birmingham","Local Authority","E08000025","Boys","All pupils","47","6122","NA","NA","52","5913","NA","NA","","49","12035"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Coventry","Local Authority","E08000026","Boys","All pupils","45","1787","NA","NA","51","1676","NA","NA","","48","3463"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Dudley","Local Authority","E08000027","Boys","All pupils","46","1879","NA","NA","50","1712","NA","NA","","48","3591"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Herefordshire, County of","Local Authority","E06000019","Boys","All pupils","46","926","NA","NA","53","806","NA","NA","","49","1732"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sandwell","Local Authority","E08000028","Boys","All pupils","43","1851","NA","NA","48","1648","NA","NA","","45","3499"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Shropshire","Local Authority","E06000051","Boys","All pupils","49","1532","NA","NA","53","1454","NA","NA","","51","2986"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Solihull","Local Authority","E08000029","Boys","All pupils","49","1559","NA","NA","54","1428","NA","NA","","51","2987"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Staffordshire","Local Authority","E10000028","Boys","All pupils","47","4469","NA","NA","51","4289","NA","NA","","49","8758"
