"Title","Assaults involving prisoners by ethnicity and time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","National Offender Management Service (NOMS) Offender Equalities Statistics Bulletin - supplementary table 4.2 https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Value","Numerator"
"2011","Year","White","ONS 5+1 2001","Assailant","71","4413"
"2012","Year","White","ONS 5+1 2001","Assailant","71.6","4437"
"2013","Year","White","ONS 5+1 2001","Assailant","77.3","4718"
"2014","Year","White","ONS 5+1 2001","Assailant","94.7","5914"
"2015","Year","White","ONS 5+1 2001","Assailant","127","8026"
"2011","Year","Asian","ONS 5+1 2001","Assailant","72.5","457"
"2012","Year","Asian","ONS 5+1 2001","Assailant","69.6","446"
"2013","Year","Asian","ONS 5+1 2001","Assailant","95.2","617"
"2014","Year","Asian","ONS 5+1 2001","Assailant","89.1","592"
"2015","Year","Asian","ONS 5+1 2001","Assailant","117.9","810"
"2011","Year","Black","ONS 5+1 2001","Assailant","182.4","2075"
"2012","Year","Black","ONS 5+1 2001","Assailant","180.1","2010"
"2013","Year","Black","ONS 5+1 2001","Assailant","188.1","2030"
"2014","Year","Black","ONS 5+1 2001","Assailant","217.1","2325"
"2015","Year","Black","ONS 5+1 2001","Assailant","285.3","3017"
"2011","Year","Mixed","ONS 5+1 2001","Assailant","172.5","544"
"2012","Year","Mixed","ONS 5+1 2001","Assailant","182","579"
"2013","Year","Mixed","ONS 5+1 2001","Assailant","216.4","700"
"2014","Year","Mixed","ONS 5+1 2001","Assailant","261.9","905"
"2015","Year","Mixed","ONS 5+1 2001","Assailant","335.5","1177"
"2011","Year","Other","ONS 5+1 2001","Assailant","66.7","65"
"2012","Year","Other","ONS 5+1 2001","Assailant","77.1","76"
"2013","Year","Other","ONS 5+1 2001","Assailant","111.1","111"
"2014","Year","Other","ONS 5+1 2001","Assailant","120.1","123"
"2015","Year","Other","ONS 5+1 2001","Assailant","163.1","160"
