"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","16+","89.8","89.5","90.1","47535","47379","47690","",""
"Used the internet in the last 3 months","2018","Year","All","All","North East","Region","16+","87.6","86.1","89.2","1879","1846","1913","",""
"Used the internet in the last 3 months","2018","Year","All","All","North West","Region","16+","89","88.1","89.9","5140","5087","5193","",""
"Used the internet in the last 3 months","2018","Year","All","All","Yorkshire and the Humber","Region","16+","87.9","86.8","89","3831","3784","3877","",""
"Used the internet in the last 3 months","2018","Year","All","All","East Midlands","Region","16+","88.4","87.3","89.6","3372","3330","3415","",""
"Used the internet in the last 3 months","2018","Year","All","All","West Midlands","Region","16+","88.7","87.7","89.7","4102","4054","4150","",""
"Used the internet in the last 3 months","2018","Year","All","All","East of England","Region","16+","90.6","89.7","91.5","4482","4437","4528","",""
"Used the internet in the last 3 months","2018","Year","All","All","London","Region","16+","92.6","91.8","93.4","6578","6521","6635","",""
"Used the internet in the last 3 months","2018","Year","All","All","South East","Region","16+","92","91.2","92.7","6670","6618","6723","",""
"Used the internet in the last 3 months","2018","Year","All","All","South West","Region","16+","89.8","88.8","90.7","4035","3993","4078","",""
"Used the internet in the last 3 months","2018","Year","All","All","Wales","Region","16+","88.9","87.5","90.3","2247","2212","2283","",""
"Used the internet in the last 3 months","2018","Year","All","All","Scotland","Region","16+","89.2","88.2","90.3","3943","3897","3989","",""
"Used the internet in the last 3 months","2018","Year","All","All","Northern Ireland","Region","16+","85.6","84","87.1","1254","1231","1277","",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","16+","89.3","89","89.6","41825","41678","41973","",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","North East","Region","16+","87.1","85.5","88.7","1791","1758","1824","",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","North West","Region","16+","88.6","87.6","89.6","4682","4631","4733","",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","87.5","86.4","88.6","3465","3420","3510","",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","East Midlands","Region","16+","88","86.8","89.2","3031","2990","3073","",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","West Midlands","Region","16+","87.9","86.7","89","3443","3398","3489","",""
