"Title","Internet use"
"Location","UK"
"Time period","January to March 2017"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/businessindustryandtrade/itandinternetindustry/bulletins/internetusers/2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","East of England","Region","16+","89.8","88.9","90.7","4,037"," 3,996 "," 4,078 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","London","Region","16+","92.7","91.8","93.6","3,969"," 3,929 "," 4,009 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","South East","Region","16+","91.2","90.5","91.9","6,056"," 6,008 "," 6,104 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","South West","Region","16+","89.2","88.2","90.1","3,817"," 3,777 "," 3,858 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Wales","Region","16+","86.7","85.3","88.0","2,100"," 2,066 "," 2,133 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Scotland","Region","16+","87.2","86.1","88.3","3,668"," 3,622 "," 3,713 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Northern Ireland","Region","16+","83.8","82.2","85.4","1,201"," 1,178 "," 1,223 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16+","94.9","93.7","96.2","1,429"," 1,410 "," 1,448 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","North West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","East Midlands","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","West Midlands","Region","16+","91.5","86.4","96.6","128"," 121 "," 135 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","East of England","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","London","Region","16+","94.1","91.9","96.3","598"," 584 "," 612 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","South East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","South West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Scotland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","Region","16+","91.2","90.2","92.3","3,006"," 2,972 "," 3,040 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","North West","Region","16+","89.6","86.0","93.2","269"," 258 "," 280 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","88.3","84.3","92.3","224"," 214 "," 234 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","East Midlands","Region","16+","88.3","83.7","92.9","188"," 178 "," 198 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","West Midlands","Region","16+","87.2","83.9","90.4","409"," 394 "," 424 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","East of England","Region","16+","94.9","91.7","98.1","192"," 186 "," 199 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","London","Region","16+","92","90.3","93.7","1,186"," 1,164 "," 1,208 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","South East","Region","16+","94.6"," 92 "," 97 ","278"," 270 "," 285 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","South West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Scotland","Region","16+","92.6","86.9","98.2","97"," 91 "," 103 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","16+","92.1","90.6","93.6","1,394"," 1,371 "," 1,417 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
