"Title","Time spent living in current home by ethnicity and type of tenure"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Tenure","Ethnicity",""
"Owner occupiers","White British","18 years and 2 months"
"Owner occupiers","All other ethnic groups","13 years and 8 months"
"Social rented housing","White British","12 years and 2 months"
"Social rented housing","All other ethnic groups","8 years and 10 months"
"Private rented housing","White British","4 years and 10 months"
"Private rented housing","All other ethnic groups","2 years and 8 months"
