"","All","Asian","Black","Mixed","White","Other"
"","","","","","",""
"All","73%","56%","67%","71%","75%","60%"
"Level 4 and above","83%","73%","79%","81%","84%","72%"
"Level 3","78%","63%","70%","81%","80%","63%"
"Level 2","71%","49%","65%","65%","72%","58%"
"Below Level 2","63%","40%","59%","?","65%","?"
"Other qualifications","66%","49%","52%","?","71%","53%"
"No qualifications","36%","19%","34%","?","40%","28%"
