"","All","Asian","Black","Mixed","White","Other"
"","","","","","",""
"All","83%","82%","80%","77%","83%","78%"
"Level 4 and above","90%","91%","90%","86%","90%","85%"
"Level 3","86%","80%","84%","84%","87%","77%"
"Level 2","81%","71%","63%","70%","82%","60%"
"Below Level 2","79%","74%","73%","?","79%","?"
"Other qualifications","83%","83%","81%","?","83%","80%"
"No qualifications","55%","63%","49%","?","54%","62%"
