"","All","Asian","Black","Mixed","White","Other"
"","","","","","",""
"Level 4 and above","86%","82%","84%","83%","87%","78%"
"Level 3","83%","71%","76%","82%","83%","70%"
"Level 2","76%","60%","64%","67%","77%","59%"
"Below Level 2","71%","55%","66%","58%","72%","53%"
"Other qualifications","76%","67%","66%","?","78%","68%"
"No qualifications","46%","39%","40%","43%","47%","44%"
"All","78%","69%","73%","74%","79%","69%"
