"","2016/17","","2017/18",""
"","Value","Number of respondents","Value","Number of respondents"
"All","62","10,215","62","10,173"
"Asian","64","1,109","65","925"
"Black","60","357","56","353"
"Mixed","65","462","56","508"
"White","61","7,996","63","8,067"
"Other","62","162","44","124"
