"Title","Feeling of belonging strongly to one's neighbourhood by ethnicity"
"Location","England"
"Time period","August 2016 to March 2017"
"Data source","Community Life Survey"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","July 2016"

"Ethnicity","%","Respondents"
"All","62","10,215"
"Asian","64","1,109"
"Black","60","357"
"Mixed","65","462"
"White","61","7,996"
"Other","62","162"
