"","Assailant","","Fighter","","Victim",""
"Ethnicity","Number","Incidents per 1000 prisoners","Number","Incidents per 1000 prisoners","Number","Incidents per 1000 prisoners"
"Asian","810","117.9","858","124.9","769","111.9"
"Black","3,017","285.3","2,817","266.4","1,335","126.3"
"Mixed","1,177","335.5","980","279.3","475","135.4"
"White","8,026","127.0","7,905","125.1","6,761","107.0"
"Other (including Chinese)","160","163.1","191","194.7","128","130.5"
