"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Barking and Dagenham","71","82","76","85","76","86","!","!","65","82","67","79"
"Barnet","74","82","74","90","71","78","77","!","77","86","77","83"
"Barnsley","67","79","!","!","!","!","!","N/A","59","79","67","79"
"Bath and North East Somerset","73","80","53","!","50","100","!","!","77","85","73","80"
"Bedford","69","77","73","77","72","!","!","!","65","73","69","78"
"Bexley","77","85","88","89","87","94","83","100","73","83","74","83"
"Birmingham","68","76","71","79","69","78","84","86","68","80","67","74"
"Blackburn with Darwen","71","78","74","80","55","80","N/A","67","79","85","69","77"
"Blackpool","70","79","74","79","!","!","!","!","83","86","69","79"
"Bolton","69","77","72","80","54","68","!","!","78","81","69","78"
"Bournemouth","72","79","62","88","!","!","!","!","80","82","71","79"
"Bracknell Forest","69","80","83","94","68","88","N/A","!","78","85","68","79"
"Bradford","67","77","68","79","70","!","!","!","65","77","67","76"
"Brent","70","79","72","82","68","83","!","!","71","!","71","79"
"Brighton and Hove","72","80","63","72","79","79","70","!","66","78","74","81"
"Bristol, City of","71","76","64","74","59","65","!","!","69","78","74","78"
"Bromley","77","83","81","86","75","90","85","80","77","82","77","83"
"Buckinghamshire","75","82","70","78","69","78","!","100","74","84","76","83"
"Bury","70","76","65","72","71","74","!","!","68","69","72","77"
"Calderdale","66","74","62","64","!","!","!","!","67","77","68","76"
"Cambridgeshire","70","77","63","75","64","74","85","91","78","82","70","77"
"Camden","71","79","64","76","69","79","!","!","78","86","75","81"
"Central Bedfordshire","74","84","85","90","79","89","100","!","83","87","74","83"
"Cheshire East","73","81","91","86","!","!","!","!","65","79","73","82"
"Cheshire West and Chester","69","80","64","88","!","!","!","!","73","87","69","80"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","70","79","!","67","N/A","!","!","57","74","79","70","79"
"County Durham","74","81","78","82","!","!","100","!","65","86","74","81"
"Coventry","68","77","75","82","67","83","!","100","69","81","67","74"
"Croydon","73","82","77","84","72","81","!","100","71","83","73","81"
"Cumbria","68","78","70","73","!","!","!","!","71","82","69","78"
"Darlington","70","83","64","81","!","!","!","!","!","!","70","84"
"Derby","66","75","73","75","70","81","77","77","64","66","65","76"
"Derbyshire","70","81","64","84","!","!","!","!","68","86","70","81"
"Devon","72","81","81","81","!","!","!","!","78","84","72","82"
"Doncaster","68","76","65","87","78","79","100","63","70","75","68","76"
"Dorset","70","82","76","81","!","!","!","!","68","83","70","82"
"Dudley","68","78","65","79","70","78","!","!","66","72","69","79"
"Ealing","70","79","72","79","63","76","!","!","76","83","75","84"
"East Riding of Yorkshire","71","81","!","100","!","!","N/A","!","73","93","71","80"
"East Sussex","73","81","77","76","64","72","!","!","73","81","73","82"
"Enfield","69","76","81","87","69","78","!","!","70","81","67","72"
"Essex","74","82","87","87","80","88","84","!","78","84","73","82"
"Gateshead","73","82","75","!","!","!","!","!","73","88","73","82"
"Gloucestershire","71","79","70","77","75","76","!","!","74","79","71","80"
"Greenwich","76","85","82","87","78","90","90","100","82","88","73","80"
"Hackney","77","84","82","80","75","82","!","!","77","92","78","85"
"Halton","62","70","!","!","N/A","N/A","!","N/A","56","75","64","70"
"Hammersmith and Fulham","75","84","!","!","70","82","!","!","74","85","79","87"
"Hampshire","79","86","83","87","77","88","73","90","86","90","78","86"
"Haringey","74","84","82","89","75","84","!","!","83","90","71","84"
"Harrow","74","82","80","87","65","79","!","100","81","87","65","77"
"Hartlepool","70","79","69","80","!","!","!","!","!","!","70","79"
"Havering","74","81","82","84","77","89","100","100","77","84","72","79"
"Herefordshire, County of","73","83","!","!","!","!","!","N/A","75","93","73","83"
"Hertfordshire","75","84","80","89","72","83","!","!","75","86","75","83"
"Hillingdon","74","81","78","87","69","84","!","!","78","86","71","77"
"Hounslow","75","85","79","89","74","84","!","!","82","86","72","84"
"Isle of Wight","68","77","!","100","!","!","!","!","57","83","68","77"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","72","80","72","82","69","77","100","100","70","86","74","81"
"Kensington and Chelsea","81","84","!","71","82","87","100","N/A","81","83","83","86"
"Kent","75","83","79","88","83","92","!","!","77","89","74","83"
"Kingston upon Hull, City of","67","76","64","75","52","50","!","!","64","75","67","77"
"Kingston upon Thames","77","84","81","88","76","79","!","!","77","86","76","84"
"Kirklees","68","77","68","75","60","80","!","!","68","79","68","78"
"Knowsley","66","75","73","100","!","!","!","!","50","67","67","75"
"Lambeth","74","84","76","93","71","83","!","100","78","86","76","85"
"Lancashire","71","79","67","78","71","77","67","77","69","79","72","80"
"Leeds","64","73","64","73","56","68","82","87","62","74","65","74"
"Leicester","66","73","73","78","69","78","!","100","70","79","60","69"
"Leicestershire","71","79","76","86","62","91","67","!","71","86","71","78"
"Lewisham","76","83","73","84","76","82","81","86","76","83","78","85"
"Lincolnshire","70","78","90","!","79","80","73","!","69","81","70","78"
"Liverpool","63","71","56","75","60","72","65","73","61","73","64","71"
"Luton","66","77","67","78","69","87","!","!","64","80","67","74"
"Manchester","66","76","64","73","72","81","76","82","67","80","67","77"
"Medway","74","84","75","!","83","93","!","!","85","86","73","82"
"Merton","75","81","74","83","75","77","!","!","79","81","75","80"
"Middlesbrough","64","72","62","75","!","!","!","!","57","66","66","73"
"Milton Keynes","72","83","79","90","78","84","!","!","74","86","70","80"
"Newcastle upon Tyne","71","77","67","72","74","86","75","81","71","79","72","78"
"Newham","75","81","78","83","76","82","!","!","75","87","68","77"
"Norfolk","71","79","72","83","66","74","!","85","67","78","71","79"
"North East Lincolnshire","69","76","!","!","!","!","!","!","83","77","69","76"
"North Lincolnshire","73","81","86","88","!","!","!","!","!","!","72","81"
"North Somerset","74","84","!","!","!","!","!","!","73","81","74","84"
"North Tyneside","73","85","52","68","!","!","100","!","79","!","74","85"
"North Yorkshire","71","79","72","79","!","!","!","!","72","84","71","79"
"Northamptonshire","71","79","68","85","69","82","!","!","75","82","71","79"
"Northumberland","77","84","!","!","N/A","!","!","!","74","84","78","84"
"Nottingham","66","75","71","76","74","77","!","!","67","78","64","76"
"Nottinghamshire","68","78","74","78","69","80","80","79","68","84","68","78"
"Oldham","64","73","61","70","56","64","!","!","73","79","68","77"
"Oxfordshire","72","80","72","80","73","85","100","!","74","77","72","80"
"Peterborough","65","75","64","77","63","77","!","!","68","84","65","74"
"Plymouth","68","78","74","84","!","!","!","!","73","79","68","78"
"Poole","75","84","77","100","!","!","!","!","85","74","75","83"
"Portsmouth","69","80","72","79","74","79","!","100","80","90","68","80"
"Reading","70","79","76","81","71","77","100","100","76","87","67","78"
"Redbridge","74","84","79","89","72","85","!","!","71","84","70","77"
"Redcar and Cleveland","73","83","!","!","!","N/A","N/A","N/A","!","!","73","83"
"Richmond upon Thames","81","85","83","94","71","72","!","86","84","83","82","84"
"Rochdale","67","76","65","79","66","71","!","!","65","81","68","76"
"Rotherham","69","78","70","76","81","81","!","!","71","73","69","78"
"Rutland","76","81","!","!","!","!","N/A","N/A","!","!","76","82"
"Salford","70","79","84","82","72","83","!","100","76","87","70","79"
"Sandwell","66","76","70","80","67","76","!","100","68","78","64","74"
"Sefton","70","77","81","73","50","100","!","100","73","70","70","78"
"Sheffield","70","77","71","77","68","77","!","!","70","77","71","78"
"Shropshire","69","79","!","!","!","!","!","!","74","!","69","79"
"Slough","70","82","78","88","!","!","!","!","71","77","62","75"
"Solihull","75","82","80","87","67","100","!","100","79","82","74","81"
"Somerset","72","81","82","89","!","!","!","!","71","80","73","81"
"South Gloucestershire","77","86","88","88","81","66","!","100","68","92","77","87"
"South Tyneside","72","82","!","!","!","!","!","!","70","82","72","82"
"Southampton","69","78","77","85","70","86","!","!","68","86","68","76"
"Southend-on-Sea","73","84","73","86","80","80","!","!","80","80","72","84"
"Southwark","75","83","67","87","75","86","82","!","76","87","78","81"
"St. Helens","65","78","!","!","!","!","45","100","70","84","66","78"
"Staffordshire","75","83","80","82","68","87","!","!","78","83","75","83"
"Stockport","72","83","67","78","73","69","!","!","74","89","73","84"
"Stockton-on-Tees","75","82","75","84","!","!","!","!","70","86","75","82"
"Stoke-on-Trent","67","77","69","79","64","79","!","!","61","82","68","76"
"Suffolk","70","78","77","82","69","76","!","!","68","76","70","78"
"Sunderland","73","80","73","78","!","!","!","!","88","75","73","80"
"Surrey","76","83","75","84","74","86","74","81","80","88","76","83"
"Sutton","75","82","83","87","83","81","!","!","75","81","72","81"
"Swindon","72","80","72","78","78","83","!","!","74","86","72","81"
"Tameside","67","77","61","74","69","71","!","!","54","77","69","78"
"Telford and Wrekin","71","82","69","82","71","80","!","!","77","93","71","82"
"Thurrock","73","81","81","85","77","92","!","!","76","88","71","78"
"Torbay","72","77","!","!","!","N/A","!","!","64","84","73","77"
"Tower Hamlets","72","81","74","82","73","83","!","!","75","79","66","81"
"Trafford","76","84","81","83","67","77","76","!","74","83","77","86"
"Wakefield","68","77","61","65","61","70","!","!","79","84","68","78"
"Walsall","67","77","68","81","71","82","!","!","65","82","67","75"
"Waltham Forest","76","86","82","89","77","88","84","86","80","88","73","84"
"Wandsworth","80","84","82","81","72","77","!","!","79","83","83","88"
"Warrington","74","80","82","82","!","!","!","!","91","78","74","81"
"Warwickshire","73","81","76","85","86","73","!","!","79","81","73","81"
"West Berkshire","74","82","82","89","!","!","!","!","74","88","74","81"
"West Sussex","69","78","64","74","68","68","75","100","73","79","69","78"
"Westminster","72","80","67","76","72","82","!","100","75","86","78","85"
"Wigan","71","80","69","88","72","!","!","!","80","80","71","80"
"Wiltshire","70","79","80","74","73","76","!","!","73","84","70","79"
"Windsor and Maidenhead","78","85","82","83","!","!","!","!","84","85","77","86"
"Wirral","70","77","58","74","!","!","!","100","69","80","70","77"
"Wokingham","79","84","85","83","73","77","100","100","77","83","79","84"
