"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Cambridgeshire","E10000003","All","73","%","7324"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","All","72","%","7982"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","All","72","%","2242"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","All","77","%","2195"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Thurrock","E06000034","All","77","%","2371"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","All","73","%","7294"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Central Bedfordshire","E06000056","All","79","%","3549"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","All","70","%","3324"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Southend-on-Sea","E06000033","All","78","%","2216"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","All","79","%","14300"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","All","68","%","3024"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Bedford","E06000055","All","73","%","2306"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","All","75","%","9002"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","All","77","%","16466"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Essex","E10000012","All","78","%","16915"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","All","76","%","2397"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Norfolk","E10000020","All","75","%","9139"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Suffolk","E10000029","All","74","%","8026"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Hertfordshire","E10000015","All","79","%","14674"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Peterborough","E06000031","All","69","%","3143"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","All","77","%","3402"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East","Luton","E06000032","All","71","%","3304"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","All","73","%","7964"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottingham","E06000018","All","70","%","3815"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","All","66","%","3389"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","All","67","%","4606"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","All","79","%","424"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Lincolnshire","E10000019","All","74","%","8166"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","All","72","%","9264"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","All","73","%","9418"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","All","75","%","8606"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","All","80","%","407"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","All","75","%","8401"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derby","E06000015","All","70","%","3401"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicestershire","E10000018","All","75","%","7806"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Northamptonshire","E10000021","All","75","%","9557"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","All","66","%","3800"
