"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"Standard Ethnicity","Local authority","Boys","Girls"
"All","Barking and Dagenham","71","79"
"All","Barnet","74","80"
"All","Barnsley","65","76"
"All","Bath and North East Somerset","70","78"
"All","Bedford","68","76"
"All","Bexley","79","83"
"All","Birmingham","65","74"
"All","Blackburn with Darwen","70","79"
"All","Blackpool","70","78"
"All","Bolton","67","76"
"All","Bournemouth","70","75"
"All","Bracknell Forest","74","80"
"All","Bradford","65","74"
"All","Brent","72","77"
"All","Brighton and Hove","71","78"
"All","Bristol, City of","67","76"
"All","Bromley","76","84"
"All","Buckinghamshire","73","80"
"All","Bury","68","77"
"All","Calderdale","62","71"
"All","Cambridgeshire","69","77"
"All","Camden","71","79"
"All","Central Bedfordshire","73","81"
"All","Cheshire East","70","80"
"All","Cheshire West and Chester","70","78"
"All","City of London","!","!"
"All","Cornwall","69","78"
"All","County Durham","71","80"
"All","Coventry","65","74"
"All","Croydon","73","80"
"All","Cumbria","64","75"
"All","Darlington","71","79"
"All","Derby","61","70"
"All","Derbyshire","70","79"
"All","Devon","67","78"
"All","Doncaster","65","75"
"All","Dorset","68","77"
"All","Dudley","69","80"
"All","Ealing","68","75"
"All","East Riding of Yorkshire","70","81"
"All","East Sussex","71","80"
"All","Enfield","69","77"
"All","Essex","72","82"
"All","Gateshead","73","81"
"All","Gloucestershire","70","76"
"All","Greenwich","77","85"
"All","Hackney","77","85"
"All","Halton","61","72"
"All","Hammersmith and Fulham","75","81"
"All","Hampshire","77","84"
"All","Haringey","74","81"
"All","Harrow","72","83"
"All","Hartlepool","66","80"
"All","Havering","72","82"
"All","Herefordshire, County of","71","80"
"All","Hertfordshire","75","83"
"All","Hillingdon","70","80"
"All","Hounslow","77","82"
"All","Isle of Wight","72","79"
"All","Isles of Scilly","!","!"
"All","Islington","73","77"
"All","Kensington and Chelsea","78","84"
"All","Kent","74","82"
"All","Kingston upon Hull, City of","68","76"
"All","Kingston upon Thames","72","79"
"All","Kirklees","67","76"
"All","Knowsley","63","74"
"All","Lambeth","74","82"
"All","Lancashire","69","78"
"All","Leeds","61","70"
"All","Leicester","63","71"
"All","Leicestershire","69","78"
"All","Lewisham","75","82"
"All","Lincolnshire","67","78"
"All","Liverpool","58","69"
"All","Luton","65","75"
"All","Manchester","66","74"
"All","Medway","72","79"
"All","Merton","71","78"
"All","Middlesbrough","63","72"
"All","Milton Keynes","72","79"
"All","Newcastle upon Tyne","70","77"
"All","Newham","75","83"
"All","Norfolk","69","80"
"All","North East Lincolnshire","68","77"
"All","North Lincolnshire","74","82"
"All","North Somerset","73","81"
"All","North Tyneside","73","80"
"All","North Yorkshire","68","77"
"All","Northamptonshire","69","77"
"All","Northumberland","74","84"
"All","Nottingham","62","71"
"All","Nottinghamshire","66","77"
"All","Oldham","62","71"
"All","Oxfordshire","70","78"
"All","Peterborough","63","74"
"All","Plymouth","66","76"
"All","Poole","73","83"
"All","Portsmouth","67","79"
"All","Reading","70","79"
"All","Redbridge","73","82"
"All","Redcar and Cleveland","71","83"
"All","Richmond upon Thames","76","83"
"All","Rochdale","66","76"
"All","Rotherham","65","76"
"All","Rutland","78","82"
"All","Salford","70","79"
"All","Sandwell","63","73"
"All","Sefton","66","75"
"All","Sheffield","67","76"
"All","Shropshire","67","80"
"All","Slough","72","79"
"All","Solihull","75","82"
"All","Somerset","70","79"
"All","South Gloucestershire","74","81"
"All","South Tyneside","76","81"
"All","Southampton","70","81"
"All","Southend-on-Sea","71","82"
"All","Southwark","73","80"
"All","St. Helens","63","73"
"All","Staffordshire","72","82"
"All","Stockport","72","80"
"All","Stockton-on-Tees","70","82"
"All","Stoke-on-Trent","64","76"
"All","Suffolk","68","77"
"All","Sunderland","71","79"
"All","Surrey","75","83"
"All","Sutton","74","82"
"All","Swindon","65","77"
"All","Tameside","65","75"
"All","Telford and Wrekin","73","82"
"All","Thurrock","73","80"
"All","Torbay","68","78"
"All","Tower Hamlets","71","81"
"All","Trafford","75","83"
"All","Wakefield","66","78"
"All","Walsall","68","75"
"All","Waltham Forest","76","83"
"All","Wandsworth","78","84"
"All","Warrington","72","80"
"All","Warwickshire","72","81"
"All","West Berkshire","72","79"
"All","West Sussex","64","75"
"All","Westminster","75","79"
"All","Wigan","69","79"
"All","Wiltshire","70","77"
"All","Windsor and Maidenhead","77","83"
"All","Wirral","66","78"
"All","Wokingham","77","84"
"All","Wolverhampton","66","76"
"All","Worcestershire","69","77"
"All","York","71","78"
"Asian","Barking and Dagenham","77","83"
"Asian","Barnet","79","85"
"Asian","Barnsley","!","!"
"Asian","Bath and North East Somerset","77","69"
"Asian","Bedford","64","77"
"Asian","Bexley","88","93"
"Asian","Birmingham","67","76"
"Asian","Blackburn with Darwen","69","81"
"Asian","Blackpool","64","65"
"Asian","Bolton","72","79"
"Asian","Bournemouth","65","73"
"Asian","Bracknell Forest","!","!"
"Asian","Bradford","67","76"
"Asian","Brent","77","81"
"Asian","Brighton and Hove","79","73"
"Asian","Bristol, City of","65","71"
"Asian","Bromley","88","92"
"Asian","Buckinghamshire","70","74"
"Asian","Bury","72","76"
"Asian","Calderdale","53","64"
"Asian","Cambridgeshire","71","75"
"Asian","Camden","66","78"
"Asian","Central Bedfordshire","77","93"
"Asian","Cheshire East","79","65"
"Asian","Cheshire West and Chester","63","87"
"Asian","City of London","!","!"
"Asian","Cornwall","!","!"
"Asian","County Durham","!","!"
"Asian","Coventry","72","83"
"Asian","Croydon","79","90"
"Asian","Cumbria","80","81"
"Asian","Darlington","65","76"
"Asian","Derby","69","76"
"Asian","Derbyshire","83","83"
"Asian","Devon","74","81"
"Asian","Doncaster","64","73"
"Asian","Dorset","70","80"
"Asian","Dudley","70","79"
"Asian","Ealing","67","77"
"Asian","East Riding of Yorkshire","!","!"
"Asian","East Sussex","79","83"
"Asian","Enfield","83","88"
"Asian","Essex","81","87"
"Asian","Gateshead","73","76"
"Asian","Gloucestershire","67","82"
"Asian","Greenwich","86","92"
"Asian","Hackney","85","85"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","81","85"
"Asian","Hampshire","81","82"
"Asian","Haringey","78","87"
"Asian","Harrow","79","89"
"Asian","Hartlepool","!","!"
"Asian","Havering","74","92"
