"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","76","80","81","58","74","73"
"Barnet","78","81","74","86","82","80"
"Barnsley","73","!","81","!","68","73"
"Bath and North East Somerset","76","68","75","!","81","77"
"Bedford","73","75","73","100","69","74"
"Bexley","81","88","91","93","79","78"
"Birmingham","72","75","74","85","74","71"
"Blackburn with Darwen","74","77","69","67","83","72"
"Blackpool","75","76","!","!","85","74"
"Bolton","73","76","61","!","79","73"
"Bournemouth","75","76","80","100","81","75"
"Bracknell Forest","75","88","79","!","81","74"
"Bradford","72","73","73","!","71","71"
"Brent","74","77","76","!","77","75"
"Brighton and Hove","76","67","79","74","72","78"
"Bristol, City of","73","69","62","!","73","76"
"Bromley","80","83","82","83","80","80"
"Buckinghamshire","78","74","74","!","79","79"
"Bury","73","68","73","!","69","75"
"Calderdale","70","63","76","!","72","72"
"Cambridgeshire","73","68","69","88","80","73"
"Camden","74","70","74","69","82","78"
"Central Bedfordshire","79","88","85","100","85","79"
"Cheshire East","77","88","80","!","73","77"
"Cheshire West and Chester","74","77","60","55","80","74"
"City of London","!","!","!","!","!","!"
"Cornwall","74","65","!","!","76","74"
"County Durham","77","80","!","!","76","77"
"Coventry","72","78","75","!","74","71"
"Croydon","77","80","76","!","77","77"
"Cumbria","73","72","!","62","77","73"
"Darlington","77","72","!","!","74","77"
"Derby","70","74","76","77","65","70"
"Derbyshire","75","74","75","75","77","75"
"Devon","77","81","79","!","81","77"
"Doncaster","72","75","78","82","73","72"
"Dorset","76","79","75","!","75","76"
"Dudley","73","72","74","71","69","74"
"Ealing","75","76","69","77","80","79"
"East Riding of Yorkshire","76","88","!","!","83","76"
"East Sussex","77","77","67","86","77","78"
"Enfield","72","84","73","!","75","69"
"Essex","78","87","84","89","81","77"
"Gateshead","77","82","71","83","81","77"
"Gloucestershire","75","74","75","!","76","75"
"Greenwich","80","85","84","94","85","76"
"Hackney","80","81","79","79","84","81"
"Halton","66","!","N/A","!","64","67"
"Hammersmith and Fulham","79","81","75","100","79","83"
"Hampshire","82","85","82","82","88","82"
"Haringey","79","86","80","85","86","77"
"Harrow","78","83","72","!","84","71"
"Hartlepool","74","75","50","100","!","74"
"Havering","77","83","83","100","81","75"
"Herefordshire, County of","78","!","!","!","85","77"
"Hertfordshire","79","84","78","90","80","79"
"Hillingdon","77","83","76","!","82","74"
"Hounslow","80","83","79","80","84","78"
"Isle of Wight","72","100","!","!","70","72"
"Isles of Scilly","!","!","!","!","!","!"
"Islington","76","75","73","100","78","77"
"Kensington and Chelsea","82","73","84","100","82","84"
"Kent","79","83","88","91","83","78"
"Kingston upon Hull, City of","71","69","51","!","69","72"
"Kingston upon Thames","80","84","78","!","81","80"
"Kirklees","72","72","71","62","73","73"
"Knowsley","71","85","!","100","58","71"
"Lambeth","79","84","77","!","82","81"
"Lancashire","75","72","74","74","74","76"
"Leeds","68","68","62","85","68","69"
"Leicester","70","75","74","!","74","64"
"Leicestershire","75","81","78","83","78","75"
"Lewisham","80","78","79","83","79","81"
"Lincolnshire","74","91","79","78","75","73"
"Liverpool","67","64","66","69","67","68"
"Luton","71","72","76","58","71","70"
"Manchester","71","69","76","79","73","72"
"Medway","79","87","87","!","85","77"
"Merton","77","78","76","79","80","78"
"Middlesbrough","68","68","69","!","61","69"
