"Standard Ethnicity","Local authority","Boys","Girls"
"All","Barking and Dagenham","71","82"
"All","Barnet","74","82"
"All","Barnsley","67","79"
"All","Bath and North East Somerset","73","80"
"All","Bedford","69","77"
"All","Bexley","77","85"
"All","Birmingham","68","76"
"All","Blackburn with Darwen","71","78"
"All","Blackpool","70","79"
"All","Bolton","69","77"
"All","Bournemouth","72","79"
"All","Bracknell Forest","69","80"
"All","Bradford","67","77"
"All","Brent","70","79"
"All","Brighton and Hove","72","80"
"All","Bristol, City of","71","76"
"All","Bromley","77","83"
"All","Buckinghamshire","75","82"
"All","Bury","70","76"
"All","Calderdale","66","74"
"All","Cambridgeshire","70","77"
"All","Camden","71","79"
"All","Central Bedfordshire","74","84"
"All","Cheshire East","73","81"
"All","Cheshire West and Chester","69","80"
"All","City of London","!","!"
"All","Cornwall","70","79"
"All","County Durham","74","81"
"All","Coventry","68","77"
"All","Croydon","73","82"
"All","Cumbria","68","78"
"All","Darlington","70","83"
"All","Derby","66","75"
"All","Derbyshire","70","81"
"All","Devon","72","81"
"All","Doncaster","68","76"
"All","Dorset","70","82"
"All","Dudley","68","78"
"All","Ealing","70","79"
"All","East Riding of Yorkshire","71","81"
"All","East Sussex","73","81"
"All","Enfield","69","76"
"All","Essex","74","82"
"All","Gateshead","73","82"
"All","Gloucestershire","71","79"
"All","Greenwich","76","85"
"All","Hackney","77","84"
"All","Halton","62","70"
"All","Hammersmith and Fulham","75","84"
"All","Hampshire","79","86"
"All","Haringey","74","84"
"All","Harrow","74","82"
"All","Hartlepool","70","79"
"All","Havering","74","81"
"All","Herefordshire, County of","73","83"
"All","Hertfordshire","75","84"
"All","Hillingdon","74","81"
"All","Hounslow","75","85"
"All","Isle of Wight","68","77"
"All","Isles of Scilly","!","!"
"All","Islington","72","80"
"All","Kensington and Chelsea","81","84"
"All","Kent","75","83"
"All","Kingston upon Hull, City of","67","76"
"All","Kingston upon Thames","77","84"
"All","Kirklees","68","77"
"All","Knowsley","66","75"
"All","Lambeth","74","84"
"All","Lancashire","71","79"
"All","Leeds","64","73"
"All","Leicester","66","73"
"All","Leicestershire","71","79"
"All","Lewisham","76","83"
"All","Lincolnshire","70","78"
"All","Liverpool","63","71"
"All","Luton","66","77"
"All","Manchester","66","76"
"All","Medway","74","84"
"All","Merton","75","81"
"All","Middlesbrough","64","72"
"All","Milton Keynes","72","83"
"All","Newcastle upon Tyne","71","77"
"All","Newham","75","81"
"All","Norfolk","71","79"
"All","North East Lincolnshire","69","76"
"All","North Lincolnshire","73","81"
"All","North Somerset","74","84"
"All","North Tyneside","73","85"
"All","North Yorkshire","71","79"
"All","Northamptonshire","71","79"
"All","Northumberland","77","84"
"All","Nottingham","66","75"
"All","Nottinghamshire","68","78"
"All","Oldham","64","73"
"All","Oxfordshire","72","80"
"All","Peterborough","65","75"
"All","Plymouth","68","78"
"All","Poole","75","84"
"All","Portsmouth","69","80"
"All","Reading","70","79"
"All","Redbridge","74","84"
"All","Redcar and Cleveland","73","83"
"All","Richmond upon Thames","81","85"
"All","Rochdale","67","76"
"All","Rotherham","69","78"
"All","Rutland","76","81"
"All","Salford","70","79"
"All","Sandwell","66","76"
"All","Sefton","70","77"
"All","Sheffield","70","77"
"All","Shropshire","69","79"
"All","Slough","70","82"
"All","Solihull","75","82"
"All","Somerset","72","81"
"All","South Gloucestershire","77","86"
"All","South Tyneside","72","82"
"All","Southampton","69","78"
"All","Southend-on-Sea","73","84"
"All","Southwark","75","83"
"All","St. Helens","65","78"
"All","Staffordshire","75","83"
"All","Stockport","72","83"
"All","Stockton-on-Tees","75","82"
"All","Stoke-on-Trent","67","77"
"All","Suffolk","70","78"
"All","Sunderland","73","80"
"All","Surrey","76","83"
"All","Sutton","75","82"
"All","Swindon","72","80"
"All","Tameside","67","77"
"All","Telford and Wrekin","71","82"
"All","Thurrock","73","81"
"All","Torbay","72","77"
"All","Tower Hamlets","72","81"
"All","Trafford","76","84"
"All","Wakefield","68","77"
"All","Walsall","67","77"
"All","Waltham Forest","76","86"
"All","Wandsworth","80","84"
"All","Warrington","74","80"
"All","Warwickshire","73","81"
"All","West Berkshire","74","82"
"All","West Sussex","69","78"
"All","Westminster","72","80"
"All","Wigan","71","80"
"All","Wiltshire","70","79"
"All","Windsor and Maidenhead","78","85"
"All","Wirral","70","77"
"All","Wokingham","79","84"
"All","Wolverhampton","69","78"
"All","Worcestershire","74","80"
"All","York","72","82"
"Asian","Barking and Dagenham","76","85"
"Asian","Barnet","74","90"
"Asian","Barnsley","!","!"
"Asian","Bath and North East Somerset","53","!"
"Asian","Bedford","73","77"
"Asian","Bexley","88","89"
"Asian","Birmingham","71","79"
"Asian","Blackburn with Darwen","74","80"
"Asian","Blackpool","74","79"
"Asian","Bolton","72","80"
"Asian","Bournemouth","62","88"
"Asian","Bracknell Forest","83","94"
"Asian","Bradford","68","79"
"Asian","Brent","72","82"
"Asian","Brighton and Hove","63","72"
"Asian","Bristol, City of","64","74"
"Asian","Bromley","81","86"
"Asian","Buckinghamshire","70","78"
"Asian","Bury","65","72"
"Asian","Calderdale","62","64"
"Asian","Cambridgeshire","63","75"
"Asian","Camden","64","76"
"Asian","Central Bedfordshire","85","90"
"Asian","Cheshire East","91","86"
"Asian","Cheshire West and Chester","64","88"
"Asian","City of London","!","!"
"Asian","Cornwall","!","67"
"Asian","County Durham","78","82"
"Asian","Coventry","75","82"
"Asian","Croydon","77","84"
"Asian","Cumbria","70","73"
"Asian","Darlington","64","81"
"Asian","Derby","73","75"
"Asian","Derbyshire","64","84"
"Asian","Devon","81","81"
"Asian","Doncaster","65","87"
"Asian","Dorset","76","81"
"Asian","Dudley","65","79"
"Asian","Ealing","72","79"
"Asian","East Riding of Yorkshire","!","100"
"Asian","East Sussex","77","76"
"Asian","Enfield","81","87"
"Asian","Essex","87","87"
"Asian","Gateshead","75","!"
"Asian","Gloucestershire","70","77"
"Asian","Greenwich","82","87"
"Asian","Hackney","82","80"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","!","!"
"Asian","Hampshire","83","87"
"Asian","Haringey","82","89"
"Asian","Harrow","80","87"
"Asian","Hartlepool","69","80"
"Asian","Havering","82","84"
"Asian","Herefordshire, County of","!","!"
"Asian","Hertfordshire","80","89"
"Asian","Hillingdon","78","87"
"Asian","Hounslow","79","89"
"Asian","Isle of Wight","!","100"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","72","82"
"Asian","Kensington and Chelsea","!","71"
"Asian","Kent","79","88"
"Asian","Kingston upon Hull, City of","64","75"
"Asian","Kingston upon Thames","81","88"
