"Standard Ethnicity","Local authority","%"
"All","Barking and Dagenham","76"
"All","Barnet","78"
"All","Barnsley","73"
"All","Bath and North East Somerset","76"
"All","Bedford","73"
"All","Bexley","81"
"All","Birmingham","72"
"All","Blackburn with Darwen","74"
"All","Blackpool","75"
"All","Bolton","73"
"All","Bournemouth","75"
"All","Bracknell Forest","75"
"All","Bradford","72"
"All","Brent","74"
"All","Brighton and Hove","76"
"All","Bristol, City of","73"
"All","Bromley","80"
"All","Buckinghamshire","78"
"All","Bury","73"
"All","Calderdale","70"
"All","Cambridgeshire","73"
"All","Camden","74"
"All","Central Bedfordshire","79"
"All","Cheshire East","77"
"All","Cheshire West and Chester","74"
"All","City of London","!"
"All","Cornwall","74"
"All","County Durham","77"
"All","Coventry","72"
"All","Croydon","77"
"All","Cumbria","73"
"All","Darlington","77"
"All","Derby","70"
"All","Derbyshire","75"
"All","Devon","77"
"All","Doncaster","72"
"All","Dorset","76"
"All","Dudley","73"
"All","Ealing","75"
"All","East Riding of Yorkshire","76"
"All","East Sussex","77"
"All","Enfield","72"
"All","Essex","78"
"All","Gateshead","77"
"All","Gloucestershire","75"
"All","Greenwich","80"
"All","Hackney","80"
"All","Halton","66"
"All","Hammersmith and Fulham","79"
"All","Hampshire","82"
"All","Haringey","79"
"All","Harrow","78"
"All","Hartlepool","74"
"All","Havering","77"
"All","Herefordshire, County of","78"
"All","Hertfordshire","79"
"All","Hillingdon","77"
"All","Hounslow","80"
"All","Isle of Wight","72"
"All","Isles of Scilly","!"
"All","Islington","76"
"All","Kensington and Chelsea","82"
"All","Kent","79"
"All","Kingston upon Hull, City of","71"
"All","Kingston upon Thames","80"
"All","Kirklees","72"
"All","Knowsley","71"
"All","Lambeth","79"
"All","Lancashire","75"
"All","Leeds","68"
"All","Leicester","70"
"All","Leicestershire","75"
"All","Lewisham","80"
"All","Lincolnshire","74"
"All","Liverpool","67"
"All","Luton","71"
"All","Manchester","71"
"All","Medway","79"
"All","Merton","77"
"All","Middlesbrough","68"
"All","Milton Keynes","77"
"All","Newcastle upon Tyne","74"
"All","Newham","78"
"All","Norfolk","75"
"All","North East Lincolnshire","73"
"All","North Lincolnshire","77"
"All","North Somerset","79"
"All","North Tyneside","79"
"All","North Yorkshire","75"
"All","Northamptonshire","75"
"All","Northumberland","80"
"All","Nottingham","70"
"All","Nottinghamshire","73"
"All","Oldham","69"
"All","Oxfordshire","76"
"All","Peterborough","69"
"All","Plymouth","73"
"All","Poole","79"
"All","Portsmouth","74"
"All","Reading","75"
"All","Redbridge","79"
"All","Redcar and Cleveland","78"
"All","Richmond upon Thames","83"
"All","Rochdale","71"
"All","Rotherham","73"
"All","Rutland","79"
"All","Salford","75"
"All","Sandwell","71"
"All","Sefton","74"
"All","Sheffield","74"
"All","Shropshire","74"
"All","Slough","77"
"All","Solihull","79"
"All","Somerset","76"
"All","South Gloucestershire","82"
"All","South Tyneside","77"
"All","Southampton","73"
"All","Southend-on-Sea","78"
"All","Southwark","79"
"All","St. Helens","72"
"All","Staffordshire","79"
"All","Stockport","77"
"All","Stockton-on-Tees","78"
"All","Stoke-on-Trent","72"
"All","Suffolk","74"
"All","Sunderland","76"
"All","Surrey","80"
"All","Sutton","78"
"All","Swindon","76"
"All","Tameside","72"
"All","Telford and Wrekin","77"
"All","Thurrock","77"
"All","Torbay","74"
"All","Tower Hamlets","76"
"All","Trafford","80"
"All","Wakefield","72"
"All","Walsall","71"
"All","Waltham Forest","81"
"All","Wandsworth","82"
"All","Warrington","77"
"All","Warwickshire","77"
"All","West Berkshire","78"
"All","West Sussex","73"
"All","Westminster","76"
"All","Wigan","75"
"All","Wiltshire","74"
"All","Windsor and Maidenhead","81"
"All","Wirral","73"
"All","Wokingham","82"
"All","Wolverhampton","73"
"All","Worcestershire","77"
"All","York","77"
"Asian","Barking and Dagenham","80"
"Asian","Barnet","81"
"Asian","Barnsley","!"
"Asian","Bath and North East Somerset","68"
"Asian","Bedford","75"
"Asian","Bexley","88"
"Asian","Birmingham","75"
"Asian","Blackburn with Darwen","77"
"Asian","Blackpool","76"
"Asian","Bolton","76"
"Asian","Bournemouth","76"
"Asian","Bracknell Forest","88"
"Asian","Bradford","73"
"Asian","Brent","77"
"Asian","Brighton and Hove","67"
"Asian","Bristol, City of","69"
"Asian","Bromley","83"
"Asian","Buckinghamshire","74"
"Asian","Bury","68"
"Asian","Calderdale","63"
"Asian","Cambridgeshire","68"
"Asian","Camden","70"
"Asian","Central Bedfordshire","88"
"Asian","Cheshire East","88"
"Asian","Cheshire West and Chester","77"
"Asian","City of London","!"
"Asian","Cornwall","65"
"Asian","County Durham","80"
"Asian","Coventry","78"
"Asian","Croydon","80"
"Asian","Cumbria","72"
"Asian","Darlington","72"
"Asian","Derby","74"
"Asian","Derbyshire","74"
"Asian","Devon","81"
"Asian","Doncaster","75"
"Asian","Dorset","79"
"Asian","Dudley","72"
"Asian","Ealing","76"
"Asian","East Riding of Yorkshire","88"
"Asian","East Sussex","77"
"Asian","Enfield","84"
"Asian","Essex","87"
"Asian","Gateshead","82"
"Asian","Gloucestershire","74"
"Asian","Greenwich","85"
"Asian","Hackney","81"
"Asian","Halton","!"
"Asian","Hammersmith and Fulham","81"
"Asian","Hampshire","85"
"Asian","Haringey","86"
"Asian","Harrow","83"
"Asian","Hartlepool","75"
"Asian","Havering","83"
"Asian","Herefordshire, County of","!"
"Asian","Hertfordshire","84"
"Asian","Hillingdon","83"
"Asian","Hounslow","83"
"Asian","Isle of Wight","100"
"Asian","Isles of Scilly","!"
"Asian","Islington","75"
"Asian","Kensington and Chelsea","73"
