"Title","Use of force by ethnicity"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Youth Justice Statistics https://www.gov.uk/government/statistics/youth-justice-statistics-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Establishment","Ethnic Group","Number of Incidents per 100 in custody (avg per month)","Number of Incidents (avg per month)"
"Cookham Wood YOI","Other","58.2","60.2"
"Cookham Wood YOI","White","30.5","25.6"
"Medway STC","Other","31.2","12.2"
"Medway STC","White","24.5","7.5"
"Oakhill STC","Other","52.1","20.3"
"Oakhill STC","White","38.8","20.9"
"Rainsbrook STC","Other","30.9","8.2"
"Rainsbrook STC","White","26.8","16.9"
"Werrington YOI","Other","38.7","26.3"
"Werrington YOI","White","18.4","13.2"
"Wetherby YOI","Other","24.4","20.5"
"Wetherby YOI","White","20.8","51.5"
