"Title","Percentage of homeless households by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Homelessness statistics"
"Data source link","https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","23 March 2017"

"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Geography","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"East Riding of Yorkshire","!","!","!","!","!","!","99","265","!","!","!","!"
"East Staffordshire","6","8","!","!","!","!","86","119","!","!","!","!"
"Eastbourne","!","!","!","!","!","!","75","70","!","!","18","17"
"Eastleigh","!","!","!","!","!","!","!","!","!","!","!","!"
"Eden","!","!","!","!","!","!","!","!","!","!","!","!"
"Elmbridge","!","!","!","!","!","!","68","41","8","5","13","8"
"Enfield","5","52","45","490","7","77","41","452","1","13","1","12"
"Epping Forest","!","!","11","6","!","!","71","40","!","!","13","7"
"Epsom and Ewell","6","5","7","6","!","!","83","73","!","!","!","!"
"Erewash","!","!","!","!","!","!","85","33","!","!","!","!"
"Exeter","!","!","!","!","!","!","83","77","!","!","12","11"
"Fareham","!","!","!","!","!","!","94","58","!","!","!","!"
"Fenland","!","!","!","!","!","!","99","102","!","!","!","!"
"Forest Heath","!","!","!","!","!","!","86","83","!","!","6","6"
"Forest of Dean","!","!","!","!","!","!","97","29","!","!","!","!"
"Fylde","!","!","!","!","!","!","91","10","!","!","!","!"
"Gateshead","6","13","2","5","3","6","89","210","!","!","!","!"
"Gedling","!","!","5","5","5","5","90","88","!","!","!","!"
"Gloucester","3","6","9","20","6","14","73","163","!","!","8","17"
"Gosport","!","!","!","!","!","!","83","86","!","!","15","16"
"Gravesham","!","!","!","!","!","!","55","16","!","!","21","6"
"Great Yarmouth","!","!","!","!","!","!","98","93","!","!","!","!"
"Greenwich","7","38","47","259","3","19","39","213","1","6","2","11"
"Guildford","!","!","!","!","!","!","67","22","!","!","24","8"
"Hackney","8","66","44","356","2","16","22","177","5","44","18","144"
"Halton","!","!","!","!","!","!","97","28","!","!","!","!"
"Hambleton","!","!","!","!","!","!","96","25","!","!","!","!"
"Hammersmith and Fulham","8","30","27","100","7","26","47","173","10","35","!","!"
"Harborough","!","!","!","!","!","!","!","!","!","!","!","!"
"Haringey","6","40","38","262","3","22","9","61","41","282","2","16"
"Harlow","!","!","11","16","!","!","66","93","!","!","19","27"
"Harrogate","!","!","4","6","!","!","93","149","!","!","!","!"
"Harrow","23","102","26","117","4","19","24","110","6","27","16","74"
"Hart","!","!","!","!","!","!","86","24","!","!","!","!"
"Hartlepool","!","!","!","!","!","!","74","35","!","!","!","!"
"Hastings","!","!","!","!","!","!","76","174","!","!","21","48"
"Havant","!","!","!","!","!","!","90","27","!","!","!","!"
"Havering","4","13","21","68","5","16","65","206","!","!","4","14"
"Herefordshire, County of","!","!","!","!","!","!","!","!","!","!","!","!"
"Hertsmere","!","!","7","7","!","!","50","53","!","!","41","43"
"High Peak","!","!","!","!","!","!","!","!","!","!","!","!"
"Hillingdon","21","58","29","81","!","!","23","65","16","45","10","29"
"Hinckley and Bosworth","!","!","!","!","!","!","91","53","!","!","!","!"
"Horsham","!","!","!","!","!","!","94","88","!","!","!","!"
"Hounslow","27","100","19","71","2","8","31","115","13","49","9","33"
"Huntingdonshire","!","!","3","8","!","!","89","224","!","!","4","9"
"Hyndburn","!","!","!","!","!","!","!","!","!","!","!","!"
"Ipswich","!","!","3","5","!","!","70","119","10","17","13","23"
"Isle Of Wight","!","!","!","!","!","!","!","!","!","!","!","!"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","8","32","20","80","3","13","28","111","7","26","33","131"
"Kensington and Chelsea","6","30","23","111","5","25","36","175","28","133","2","8"
"Kettering","!","!","4","6","!","!","92","128","!","!","!","!"
"King's Lynn and West Norfolk","!","!","!","!","!","!","95","119","!","!","!","!"
"Kingston upon Hull, City of","5","20","1","5","1","5","93","405","!","!","!","!"
"Kingston upon Thames","22","52","11","26","!","!","46","109","14","34","6","14"
"Kirklees","12","54","8","35","3","15","69","318","7","34","1","6"
"Knowsley","!","!","!","!","!","!","94","106","!","!","!","!"
"Lambeth","6","29","53","273","3","17","28","142","7","38","3","17"
"Lancaster","!","!","!","!","!","!","93","50","!","!","!","!"
"Leeds","6","19","5","16","3","10","77","264","3","12","7","23"
"Leicester","23","23","16","16","!","!","42","42","6","6","11","11"
"Lewes","!","!","!","!","!","!","!","!","!","!","!","!"
"Lewisham","4","33","53","406","6","45","25","189","10","79","2","16"
"Lichfield","!","!","!","!","!","!","97","65","!","!","!","!"
"Lincoln","!","!","!","!","!","!","98","160","!","!","!","!"
"Liverpool","7","22","13","42","5","16","55","173","15","47","5","17"
"Luton","33","128","16","64","4","17","39","151","7","26","1","5"
"Maidstone","!","!","3","8","4","9","78","180","2","5","11","25"
"Maldon","!","!","!","!","!","!","96","24","!","!","!","!"
