"Time","Ethnicity","%"
"2015/16","All","56.8"
"2015/16","Asian","47.5"
"2015/16","Black","46.4"
"2015/16","Chinese","57.2"
"2015/16","Mixed","53.3"
"2015/16","White British","57.9"
"2015/16","White other","58.3"
"2015/16","Other","59.7"
"2016/17","All","57.4"
"2016/17","Asian","48.9"
"2016/17","Black","45.7"
"2016/17","Chinese","51.1"
"2016/17","Mixed","56.0"
"2016/17","White British","58.4"
"2016/17","White other","58.3"
"2016/17","Other","57.1"
