"Title","Police workforce by ethnicity and rank"
"Location","England and Wales"
"Time period","2016"
"Data source","Police workforce, England and Wales https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Ethnicity_type","Gender","Gender_type","Rank","Value2","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)","Value"
"Asian","ONS 2001 5+1","All","All","Constable","2,437","2,478","3,820,390","63.79","N/A - Available at aggregated rank level only","6.8%","2.6%"
"Asian","ONS 2001 5+1","All","All","Sergeant","320","323","3,820,390","8.38","N/A - Available at aggregated rank level only","6.8%","1.7%"
"Asian","ONS 2001 5+1","All","All","Inspector","87","87","3,820,390","2.28","N/A - Available at aggregated rank level only","6.8%","1.6%"
"Asian","ONS 2001 5+1","All","All","Chief Inspector","14","14","3,820,390","0.37","N/A - Available at aggregated rank level only","6.8%","0.9%"
"Asian","ONS 2001 5+1","All","All","Superintendent","16","16","3,820,390","0.42","N/A - Available at aggregated rank level only","6.8%","2.0%"
"Asian","ONS 2001 5+1","All","All","Chief Superintendent","6","6","3,820,390","0.16","N/A - Available at aggregated rank level only","6.8%","1.9%"
"Asian","ONS 2001 5+1","All","All","Chief Officer","1","1","3,820,390","0.03","N/A - Available at aggregated rank level only","6.8%","0.6%"
"Black","ONS 2001 5+1","All","All","Constable","1,201","1,221","1,864,890","64.38","N/A - Available at aggregated rank level only","3.3%","1.3%"
"Black","ONS 2001 5+1","All","All","Sergeant","161","162","1,864,890","8.65","N/A - Available at aggregated rank level only","3.3%","0.9%"
"Black","ONS 2001 5+1","All","All","Inspector","47","47","1,864,890","2.52","N/A - Available at aggregated rank level only","3.3%","0.8%"
"Black","ONS 2001 5+1","All","All","Chief Inspector","11","11","1,864,890","0.59","N/A - Available at aggregated rank level only","3.3%","0.7%"
"Black","ONS 2001 5+1","All","All","Superintendent","7","7","1,864,890","0.38","N/A - Available at aggregated rank level only","3.3%","0.9%"
"Black","ONS 2001 5+1","All","All","Chief Superintendent","5","5","1,864,890","0.27","N/A - Available at aggregated rank level only","3.3%","1.6%"
"Black","ONS 2001 5+1","All","All","Chief Officer","1","1","1,864,890","0.05","N/A - Available at aggregated rank level only","3.3%","0.6%"
"Mixed","ONS 2001 5+1","All","All","Constable","1,764","1,795","1,224,400","144.09","N/A - Available at aggregated rank level only","2.2%","1.9%"
"Mixed","ONS 2001 5+1","All","All","Sergeant","231","233","1,224,400","18.89","N/A - Available at aggregated rank level only","2.2%","1.2%"
"Mixed","ONS 2001 5+1","All","All","Inspector","64","64","1,224,400","5.23","N/A - Available at aggregated rank level only","2.2%","1.1%"
"Mixed","ONS 2001 5+1","All","All","Chief Inspector","22","22","1,224,400","1.80","N/A - Available at aggregated rank level only","2.2%","1.4%"
"Mixed","ONS 2001 5+1","All","All","Superintendent","12","12","1,224,400","0.98","N/A - Available at aggregated rank level only","2.2%","1.5%"
"Mixed","ONS 2001 5+1","All","All","Chief Superintendent","3","3","1,224,400","0.25","N/A - Available at aggregated rank level only","2.2%","0.9%"
"Mixed","ONS 2001 5+1","All","All","Chief Officer","0","0","1,224,400","0.00","N/A - Available at aggregated rank level only","2.2%","0.0%"
"Other","ONS 2001 5+1","All","All","Constable","701","711","956,837","73.25","N/A - Available at aggregated rank level only","1.7%","0.7%"
"Other","ONS 2001 5+1","All","All","Sergeant","81","82","956,837","8.46","N/A - Available at aggregated rank level only","1.7%","0.4%"
"Other","ONS 2001 5+1","All","All","Inspector","23","23","956,837","2.38","N/A - Available at aggregated rank level only","1.7%","0.4%"
"Other","ONS 2001 5+1","All","All","Chief Inspector","1","1","956,837","0.10","N/A - Available at aggregated rank level only","1.7%","0.1%"
"Other","ONS 2001 5+1","All","All","Superintendent","1","1","956,837","0.10","N/A - Available at aggregated rank level only","1.7%","0.1%"
"Other","ONS 2001 5+1","All","All","Chief Superintendent","1","1","956,837","0.10","N/A - Available at aggregated rank level only","1.7%","0.3%"
"Other","ONS 2001 5+1","All","All","Chief Officer","0","0","956,837","0.00","N/A - Available at aggregated rank level only","1.7%","0.0%"
"White","ONS 2001 5+1","All","All","Constable","88,568","90,866","48,209,395","183.71","N/A - Available at aggregated rank level only","86.0%","93.6%"
"White","ONS 2001 5+1","All","All","Sergeant","17,741","17,966","48,209,395","36.80","N/A - Available at aggregated rank level only","86.0%","95.7%"
"White","ONS 2001 5+1","All","All","Inspector","5,385","5,411","48,209,395","11.17","N/A - Available at aggregated rank level only","86.0%","96.1%"
"White","ONS 2001 5+1","All","All","Chief Inspector","1,516","1,518","48,209,395","3.14","N/A - Available at aggregated rank level only","86.0%","96.9%"
"White","ONS 2001 5+1","All","All","Superintendent","752","753","48,209,395","1.56","N/A - Available at aggregated rank level only","86.0%","95.4%"
"White","ONS 2001 5+1","All","All","Chief Superintendent","302","304","48,209,395","0.63","N/A - Available at aggregated rank level only","86.0%","95.3%"
"White","ONS 2001 5+1","All","All","Chief Officer","172","173","48,209,395","0.36","N/A - Available at aggregated rank level only","86.0%","98.9%"
