"Title","Economic inactivity by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL","Suppress"
"2004","Inactive","All","All","All","All","16-64","8,824,000","37,248,303","76,211","24","0.3",""
"2004","Inactive","All","Asian - Indian","All","All","16-64","212,000","782,491","1,247","27","3.9",""
"2004","Inactive","All","Asian - Other","All","All","16-64","151,000","424,424","837","36","5.1",""
"2004","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","349,000","714,151","2,053","49","3.4",""
"2004","Inactive","All","Black","All","All","16-64","256,000","823,015","1,216","31","4.1",""
"2004","Inactive","All","Mixed","All","All","16-64","79,000","270,877","490","29","6.4",""
"2004","Inactive","All","White - British","All","All","16-64","7,150,000","31,940,563","66,111","22","0.5",""
"2004","Inactive","All","White - Other","All","All","16-64","443,000","1,797,329","3,252","25","2.3",""
"2004","Inactive","All","Other","All","All","16-64","174,000","460,401","927","38","4.9",""
"2005","Inactive","All","All","All","All","16-64","8,854,000","37,649,126","72,064","24","0.3",""
"2005","Inactive","All","Asian - Indian","All","All","16-64","210,000","797,558","1,164","26","4",""
"2005","Inactive","All","Asian - Other","All","All","16-64","166,000","468,279","872","36","5",""
"2005","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","365,000","742,927","1,992","49","3.5",""
"2005","Inactive","All","Black","All","All","16-64","258,000","875,167","1,143","30","4.2",""
"2005","Inactive","All","Mixed","All","All","16-64","81,000","272,656","459","30","6.6",""
"2005","Inactive","All","White - British","All","All","16-64","7,135,000","32,007,579","62,244","22","0.5",""
"2005","Inactive","All","White - Other","All","All","16-64","438,000","1,916,808","3,134","23","2.3",""
"2005","Inactive","All","Other","All","All","16-64","192,000","534,168","991","36","4.7",""
"2006","Inactive","All","All","All","All","16-64","8,844,000","38,021,579","52,567","23","0.4",""
"2006","Inactive","All","Asian - Indian","All","All","16-64","216,000","851,452","1,081","25","4.1",""
"2006","Inactive","All","Asian - Other","All","All","16-64","161,000","470,026","710","34","5.5",""
"2006","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","370,000","780,522","1,786","48","3.7",""
"2006","Inactive","All","Black","All","All","16-64","264,000","936,330","1,075","28","4.3",""
"2006","Inactive","All","Mixed","All","All","16-64","77,000","281,066","378","27","7.1",""
"2006","Inactive","All","White - British","All","All","16-64","7,051,000","31,844,362","43,952","22","0.6",""
"2006","Inactive","All","White - Other","All","All","16-64","469,000","2,201,215","2,536","21","2.5",""
"2006","Inactive","All","Other","All","All","16-64","226,000","627,670","1,005","36","4.7",""
"2007","Inactive","All","All","All","All","16-64","9,000,000","38,396,528","52,250","23","0.4",""
"2007","Inactive","All","Asian - Indian","All","All","16-64","223,000","870,340","1,085","26","4.1",""
"2007","Inactive","All","Asian - Other","All","All","16-64","177,000","532,439","768","33","5.3",""
"2007","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","390,000","819,705","1,824","48","3.6",""
"2007","Inactive","All","Black","All","All","16-64","267,000","970,989","1,088","28","4.2",""
"2007","Inactive","All","Mixed","All","All","16-64","85,000","303,412","395","28","7",""
"2007","Inactive","All","White - British","All","All","16-64","7,118,000","31,906,009","43,406","22","0.6",""
"2007","Inactive","All","White - Other","All","All","16-64","491,000","2,299,630","2,591","21","2.5",""
"2007","Inactive","All","Other","All","All","16-64","237,000","665,695","1,045","36","4.6",""
"2008","Inactive","All","All","All","All","16-64","9,017,000","38,699,792","50,833","23","0.4",""
"2008","Inactive","All","Asian - Indian","All","All","16-64","238,000","916,734","1,106","26","4.1",""
"2008","Inactive","All","Asian - Other","All","All","16-64","180,000","578,044","781","31","5.1",""
"2008","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","393,000","856,752","1,832","46","3.6",""
"2008","Inactive","All","Black","All","All","16-64","288,000","1,015,217","1,150","28","4.1",""
"2008","Inactive","All","Mixed","All","All","16-64","100,000","322,799","436","31","6.9",""
"2008","Inactive","All","White - British","All","All","16-64","7,081,000","31,910,843","41,874","22","0.6",""
"2008","Inactive","All","White - Other","All","All","16-64","490,000","2,387,354","2,575","21","2.5",""
"2008","Inactive","All","Other","All","All","16-64","238,000","685,674","1,034","35","4.6",""
"2009","Inactive","All","All","All","All","16-64","9,067,000","38,899,713","49,170","23","0.4",""
"2009","Inactive","All","Asian - Indian","All","All","16-64","246,000","969,666","1,075","25","4.1",""
"2009","Inactive","All","Asian - Other","All","All","16-64","185,000","582,421","766","32","5.2",""
"2009","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","399,000","906,548","1,808","44","3.6",""
"2009","Inactive","All","Black","All","All","16-64","300,000","1,050,263","1,147","29","4.1",""
"2009","Inactive","All","Mixed","All","All","16-64","107,000","351,974","461","30","6.6",""
"2009","Inactive","All","White - British","All","All","16-64","7,070,000","31,893,331","40,296","22","0.6",""
"2009","Inactive","All","White - Other","All","All","16-64","511,000","2,454,431","2,597","21","2.5",""
"2009","Inactive","All","Other","All","All","16-64","238,000","656,625","971","36","4.8",""
"2010","Inactive","All","All","All","All","16-64","9,339,000","39,145,436","49,737","24","0.4",""
"2010","Inactive","All","Asian - Indian","All","All","16-64","236,000","984,205","1,047","24","4.1",""
"2010","Inactive","All","Asian - Other","All","All","16-64","225,000","631,130","907","36","4.9",""
"2010","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","417,000","939,171","1,885","44","3.5",""
"2010","Inactive","All","Black","All","All","16-64","307,000","1,089,281","1,164","28","4.1",""
"2010","Inactive","All","Mixed","All","All","16-64","98,000","355,517","407","28","6.9",""
"2010","Inactive","All","White - British","All","All","16-64","7,271,000","31,938,230","40,716","23","0.6",""
"2010","Inactive","All","White - Other","All","All","16-64","529,000","2,476,670","2,557","21","2.5",""
"2010","Inactive","All","Other","All","All","16-64","245,000","691,856","1,003","35","4.7",""
"2011","Inactive","All","All","All","All","16-64","9,399,000","39,399,366","47,992","24","0.4",""
"2011","Inactive","All","Asian - Indian","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2011","Inactive","All","Asian - Other","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2011","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2011","Inactive","All","Black","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2011","Inactive","All","Mixed","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2011","Inactive","All","White - British","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2011","Inactive","All","White - Other","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2011","Inactive","All","Other","All","All","16-64","N/A","N/A","N/A","N/A","N/A",""
"2012","Inactive","All","All","All","All","16-64","9,144,000","39,336,191","46,874","23","0.4",""
"2012","Inactive","All","Asian - Indian","All","All","16-64","247,000","1,062,000","1,049","23","4",""
"2012","Inactive","All","Asian - Other","All","All","16-64","245,000","719,870","949","34","4.8",""
"2012","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","436,000","1,040,774","1,905","42","3.5",""
"2012","Inactive","All","Black","All","All","16-64","314,000","1,151,056","1,230","27","3.9",""
"2012","Inactive","All","Mixed","All","All","16-64","122,000","414,905","505","29","6.3",""
"2012","Inactive","All","White - British","All","All","16-64","7,061,000","31,893,560","38,331","22","0.7",""
"2012","Inactive","All","White - Other","All","All","16-64","465,000","2,334,594","1,864","20","2.9",""
"2012","Inactive","All","Other","All","All","16-64","239,000","689,705","985","35","4.7",""
"2013","Inactive","All","All","All","All","16-64","8,966,000","39,373,337","45,589","23","0.4",""
"2013","Inactive","All","Asian - Indian","All","All","16-64","258,000","1,066,072","1,137","24","3.9",""
"2013","Inactive","All","Asian - Other","All","All","16-64","252,000","708,416","961","36","4.8",""
"2013","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","444,000","1,094,412","1,885","41","3.5",""
"2013","Inactive","All","Black","All","All","16-64","306,000","1,160,508","1,203","26","3.9",""
"2013","Inactive","All","Mixed","All","All","16-64","116,000","440,299","461","26","6.4",""
"2013","Inactive","All","White - British","All","All","16-64","6,874,000","31,795,530","36,933","22","0.7",""
"2013","Inactive","All","White - Other","All","All","16-64","459,000","2,378,324","1,945","19","2.8",""
"2013","Inactive","All","Other","All","All","16-64","246,000","700,982","1,010","35","4.7",""
"2014","Inactive","All","All","All","All","16-64","8,959,000","39,490,057","44,851","23","0.4",""
"2014","Inactive","All","Asian - Indian","All","All","16-64","268,000","1,105,611","1,134","24","3.9",""
"2014","Inactive","All","Asian - Other","All","All","16-64","233,000","715,102","910","33","4.8",""
"2014","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","442,000","1,111,909","1,876","40","3.5",""
"2014","Inactive","All","Black","All","All","16-64","331,000","1,209,434","1,268","27","3.9",""
"2014","Inactive","All","Mixed","All","All","16-64","126,000","453,969","517","28","6.1",""
"2014","Inactive","All","White - British","All","All","16-64","6,797,000","31,520,653","36,034","22","0.7",""
"2014","Inactive","All","White - Other","All","All","16-64","476,000","2,575,284","1,976","19","2.7",""
"2014","Inactive","All","Other","All","All","16-64","265,000","724,391","1,046","37","4.6",""
"2015","Inactive","All","All","All","All","16-64","8,826,000","39,689,292","42,528","22","0.4",""
"2015","Inactive","All","Asian - Indian","All","All","16-64","265,000","1,122,362","1,096","24","4",""
"2015","Inactive","All","Asian - Other","All","All","16-64","238,000","743,891","909","32","4.8",""
"2015","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","439,000","1,106,913","1,869","40","3.5",""
"2015","Inactive","All","Black","All","All","16-64","347,000","1,324,144","1,267","26","3.8",""
"2015","Inactive","All","Mixed","All","All","16-64","128,000","463,339","475","28","6.3",""
"2015","Inactive","All","White - British","All","All","16-64","6,669,000","31,392,720","33,987","21","0.7",""
"2015","Inactive","All","White - Other","All","All","16-64","463,000","2,745,920","1,884","17","2.7",""
"2015","Inactive","All","Other","All","All","16-64","258,000","733,849","973","35","4.7",""
"2016","Inactive","All","All","All","All","16-64","8,835,000","39,846,431","39,029","22","0.4",""
"2016","Inactive","All","Asian - Indian","All","All","16-64","261,000","1,134,029","1,019","23","4.1",""
"2016","Inactive","All","Asian - Other","All","All","16-64","276,000","819,418","956","34","4.7",""
"2016","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","460,000","1,178,502","1,778","39","3.6",""
"2016","Inactive","All","Black","All","All","16-64","337,000","1,331,829","1,150","25","4",""
"2016","Inactive","All","Mixed","All","All","16-64","143,000","508,478","495","28","6.3",""
"2016","Inactive","All","White - British","All","All","16-64","6,590,000","31,077,465","30,844","21","0.7",""
"2016","Inactive","All","White - Other","All","All","16-64","497,000","2,994,906","1,835","17","2.7",""
"2016","Inactive","All","Other","All","All","16-64","260,000","765,571","904","34","4.9",""
