"Title","People claiming Jobseeker's Allowance by ethnicity and region"
"Location","England and Wales"
"Time period","2015"
"Data source","DWP administrative data https://www.nomisweb.co.uk/"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Date","Region","Ethnicity","Value"
"2015","East","White","1.2"
"2015","East Midlands","White","1.5"
"2015","All","White","1.5"
"2015","London","White","1.2"
"2015","North East","White","2.7"
"2015","North West","White","1.4"
"2015","South East","White","1"
"2015","South West","White","1"
"2015","Wales","White","2.2"
"2015","West Midlands","White","1.7"
"2015","Yorkshire and The Humber","White","2.2"
"2015","East","Other","1.4"
"2015","East Midlands","Other","2"
"2015","All","Other","2.3"
"2015","London","Other","2.4"
"2015","North East","Other","2.5"
"2015","North West","Other","2.1"
"2015","South East","Other","1.1"
"2015","South West","Other","1.5"
"2015","Wales","Other","2.2"
"2015","West Midlands","Other","3.4"
"2015","Yorkshire and The Humber","Other","3.1"
