"Title","People claiming Jobseeker's Allowance by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","DWP administrative data https://www.nomisweb.co.uk/"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Date","Region","Ethnicity","Value"
"2011","All","White","3.3"
"2012","All","White","3.4"
"2013","All","White","3"
"2014","All","White","2.1"
"2015","All","White","1.5"
"2011","All","Other","4.5"
"2012","All","Other","4.6"
"2013","All","Other","4.1"
"2014","All","Other","3"
"2015","All","Other","2.3"
