"Title","Stop and search by ethnicity and area"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Policing statistics"
"Data source link","https://www.gov.uk/government/statistics/police-powers-and-procedures-england-and-wales-year-ending-31-march-2015-data-tables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","27 October 2016"

"Ethnicity","Police Force Area","Rate"
"All","All - including BTP","6.8"
"All","Avon & Somerset","3.5"
"All","Bedfordshire","3.6"
"All","British Transport Police","N/A"
"All","Cambridgeshire","3.9"
"All","Cheshire","5.7"
"All","Cleveland","4.9"
"All","Cumbria","7.2"
"All","Derbyshire","3.6"
"All","Devon & Cornwall","3.7"
"All","Dorset","6.7"
"All","Durham","7.2"
"All","Dyfed-Powys","7.4"
"All","Essex","1.4"
"All","Gloucestershire","3.4"
"All","Greater Manchester","1.9"
"All","Gwent","2.0"
"All","Hampshire","5.9"
"All","Hertfordshire","7.2"
"All","Humberside","0.6"
"All","Kent","4.6"
"All","Lancashire","3.8"
"All","Leicestershire","1.8"
"All","Lincolnshire","5.6"
"All","London, City of","N/A"
"All","Merseyside","10.2"
"All","Metropolitan Police","18.9"
"All","Norfolk","6.3"
"All","North Wales","2.4"
"All","North Yorkshire","5.6"
"All","Northamptonshire","2.7"
"All","Northumbria","5.0"
"All","Nottinghamshire","2.4"
"All","South Wales","5.6"
"All","South Yorkshire","2.8"
"All","Staffordshire","3.8"
"All","Suffolk","3.6"
"All","Surrey","5.5"
"All","Sussex","4.9"
"All","Thames Valley","5.1"
"All","Warwickshire","6.0"
"All","West Mercia","6.9"
"All","West Midlands","6.5"
"All","West Yorkshire","6.5"
"All","Wiltshire","3.7"
"Asian","All - including BTP","9.3"
"Asian","Avon & Somerset","3.3"
"Asian","Bedfordshire","3.9"
"Asian","British Transport Police","N/A"
"Asian","Cambridgeshire","6.7"
"Asian","Cheshire","1.6"
"Asian","Cleveland","5.3"
"Asian","Cumbria","14.8"
"Asian","Derbyshire","8.7"
"Asian","Devon & Cornwall","4.1"
"Asian","Dorset","8.2"
"Asian","Durham","3.5"
"Asian","Dyfed-Powys","7.0"
"Asian","Essex","2.3"
"Asian","Gloucestershire","4.2"
"Asian","Greater Manchester","2.5"
"Asian","Gwent","2.6"
"Asian","Hampshire","5.4"
"Asian","Hertfordshire","9.1"
"Asian","Humberside","0.3"
"Asian","Kent","3.0"
"Asian","Lancashire","5.0"
"Asian","Leicestershire","1.9"
"Asian","Lincolnshire","3.1"
"Asian","London, City of","N/A"
"Asian","Merseyside","3.7"
"Asian","Metropolitan Police","14.9"
"Asian","Norfolk","12.9"
"Asian","North Wales","1.7"
"Asian","North Yorkshire","15.2"
"Asian","Northamptonshire","3.9"
"Asian","Northumbria","5.7"
"Asian","Nottinghamshire","4.0"
"Asian","South Wales","4.6"
"Asian","South Yorkshire","7.0"
"Asian","Staffordshire","7.0"
"Asian","Suffolk","5.5"
"Asian","Surrey","7.5"
"Asian","Sussex","6.4"
"Asian","Thames Valley","6.4"
"Asian","Warwickshire","7.6"
"Asian","West Mercia","24.3"
"Asian","West Midlands","8.1"
"Asian","West Yorkshire","7.8"
"Asian","Wiltshire","5.6"
"Black","All - including BTP","31.4"
"Black","Avon & Somerset","14.5"
"Black","Bedfordshire","7.4"
"Black","British Transport Police","N/A"
"Black","Cambridgeshire","18.4"
"Black","Cheshire","21.1"
"Black","Cleveland","13.6"
"Black","Cumbria","38.0"
"Black","Derbyshire","11.2"
"Black","Devon & Cornwall","26.1"
"Black","Dorset","101.6"
