"Title","Stop and search by ethnicity and area"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Stop and Search open data
  https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/561980/stop-search-open-data-tables-ppp.ods"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Value","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)"
"White","ONS 2001 5+1","Cleveland","Police Force Area","2,548"," 2,717 ","526,456","4.84","93.8%"
"Asian","ONS 2001 5+1","Cleveland","Police Force Area","92"," 2,717 ","17,419","5.28","3.4%"
"Black","ONS 2001 5+1","Cleveland","Police Force Area","43"," 2,717 ","3,156","13.62","1.6%"
"Other","ONS 2001 5+1","Cleveland","Police Force Area","17"," 2,717 ","4,434","3.83","0.6%"
"Mixed","ONS 2001 5+1","Cleveland","Police Force Area","17"," 2,717 ","5,762","2.95","0.6%"
"White","ONS 2001 5+1","Cumbria","Police Force Area","3,407"," 3,490 ","492,257","6.92","97.6%"
"Asian","ONS 2001 5+1","Cumbria","Police Force Area","43"," 3,490 ","2,913","14.76","1.2%"
"Black","ONS 2001 5+1","Cumbria","Police Force Area","22"," 3,490 ","579","38.00","0.6%"
"Other","ONS 2001 5+1","Cumbria","Police Force Area","6"," 3,490 ","1,605","3.74","0.2%"
"Mixed","ONS 2001 5+1","Cumbria","Police Force Area","12"," 3,490 ","2,504","4.79","0.3%"
"White","ONS 2001 5+1","Derbyshire","Police Force Area","3,003"," 3,534 ","949,845","3.16","85.0%"
"Asian","ONS 2001 5+1","Derbyshire","Police Force Area","322"," 3,534 ","36,871","8.73","9.1%"
"Black","ONS 2001 5+1","Derbyshire","Police Force Area","113"," 3,534 ","10,090","11.20","3.2%"
"Other","ONS 2001 5+1","Derbyshire","Police Force Area","3"," 3,534 ","7,281","0.41","0.1%"
"Mixed","ONS 2001 5+1","Derbyshire","Police Force Area","93"," 3,534 ","14,351","6.48","2.6%"
"White","ONS 2001 5+1","Devon & Cornwall","Police Force Area","5,524"," 5,765 ","1,627,306","3.39","95.8%"
"Asian","ONS 2001 5+1","Devon & Cornwall","Police Force Area","48"," 5,765 ","11,694","4.10","0.8%"
"Black","ONS 2001 5+1","Devon & Cornwall","Police Force Area","107"," 5,765 ","4,106","26.06","1.9%"
"Other","ONS 2001 5+1","Devon & Cornwall","Police Force Area","31"," 5,765 ","9,467","3.27","0.5%"
"Mixed","ONS 2001 5+1","Devon & Cornwall","Police Force Area","55"," 5,765 ","15,645","3.52","1.0%"
"White","ONS 2001 5+1","Dorset","Police Force Area","3,731"," 4,278 ","714,637","5.22","87.2%"
"Asian","ONS 2001 5+1","Dorset","Police Force Area","88"," 4,278 ","10,694","8.23","2.1%"
"Black","ONS 2001 5+1","Dorset","Police Force Area","326"," 4,278 ","3,208","101.62","7.6%"
"Other","ONS 2001 5+1","Dorset","Police Force Area","24"," 4,278 ","5,995","4.00","0.6%"
"Mixed","ONS 2001 5+1","Dorset","Police Force Area","109"," 4,278 ","9,507","11.47","2.5%"
"White","ONS 2001 5+1","Durham","Police Force Area","4,385"," 4,433 ","605,364","7.24","98.9%"
"Asian","ONS 2001 5+1","Durham","Police Force Area","18"," 4,433 ","5,114","3.52","0.4%"
"Black","ONS 2001 5+1","Durham","Police Force Area","6"," 4,433 ","1,058","5.67","0.1%"
"Other","ONS 2001 5+1","Durham","Police Force Area","9"," 4,433 ","3,030","2.97","0.2%"
"Mixed","ONS 2001 5+1","Durham","Police Force Area","15"," 4,433 ","4,240","3.54","0.3%"
"White","ONS 2001 5+1","Dyfed-Powys","Police Force Area","3,552"," 3,632 ","504,714","7.04","97.8%"
"Asian","ONS 2001 5+1","Dyfed-Powys","Police Force Area","30"," 3,632 ","4,274","7.02","0.8%"
"Black","ONS 2001 5+1","Dyfed-Powys","Police Force Area","21"," 3,632 ","856","24.53","0.6%"
"Other","ONS 2001 5+1","Dyfed-Powys","Police Force Area","7"," 3,632 ","2,008","3.49","0.2%"
"Mixed","ONS 2001 5+1","Dyfed-Powys","Police Force Area","22"," 3,632 ","3,262","6.74","0.6%"
"White","ONS 2001 5+1","Essex","Police Force Area","1,762"," 2,200 ","1,608,308","1.10","80.1%"
"Asian","ONS 2001 5+1","Essex","Police Force Area","89"," 2,200 ","38,954","2.28","4.0%"
"Black","ONS 2001 5+1","Essex","Police Force Area","256"," 2,200 ","34,679","7.38","11.6%"
"Other","ONS 2001 5+1","Essex","Police Force Area","22"," 2,200 ","15,374","1.43","1.0%"
"Mixed","ONS 2001 5+1","Essex","Police Force Area","71"," 2,200 ","27,635","2.57","3.2%"
"White","ONS 2001 5+1","Gloucestershire","Police Force Area","1,759"," 2,018 ","569,647","3.09","87.2%"
"Asian","ONS 2001 5+1","Gloucestershire","Police Force Area","44"," 2,018 ","10,522","4.18","2.2%"
"Black","ONS 2001 5+1","Gloucestershire","Police Force Area","120"," 2,018 ","5,150","23.30","5.9%"
"Other","ONS 2001 5+1","Gloucestershire","Police Force Area","10"," 2,018 ","3,004","3.33","0.5%"
"Mixed","ONS 2001 5+1","Gloucestershire","Police Force Area","85"," 2,018 ","8,661","9.81","4.2%"
"White","ONS 2001 5+1","Greater Manchester","Police Force Area","3,596"," 4,761 ","2,248,123","1.60","75.5%"
"Asian","ONS 2001 5+1","Greater Manchester","Police Force Area","602"," 4,761 ","246,094","2.45","12.6%"
"Black","ONS 2001 5+1","Greater Manchester","Police Force Area","319"," 4,761 ","74,097","4.31","6.7%"
"Other","ONS 2001 5+1","Greater Manchester","Police Force Area","46"," 4,761 ","53,504","0.86","1.0%"
"Mixed","ONS 2001 5+1","Greater Manchester","Police Force Area","198"," 4,761 ","60,710","3.26","4.2%"
"White","ONS 2001 5+1","Gwent","Police Force Area","1,011"," 1,092 ","554,377","1.82","92.6%"
"Asian","ONS 2001 5+1","Gwent","Police Force Area","26"," 1,092 ","10,076","2.58","2.4%"
"Black","ONS 2001 5+1","Gwent","Police Force Area","10"," 1,092 ","3,185","3.14","0.9%"
"Other","ONS 2001 5+1","Gwent","Police Force Area","4"," 1,092 ","3,569","1.12","0.4%"
"Mixed","ONS 2001 5+1","Gwent","Police Force Area","41"," 1,092 ","5,547","7.39","3.8%"
"White","ONS 2001 5+1","Hampshire","Police Force Area","8,907"," 10,238 ","1,771,378","5.03","87.0%"
"Asian","ONS 2001 5+1","Hampshire","Police Force Area","310"," 10,238 ","57,352","5.41","3.0%"
"Black","ONS 2001 5+1","Hampshire","Police Force Area","708"," 10,238 ","17,445","40.58","6.9%"
"Other","ONS 2001 5+1","Hampshire","Police Force Area","41"," 10,238 ","20,911","1.96","0.4%"
"Mixed","ONS 2001 5+1","Hampshire","Police Force Area","272"," 10,238 ","30,905","8.80","2.7%"
"White","ONS 2001 5+1","Hertfordshire","Police Force Area","5,565"," 7,162 ","977,495","5.69","77.7%"
"Asian","ONS 2001 5+1","Hertfordshire","Police Force Area","582"," 7,162 ","64,119","9.08","8.1%"
"Black","ONS 2001 5+1","Hertfordshire","Police Force Area","604"," 7,162 ","31,401","19.24","8.4%"
"Other","ONS 2001 5+1","Hertfordshire","Police Force Area","116"," 7,162 ","15,550","7.46","1.6%"
"Mixed","ONS 2001 5+1","Hertfordshire","Police Force Area","295"," 7,162 ","27,497","10.73","4.1%"
