"Title","Average fuel poverty gap by ethnicity over time"
"Location","England"
"Time period","2003 to 2016"
"Data source","Fuel poverty statistics"
"Data source link","https://www.gov.uk/government/collections/fuel-poverty-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/06/2018"

"","White","Other"
"","£","£"
"2003","223","212"
"2004","230","225"
"2005","252","204"
"2006","326","257"
"2007","314","266"
"2008","335","299"
"2009","359","283"
"2010","365","258"
"2011","396","293"
"2012","393","320"
"2013","365","363"
"2014","368","351"
"2015","345","320"
"2016","326","329"
