"Title","Attainment of development goals by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Local authority","Girls","Boys"
"All","Oxfordshire","77","61"
"All","Portsmouth","75","62"
"All","Reading","76","63"
"All","Slough","76","60"
"All","Southampton","78","60"
"All","Surrey","83","68"
"All","West Berkshire","83","67"
"All","West Sussex","75","58"
"All","Windsor and Maidenhead","81","65"
"All","Wokingham","81","67"
"All","South West","76","61"
"All","Bath and North East Somerset","76","60"
"All","Bournemouth","77","63"
"All","Bristol, City of","73","57"
"All","Cornwall","75","56"
"All","Devon","79","64"
"All","Dorset","76","62"
"All","Gloucestershire","73","57"
"All","Isles of Scilly","!","!"
"All","North Somerset","80","66"
"All","Plymouth","71","55"
"All","Poole","80","63"
"All","Somerset","75","61"
"All","South Gloucestershire","82","68"
"All","Swindon","75","60"
"All","Torbay","76","61"
"All","Wiltshire","78","62"
"Asian","North East","68","53"
"Asian","County Durham","67","76"
"Asian","Darlington","68","28"
"Asian","Gateshead","84","78"
"Asian","Hartlepool","47","67"
"Asian","Middlesbrough","66","48"
"Asian","Newcastle upon Tyne","74","57"
"Asian","North Tyneside","65","50"
"Asian","Northumberland","62","64"
"Asian","Redcar and Cleveland","!","!"
"Asian","South Tyneside","61","52"
"Asian","Stockton-on-Tees","63","43"
"Asian","Sunderland","57","49"
"Asian","North West","65","49"
"Asian","Blackburn with Darwen","70","51"
"Asian","Blackpool","48","58"
"Asian","Bolton","70","52"
"Asian","Bury","69","54"
"Asian","Cheshire East","72","64"
"Asian","Cheshire West and Chester","77","58"
"Asian","Cumbria","!","!"
"Asian","Halton","!","!"
"Asian","Knowsley","!","!"
"Asian","Lancashire","66","50"
"Asian","Liverpool","60","48"
"Asian","Manchester","67","46"
"Asian","Oldham","52","36"
"Asian","Rochdale","65","44"
"Asian","Salford","84","53"
"Asian","Sefton","77","69"
"Asian","St. Helens","!","!"
"Asian","Stockport","63","60"
"Asian","Tameside","58","50"
"Asian","Trafford","74","62"
"Asian","Warrington","65","64"
"Asian","Wigan","68","35"
"Asian","Wirral","74","58"
"Asian","Yorkshire and The Humber","",""
"Asian","Yorkshire and the Humber","68","52"
"Asian","Barnsley","!","50"
"Asian","Bradford","69","53"
"Asian","Calderdale","61","45"
"Asian","Doncaster","65","53"
"Asian","East Riding of Yorkshire","!","!"
"Asian","Kingston Upon Hull, City of","69","52"
"Asian","Kirklees","69","50"
"Asian","Leeds","60","46"
"Asian","North East Lincolnshire","50","63"
"Asian","North Lincolnshire","73","63"
"Asian","North Yorkshire","69","53"
"Asian","Rotherham","77","58"
"Asian","Sheffield","71","60"
"Asian","Wakefield","74","53"
"Asian","York","72","57"
"Asian","East Midlands","70","55"
"Asian","Derby","62","47"
"Asian","Derbyshire","69","63"
"Asian","Leicester","69","56"
"Asian","Leicestershire","79","59"
"Asian","Lincolnshire","88","59"
"Asian","Northamptonshire","66","52"
"Asian","Nottingham","72","57"
"Asian","Nottinghamshire","69","55"
"Asian","Rutland","!","!"
"Asian","West Midlands","70","53"
"Asian","Birmingham","!","!"
"Asian","Coventry","78","59"
"Asian","Dudley","67","42"
"Asian","Herefordshire","56","63"
"Asian","Sandwell","63","51"
"Asian","Shropshire","79","75"
"Asian","Solihull","79","58"
"Asian","Staffordshire","78","53"
"Asian","Stoke-on-Trent","58","44"
"Asian","Telford and Wrekin","!","!"
"Asian","Walsall","72","48"
"Asian","Warwickshire","80","58"
"Asian","Wolverhampton","69","53"
"Asian","Worcestershire","73","55"
"Asian","East of England","70","55"
"Asian","Bedford","59","46"
"Asian","Cambridgeshire","73","57"
"Asian","Central Bedfordshire","70","56"
"Asian","Essex","76","64"
"Asian","Hertfordshire","71","54"
"Asian","Luton","71","55"
"Asian","Norfolk","68","51"
"Asian","Peterborough","66","47"
"Asian","Southend-on-Sea","62","70"
"Asian","Suffolk","74","54"
"Asian","Thurrock","88","64"
"Asian","Inner London","77","61"
"Asian","Camden","69","51"
"Asian","City of London","!","!"
"Asian","Hackney","82","73"
"Asian","Hammersmith and Fulham","79","70"
"Asian","Haringey","82","78"
"Asian","Islington","75","61"
"Asian","Kensington and Chelsea","75","58"
"Asian","Lambeth","63","63"
"Asian","Lewisham","87","66"
"Asian","Newham","81","65"
"Asian","Southwark","79","62"
"Asian","Tower Hamlets","73","56"
"Asian","Wandsworth","79","54"
"Asian","Westminster","77","63"
"Asian","Outer London","79","65"
"Asian","Barking and Dagenham","78","64"
"Asian","Barnet","77","67"
"Asian","Bexley","83","70"
"Asian","Brent","77","65"
"Asian","Bromley","88","73"
"Asian","Croydon","77","58"
"Asian","Ealing","74","64"
"Asian","Enfield","!","!"
"Asian","Greenwich","88","73"
"Asian","Harrow","82","69"
"Asian","Havering","80","60"
"Asian","Hillingdon","81","63"
"Asian","Hounslow","76","61"
"Asian","Kingston upon Thames","75","60"
"Asian","Merton","78","65"
"Asian","Redbridge","79","68"
"Asian","Richmond upon Thames","81","72"
"Asian","Sutton","79","61"
"Asian","Waltham Forest","76","64"
"Asian","South East","76","62"
"Asian","Bracknell Forest","!","!"
"Asian","Brighton and Hove","65","56"
"Asian","Buckinghamshire","61","50"
"Asian","East Sussex","79","76"
"Asian","Hampshire","79","69"
"Asian","Isle of Wight","100","!"
"Asian","Kent","84","64"
"Asian","Medway","81","63"
"Asian","Milton Keynes","78","69"
"Asian","Oxfordshire","64","47"
"Asian","Portsmouth","74","51"
"Asian","Reading","73","65"
"Asian","Slough","81","64"
"Asian","Southampton","79","67"
"Asian","Surrey","81","65"
"Asian","West Berkshire","82","59"
"Asian","West Sussex","72","48"
"Asian","Windsor and Maidenhead","79","68"
"Asian","Wokingham","82","73"
"Asian","South West","70","56"
"Asian","Bath and North East Somerset","80","70"
"Asian","Bournemouth","81","71"
"Asian","Bristol, City of","59","46"
"Asian","Cornwall","70","38"
"Asian","Devon","!","!"
"Asian","Dorset","57","50"
"Asian","Gloucestershire","64","56"
"Asian","Isles of Scilly","!","!"
"Asian","North Somerset","63","54"
"Asian","Plymouth","!","!"
"Asian","Poole","86","67"
"Asian","Somerset","77","48"
"Asian","South Gloucestershire","81","65"
"Asian","Swindon","74","60"
"Asian","Torbay","!","!"
"Asian","Wiltshire","70","62"
"Black","North East","76","49"
"Black","County Durham","!","!"
"Black","Darlington","!","!"
"Black","Gateshead","!","!"
"Black","Hartlepool","!","!"
"Black","Middlesbrough","82","80"
"Black","Newcastle upon Tyne","75","40"
"Black","North Tyneside","!","!"
"Black","Northumberland","!","!"
"Black","Redcar and Cleveland","!","!"
"Black","South Tyneside","!","!"
"Black","Stockton-on-Tees","!","!"
"Black","Sunderland","!","!"
"Black","North West","70","52"
"Black","Blackburn with Darwen","45","60"
"Black","Blackpool","!","!"
"Black","Bolton","54","40"
"Black","Bury","73","70"
"Black","Cheshire East","!","!"
"Black","Cheshire West and Chester","!","!"
"Black","Cumbria","!","!"
"Black","Halton","!","!"
"Black","Knowsley","!","!"
"Black","Lancashire","76","60"
"Black","Liverpool","64","45"
"Black","Manchester","74","55"
"Black","Oldham","55","43"
"Black","Rochdale","67","50"
"Black","Salford","80","56"
"Black","Sefton","!","!"
"Black","St. Helens","!","!"
"Black","Stockport","84","44"
"Black","Tameside","74","39"
"Black","Trafford","62","56"
"Black","Warrington","100","57"
"Black","Wigan","75","45"
"Black","Wirral","!","!"
"Black","Yorkshire and The Humber","",""
"Black","Yorkshire and the Humber","68","49"
"Black","Barnsley","!","!"
"Black","Bradford","76","47"
"Black","Calderdale","!","!"
"Black","Doncaster","79","44"
"Black","East Riding of Yorkshire","!","!"
"Black","Kingston Upon Hull, City of","40","41"
"Black","Kirklees","68","50"
"Black","Leeds","63","48"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Yorkshire","60","33"
"Black","Rotherham","61","37"
"Black","Sheffield","76","57"
"Black","Wakefield","65","35"
"Black","York","!","!"
"Black","East Midlands","69","52"
"Black","Derby","75","53"
"Black","Derbyshire","!","!"
"Black","Leicester","65","45"
"Black","Leicestershire","65","54"
"Black","Lincolnshire","100","!"
"Black","Northamptonshire","66","55"
"Black","Nottingham","73","52"
"Black","Nottinghamshire","77","63"
"Black","Rutland","!","!"
"Black","West Midlands","71","56"
"Black","Birmingham","!","!"
"Black","Coventry","78","60"
"Black","Dudley","63","48"
"Black","Herefordshire","!","!"
"Black","Sandwell","66","56"
"Black","Shropshire","!","!"
"Black","Solihull","72","53"
"Black","Staffordshire","77","63"
"Black","Stoke-on-Trent","73","60"
"Black","Telford and Wrekin","!","!"
"Black","Walsall","71","56"
"Black","Warwickshire","73","52"
"Black","Wolverhampton","74","52"
"Black","Worcestershire","67","43"
"Black","East of England","76","60"
"Black","Bedford","64","69"
"Black","Cambridgeshire","58","46"
"Black","Central Bedfordshire","82","56"
"Black","Essex","83","62"
"Black","Hertfordshire","72","54"
"Black","Luton","75","61"
"Black","Norfolk","75","55"
"Black","Peterborough","70","67"
"Black","Southend-on-Sea","87","62"
"Black","Suffolk","78","58"
"Black","Thurrock","83","69"
"Black","Inner London","76","60"
"Black","Camden","59","48"
"Black","City of London","!","!"
"Black","Hackney","80","66"
"Black","Hammersmith and Fulham","71","50"
"Black","Haringey","79","65"
"Black","Islington","69","46"
"Black","Kensington and Chelsea","63","39"
"Black","Lambeth","74","54"
"Black","Lewisham","84","69"
"Black","Newham","75","64"
"Black","Southwark","77","58"
"Black","Tower Hamlets","73","59"
"Black","Wandsworth","76","60"
"Black","Westminster","71","62"
"Black","Outer London","77","60"
"Black","Barking and Dagenham","79","64"
"Black","Barnet","67","52"
"Black","Bexley","86","75"
"Black","Brent","74","54"
"Black","Bromley","79","62"
"Black","Croydon","74","60"
"Black","Ealing","74","55"
"Black","Enfield","!","!"
"Black","Greenwich","86","71"
"Black","Harrow","78","54"
"Black","Havering","77","47"
"Black","Hillingdon","75","58"
"Black","Hounslow","70","52"
"Black","Kingston upon Thames","67","58"
"Black","Merton","75","63"
"Black","Redbridge","70","57"
"Black","Richmond upon Thames","70","58"
"Black","Sutton","80","56"
"Black","Waltham Forest","75","56"
"Black","South East","76","60"
"Black","Bracknell Forest","71","50"
"Black","Brighton and Hove","65","46"
"Black","Buckinghamshire","74","56"
"Black","East Sussex","63","69"
"Black","Hampshire","75","58"
"Black","Isle of Wight","!","!"
"Black","Kent","87","69"
"Black","Medway","80","73"
"Black","Milton Keynes","77","56"
"Black","Oxfordshire","71","51"
"Black","Portsmouth","81","72"
"Black","Reading","82","66"
"Black","Slough","67","54"
"Black","Southampton","77","62"
"Black","Surrey","77","57"
"Black","West Berkshire","73","60"
"Black","West Sussex","61","45"
"Black","Windsor and Maidenhead","!","!"
"Black","Wokingham","!","!"
"Black","South West","70","48"
"Black","Bath and North East Somerset","67","43"
"Black","Bournemouth","100","!"
"Black","Bristol, City of","65","44"
"Black","Cornwall","!","!"
"Black","Devon","100","!"
"Black","Dorset","!","!"
"Black","Gloucestershire","65","35"
"Black","Isles of Scilly","!","!"
"Black","North Somerset","!","!"
"Black","Plymouth","71","36"
"Black","Poole","!","!"
"Black","Somerset","!","!"
"Black","South Gloucestershire","81","69"
"Black","Swindon","86","65"
"Black","Torbay","!","!"
"Black","Wiltshire","83","54"
"Chinese","North East","54","52"
"Chinese","County Durham","50","57"
"Chinese","Darlington","!","!"
"Chinese","Gateshead","43","50"
"Chinese","Hartlepool","!","!"
"Chinese","Middlesbrough","!","!"
"Chinese","Newcastle upon Tyne","77","52"
"Chinese","North Tyneside","!","!"
"Chinese","Northumberland","!","!"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","South Tyneside","!","!"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Sunderland","!","!"
"Chinese","North West","65","48"
"Chinese","Blackburn with Darwen","!","!"
"Chinese","Blackpool","!","!"
"Chinese","Bolton","!","!"
"Chinese","Bury","!","!"
"Chinese","Cheshire East","!","!"
"Chinese","Cheshire West and Chester","!","!"
"Chinese","Cumbria","!","!"
"Chinese","Halton","!","!"
"Chinese","Knowsley","!","!"
"Chinese","Lancashire","!","!"
"Chinese","Liverpool","55","37"
"Chinese","Manchester","76","53"
"Chinese","Oldham","!","!"
"Chinese","Rochdale","!","!"
"Chinese","Salford","!","!"
"Chinese","Sefton","!","!"
"Chinese","St. Helens","100","!"
"Chinese","Stockport","!","!"
"Chinese","Tameside","!","!"
"Chinese","Trafford","80","54"
"Chinese","Warrington","100","100"
"Chinese","Wigan","!","!"
"Chinese","Wirral","63","58"
"Chinese","Yorkshire and The Humber","",""
"Chinese","Yorkshire and the Humber","66","49"
"Chinese","Barnsley","!","!"
"Chinese","Bradford","!","!"
"Chinese","Calderdale","!","!"
"Chinese","Doncaster","100","57"
"Chinese","East Riding of Yorkshire","!","!"
"Chinese","Kingston Upon Hull, City of","!","!"
"Chinese","Kirklees","!","!"
"Chinese","Leeds","68","46"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Yorkshire","!","!"
"Chinese","Rotherham","57","50"
"Chinese","Sheffield","78","56"
"Chinese","Wakefield","!","!"
"Chinese","York","!","!"
"Chinese","East Midlands","79","55"
"Chinese","Derby","57","46"
"Chinese","Derbyshire","50","73"
"Chinese","Leicester","63","50"
"Chinese","Leicestershire","!","!"
"Chinese","Lincolnshire","100","57"
"Chinese","Northamptonshire","!","!"
"Chinese","Nottingham","100","!"
"Chinese","Nottinghamshire","76","48"
"Chinese","Rutland","!","!"
"Chinese","West Midlands","79","50"
"Chinese","Birmingham","!","!"
"Chinese","Coventry","!","!"
"Chinese","Dudley","!","!"
"Chinese","Herefordshire","!","100"
"Chinese","Sandwell","100","43"
"Chinese","Shropshire","!","!"
"Chinese","Solihull","!","!"
"Chinese","Staffordshire","82","50"
"Chinese","Stoke-on-Trent","!","!"
"Chinese","Telford and Wrekin","!","!"
"Chinese","Walsall","!","!"
"Chinese","Warwickshire","!","!"
"Chinese","Wolverhampton","50","43"
"Chinese","Worcestershire","!","!"
"Chinese","East of England","70","62"
"Chinese","Bedford","!","!"
"Chinese","Cambridgeshire","76","80"
"Chinese","Central Bedfordshire","!","!"
"Chinese","Essex","63","59"
"Chinese","Hertfordshire","86","71"
"Chinese","Luton","!","!"
"Chinese","Norfolk","59","38"
"Chinese","Peterborough","!","!"
"Chinese","Southend-on-Sea","!","!"
"Chinese","Suffolk","!","!"
"Chinese","Thurrock","!","!"
"Chinese","Inner London","82","60"
"Chinese","Camden","!","!"
"Chinese","City of London","!","!"
"Chinese","Hackney","!","!"
"Chinese","Hammersmith and Fulham","!","!"
"Chinese","Haringey","84","47"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","!"
"Chinese","Lambeth","64","64"
"Chinese","Lewisham","84","63"
"Chinese","Newham","73","64"
"Chinese","Southwark","!","!"
"Chinese","Tower Hamlets","80","58"
"Chinese","Wandsworth","67","57"
"Chinese","Westminster","!","!"
"Chinese","Outer London","83","70"
"Chinese","Barking and Dagenham","!","!"
"Chinese","Barnet","93","61"
"Chinese","Bexley","!","!"
"Chinese","Brent","!","!"
"Chinese","Bromley","79","61"
"Chinese","Croydon","!","!"
"Chinese","Ealing","!","100"
"Chinese","Enfield","!","!"
"Chinese","Greenwich","88","79"
"Chinese","Harrow","!","!"
"Chinese","Havering","!","100"
"Chinese","Hillingdon","!","!"
"Chinese","Hounslow","!","!"
"Chinese","Kingston upon Thames","!","!"
"Chinese","Merton","63","64"
"Chinese","Redbridge","!","!"
"Chinese","Richmond upon Thames","!","!"
"Chinese","Sutton","85","42"
"Chinese","Waltham Forest","67","67"
"Chinese","South East","80","65"
"Chinese","Bracknell Forest","!","!"
"Chinese","Brighton and Hove","!","!"
"Chinese","Buckinghamshire","79","73"
"Chinese","East Sussex","100","50"
"Chinese","Hampshire","86","62"
"Chinese","Isle of Wight","!","!"
"Chinese","Kent","73","44"
"Chinese","Medway","!","!"
"Chinese","Milton Keynes","!","!"
"Chinese","Oxfordshire","!","!"
"Chinese","Portsmouth","100","43"
"Chinese","Reading","!","!"
"Chinese","Slough","!","!"
"Chinese","Southampton","100","64"
"Chinese","Surrey","78","77"
"Chinese","West Berkshire","!","!"
"Chinese","West Sussex","!","!"
"Chinese","Windsor and Maidenhead","100","!"
"Chinese","Wokingham","67","57"
"Chinese","South West","74","58"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bournemouth","!","!"
"Chinese","Bristol, City of","100","75"
"Chinese","Cornwall","57","50"
"Chinese","Devon","!","!"
"Chinese","Dorset","!","100"
"Chinese","Gloucestershire","!","!"
"Chinese","Isles of Scilly","!","!"
"Chinese","North Somerset","!","!"
"Chinese","Plymouth","!","!"
"Chinese","Poole","!","!"
"Chinese","Somerset","!","!"
"Chinese","South Gloucestershire","100","!"
"Chinese","Swindon","!","!"
"Chinese","Torbay","!","!"
"Chinese","Wiltshire","!","!"
"Mixed","North East","76","61"
"Mixed","County Durham","78","66"
"Mixed","Darlington","!","!"
"Mixed","Gateshead","79","59"
"Mixed","Hartlepool","!","!"
"Mixed","Middlesbrough","71","51"
"Mixed","Newcastle upon Tyne","76","65"
"Mixed","North Tyneside","88","53"
"Mixed","Northumberland","81","71"
"Mixed","Redcar and Cleveland","50","71"
"Mixed","South Tyneside","71","47"
"Mixed","Stockton-on-Tees","64","60"
"Mixed","Sunderland","85","67"
"Mixed","North West","73","56"
"Mixed","Blackburn with Darwen","78","50"
"Mixed","Blackpool","68","63"
"Mixed","Bolton","79","57"
"Mixed","Bury","73","60"
"Mixed","Cheshire East","66","62"
"Mixed","Cheshire West and Chester","85","60"
"Mixed","Cumbria","!","!"
"Mixed","Halton","80","52"
"Mixed","Knowsley","65","60"
"Mixed","Lancashire","74","59"
"Mixed","Liverpool","62","48"
"Mixed","Manchester","76","51"
"Mixed","Oldham","73","55"
"Mixed","Rochdale","67","54"
"Mixed","Salford","74","53"
"Mixed","Sefton","83","56"
"Mixed","St. Helens","79","38"
"Mixed","Stockport","69","56"
"Mixed","Tameside","71","54"
"Mixed","Trafford","75","56"
"Mixed","Warrington","72","62"
"Mixed","Wigan","79","56"
"Mixed","Wirral","77","69"
"Mixed","Yorkshire and The Humber","",""
"Mixed","Yorkshire and the Humber","72","58"
"Mixed","Barnsley","57","63"
"Mixed","Bradford","69","62"
"Mixed","Calderdale","76","45"
"Mixed","Doncaster","81","50"
"Mixed","East Riding of Yorkshire","80","72"
"Mixed","Kingston Upon Hull, City of","70","49"
"Mixed","Kirklees","76","56"
"Mixed","Leeds","66","52"
"Mixed","North East Lincolnshire","63","66"
"Mixed","North Lincolnshire","!","!"
"Mixed","North Yorkshire","81","65"
"Mixed","Rotherham","81","60"
"Mixed","Sheffield","73","61"
"Mixed","Wakefield","63","53"
"Mixed","York","73","51"
"Mixed","East Midlands","74","57"
"Mixed","Derby","81","63"
"Mixed","Derbyshire","82","59"
"Mixed","Leicester","69","48"
"Mixed","Leicestershire","74","61"
"Mixed","Lincolnshire","71","62"
"Mixed","Northamptonshire","74","61"
"Mixed","Nottingham","71","52"
"Mixed","Nottinghamshire","75","56"
"Mixed","Rutland","!","!"
"Mixed","West Midlands","75","57"
"Mixed","Birmingham","!","!"
"Mixed","Coventry","74","60"
"Mixed","Dudley","73","54"
"Mixed","Herefordshire","65","62"
"Mixed","Sandwell","73","52"
"Mixed","Shropshire","78","54"
"Mixed","Solihull","82","60"
"Mixed","Staffordshire","82","72"
"Mixed","Stoke-on-Trent","79","62"
"Mixed","Telford and Wrekin","!","!"
"Mixed","Walsall","78","51"
"Mixed","Warwickshire","79","63"
"Mixed","Wolverhampton","63","47"
"Mixed","Worcestershire","81","59"
"Mixed","East of England","76","60"
"Mixed","Bedford","77","57"
"Mixed","Cambridgeshire","76","61"
"Mixed","Central Bedfordshire","75","58"
"Mixed","Essex","76","66"
"Mixed","Hertfordshire","77","59"
"Mixed","Luton","79","55"
"Mixed","Norfolk","70","61"
"Mixed","Peterborough","71","48"
"Mixed","Southend-on-Sea","78","66"
"Mixed","Suffolk","78","57"
"Mixed","Thurrock","85","67"
"Mixed","Inner London","80","65"
"Mixed","Camden","69","54"
"Mixed","City of London","!","!"
"Mixed","Hackney","86","74"
"Mixed","Hammersmith and Fulham","78","64"
"Mixed","Haringey","86","74"
"Mixed","Islington","75","53"
"Mixed","Kensington and Chelsea","61","60"
"Mixed","Lambeth","75","66"
"Mixed","Lewisham","85","72"
"Mixed","Newham","83","67"
"Mixed","Southwark","81","60"
"Mixed","Tower Hamlets","74","62"
"Mixed","Wandsworth","82","63"
"Mixed","Westminster","87","65"
"Mixed","Outer London","80","68"
"Mixed","Barking and Dagenham","78","73"
"Mixed","Barnet","78","68"
"Mixed","Bexley","86","73"
"Mixed","Brent","75","65"
"Mixed","Bromley","82","71"
"Mixed","Croydon","73","66"
"Mixed","Ealing","84","67"
"Mixed","Enfield","!","!"
"Mixed","Greenwich","88","71"
"Mixed","Harrow","86","60"
"Mixed","Havering","83","61"
"Mixed","Hillingdon","78","66"
"Mixed","Hounslow","87","72"
"Mixed","Kingston upon Thames","76","76"
"Mixed","Merton","84","70"
"Mixed","Redbridge","76","63"
"Mixed","Richmond upon Thames","87","73"
"Mixed","Sutton","74","53"
"Mixed","Waltham Forest","80","69"
"Mixed","South East","81","65"
"Mixed","Bracknell Forest","78","61"
"Mixed","Brighton and Hove","74","58"
"Mixed","Buckinghamshire","82","63"
"Mixed","East Sussex","86","60"
"Mixed","Hampshire","79","67"
"Mixed","Isle of Wight","80","73"
"Mixed","Kent","84","69"
"Mixed","Medway","82","61"
"Mixed","Milton Keynes","86","62"
"Mixed","Oxfordshire","77","64"
"Mixed","Portsmouth","75","69"
"Mixed","Reading","74","57"
"Mixed","Slough","83","58"
"Mixed","Southampton","72","61"
"Mixed","Surrey","84","71"
"Mixed","West Berkshire","88","68"
"Mixed","West Sussex","77","61"
"Mixed","Windsor and Maidenhead","81","65"
"Mixed","Wokingham","78","62"
"Mixed","South West","77","61"
"Mixed","Bath and North East Somerset","69","65"
"Mixed","Bournemouth","78","63"
"Mixed","Bristol, City of","77","55"
"Mixed","Cornwall","80","60"
"Mixed","Devon","78","72"
"Mixed","Dorset","77","56"
"Mixed","Gloucestershire","70","56"
"Mixed","Isles of Scilly","!","!"
"Mixed","North Somerset","78","70"
"Mixed","Plymouth","72","63"
"Mixed","Poole","79","66"
"Mixed","Somerset","83","63"
"Mixed","South Gloucestershire","82","66"
"Mixed","Swindon","82","59"
"Mixed","Torbay","85","54"
"Mixed","Wiltshire","74","61"
"White","North East","76","59"
"White","County Durham","74","59"
"White","Darlington","75","60"
"White","Gateshead","76","61"
"White","Hartlepool","73","58"
"White","Middlesbrough","67","50"
"White","Newcastle upon Tyne","76","65"
"White","North Tyneside","77","62"
"White","Northumberland","81","64"
"White","Redcar and Cleveland","76","55"
"White","South Tyneside","77","59"
"White","Stockton-on-Tees","74","56"
"White","Sunderland","77","59"
"White","North West","75","58"
"White","Blackburn with Darwen","68","52"
"White","Blackpool","71","56"
"White","Bolton","71","57"
"White","Bury","73","64"
"White","Cheshire East","79","61"
"White","Cheshire West and Chester","78","61"
"White","Cumbria","!","!"
"White","Halton","67","49"
"White","Knowsley","75","55"
"White","Lancashire","77","62"
"White","Liverpool","69","51"
"White","Manchester","73","54"
