"Standard Ethnicity","Local authority","Value"
"All","All- England","67"
"All","Barking and Dagenham","67"
"All","Barnet","68"
"All","Barnsley","63"
"All","Bath and North East Somerset","68"
"All","Bedford","60"
"All","Bexley","77"
"All","Birmingham","61"
"All","Blackburn with Darwen","59"
"All","Blackpool","63"
"All","Bolton","61"
"All","Bournemouth","70"
"All","Bracknell Forest","72"
"All","Bradford","63"
"All","Brent","66"
"All","Brighton and Hove","65"
"All","Bristol, City of","65"
"All","Bromley","75"
"All","Buckinghamshire","69"
"All","Bury","68"
"All","Calderdale","65"
"All","Cambridgeshire","67"
"All","Camden","63"
"All","Central Bedfordshire","67"
"All","Cheshire East","69"
"All","Cheshire West and Chester","69"
"All","City of London","79"
"All","Cornwall","65"
"All","County Durham","66"
"All","Coventry","64"
"All","Croydon","68"
"All","Cumbria","63"
"All","Darlington","67"
"All","Derby","64"
"All","Derbyshire","68"
"All","Devon","71"
"All","Doncaster","68"
"All","Dorset","69"
"All","Dudley","62"
"All","Ealing","68"
"All","East Riding of Yorkshire","68"
"All","East Sussex","75"
"All","Enfield","64"
"All","Essex","70"
"All","Gateshead","67"
"All","Gloucestershire","65"
"All","Greenwich","77"
"All","Hackney","68"
"All","Halton","58"
"All","Hammersmith and Fulham","69"
"All","Hampshire","74"
"All","Haringey","71"
"All","Harrow","71"
"All","Hartlepool","65"
"All","Havering","69"
"All","Herefordshire","71"
"All","Hertfordshire","68"
"All","Hillingdon","68"
"All","Hounslow","67"
"All","Isle of Wight","71"
"All","Isles of Scilly","-"
"All","Islington","64"
"All","Kensington and Chelsea","62"
"All","Kent","74"
"All","Kingston Upon Hull, City of","60"
"All","Kingston upon Thames","75"
"All","Kirklees","65"
"All","Knowsley","65"
"All","Lambeth","67"
"All","Lancashire","67"
"All","Leeds","60"
"All","Leicester","58"
"All","Leicestershire","66"
"All","Lewisham","78"
"All","Lincolnshire","69"
"All","Liverpool","58"
"All","Luton","63"
"All","Manchester","60"
"All","Medway","71"
"All","Merton","70"
"All","Middlesbrough","57"
"All","Milton Keynes","70"
"All","Newcastle upon Tyne","68"
"All","Newham","70"
"All","Norfolk","67"
"All","North East Lincolnshire","68"
"All","North Lincolnshire","73"
"All","North Somerset","73"
"All","North Tyneside","68"
"All","North Yorkshire","67"
"All","Northamptonshire","66"
"All","Northumberland","72"
"All","Nottingham","62"
"All","Nottinghamshire","64"
"All","Oldham","57"
"All","Oxfordshire","69"
"All","Peterborough","61"
"All","Plymouth","63"
"All","Poole","71"
"All","Portsmouth","69"
"All","Reading","69"
"All","Redbridge","70"
"All","Redcar and Cleveland","65"
"All","Richmond upon Thames","77"
"All","Rochdale","59"
"All","Rotherham","69"
"All","Rutland","69"
"All","Salford","62"
"All","Sandwell","57"
"All","Sefton","68"
"All","Sheffield","68"
"All","Shropshire","68"
"All","Slough","68"
"All","Solihull","69"
"All","Somerset","68"
"All","South Gloucestershire","75"
"All","South Tyneside","66"
"All","Southampton","68"
"All","Southend-on-Sea","70"
"All","Southwark","70"
"All","St. Helens","64"
"All","Staffordshire","72"
"All","Stockport","67"
"All","Stockton-on-Tees","63"
"All","Stoke-on-Trent","61"
"All","Suffolk","68"
"All","Sunderland","67"
"All","Surrey","75"
"All","Sutton","68"
"All","Swindon","67"
"All","Tameside","61"
"All","Telford and Wrekin","67"
"All","Thurrock","74"
"All","Torbay","68"
"All","Tower Hamlets","64"
"All","Trafford","72"
"All","Wakefield","63"
"All","Walsall","61"
"All","Waltham Forest","70"
"All","Wandsworth","72"
"All","Warrington","71"
"All","Warwickshire","69"
"All","West Berkshire","75"
"All","West Sussex","67"
"All","Westminster","68"
"All","Wigan","62"
"All","Wiltshire","70"
"All","Windsor and Maidenhead","73"
"All","Wirral","68"
"All","Wokingham","74"
"All","Wolverhampton","57"
"All","Worcestershire","67"
"All","York","73"
"Asian","All- England","65"
"Asian","Barking and Dagenham","71"
"Asian","Barnet","72"
"Asian","Barnsley","33"
"Asian","Bath and North East Somerset","74"
"Asian","Bedford","52"
"Asian","Bexley","77"
"Asian","Birmingham","-"
"Asian","Blackburn with Darwen","60"
"Asian","Blackpool","52"
"Asian","Bolton","61"
"Asian","Bournemouth","77"
"Asian","Bracknell Forest","80"
"Asian","Bradford","61"
"Asian","Brent","70"
"Asian","Brighton and Hove","60"
"Asian","Bristol, City of","52"
"Asian","Bromley","80"
"Asian","Buckinghamshire","55"
"Asian","Bury","60"
"Asian","Calderdale","53"
"Asian","Cambridgeshire","65"
"Asian","Camden","61"
"Asian","Central Bedfordshire","62"
"Asian","Cheshire East","68"
"Asian","Cheshire West and Chester","67"
"Asian","City of London","73"
"Asian","Cornwall","56"
"Asian","County Durham","72"
"Asian","Coventry","68"
"Asian","Croydon","67"
"Asian","Cumbria","-"
"Asian","Darlington","45"
"Asian","Derby","54"
"Asian","Derbyshire","66"
"Asian","Devon","70"
"Asian","Doncaster","59"
"Asian","Dorset","54"
"Asian","Dudley","54"
"Asian","Ealing","69"
"Asian","East Riding of Yorkshire","75"
"Asian","East Sussex","78"
"Asian","Enfield","-"
"Asian","Essex","70"
"Asian","Gateshead","81"
"Asian","Gloucestershire","60"
"Asian","Greenwich","80"
"Asian","Hackney","77"
"Asian","Halton","-"
"Asian","Hammersmith and Fulham","75"
"Asian","Hampshire","74"
"Asian","Haringey","80"
"Asian","Harrow","76"
"Asian","Hartlepool","54"
"Asian","Havering","69"
"Asian","Herefordshire","59"
"Asian","Hertfordshire","63"
"Asian","Hillingdon","72"
"Asian","Hounslow","68"
"Asian","Isle of Wight","-"
