"","2014","2015","2016"
"","%","%","%"
"All","50.7","52.4","52.6"
"Asian","52.8","55.7","55.8"
"Black","53.7","54.0","53.8"
"Chinese","51.3","56.2","56.5"
"Mixed","50.1","54.3","54.0"
"White","50.7","52.5","52.8"
"Other","49.2","50.2","53.0"
